epoch,loss,style_swd,style_moment,structure,tv,identity,train_num_steps,train_step_size,train_style_strength,lr,data_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec
1,10.035407543182373,0.15747093160947165,0.07781645779808362,3.7357921997706094,0.0,0.0,1.0,1.0,1.0,5.000000000000001e-07,0.04314259999955539,3.496522500005085,3.5405960083007812,900,254.19449095293197
2,10.169867674509684,0.16104291379451752,0.07703930636246999,3.7273806730906167,0.0,0.0,1.0,1.0,1.0,2.9750000000000003e-06,0.019193199987057596,2.3276900999917416,2.3475887775421143,900,383.372083138975
3,10.174750804901123,0.1608420287569364,0.07840439677238464,3.740285634994507,0.0,0.0,1.0,1.0,1.0,5.450000000000001e-06,0.019967899992479943,2.3364081000181613,2.3564183712005615,900,381.9355726468313
4,10.086522420247396,0.158976748585701,0.07810836657881737,3.7266716162363687,0.0,0.0,1.0,1.0,1.0,7.925000000000001e-06,0.019853900026646443,2.3284357999946224,2.348421573638916,900,383.23613192048646
5,10.07134199142456,0.15884099652369818,0.0757980893055598,3.716944138209025,0.0,0.0,1.0,1.0,1.0,1.0400000000000002e-05,0.019066500040935352,2.3437797999940813,2.363295555114746,900,380.8241411245332
6,10.045841693878174,0.15813230474789938,0.0780970851580302,3.719768524169922,0.0,0.0,1.0,1.0,1.0,1.2875000000000001e-05,0.01951920001010876,2.3276164999988396,2.347015619277954,900,383.4657053866901
7,10.277734915415445,0.16337367395559946,0.07711658626794815,3.742016911506653,0.0,0.0,1.0,1.0,1.0,1.535e-05,0.021316699974704534,2.3316587999870535,2.352602243423462,900,382.5551057412651
8,9.884172757466635,0.15413406987984976,0.07517081995805104,3.7180579900741577,0.0,0.0,1.0,1.0,1.0,1.7825000000000003e-05,0.02017589997558389,2.3362953000178095,2.356478691101074,900,381.92579606118625
9,10.06779686609904,0.15839478373527527,0.07765179872512817,3.731229066848755,0.0,0.0,1.0,1.0,1.0,2.0300000000000006e-05,0.0205903999885777,2.3396023999957833,2.360032558441162,900,381.35067110873416
10,10.005956013997396,0.15639873345692953,0.07749628523985545,3.7492318550745645,0.0,0.0,1.0,1.0,1.0,2.2775000000000005e-05,0.022106800010078587,2.3306403999886243,2.352515459060669,900,382.56921821009377
11,10.042901674906412,0.15711079041163126,0.07835971439878146,3.7576865355173745,0.0,0.0,1.0,1.0,1.0,2.5250000000000007e-05,0.019882799984770827,2.3415257000160636,2.3619489669799805,900,381.0412555825675
12,9.902241230010986,0.15378488103548685,0.07722052310903867,3.750073790550232,0.0,0.0,1.0,1.0,1.0,2.772500000000001e-05,0.019183199998224154,2.3285521999787306,2.3482303619384766,900,383.26733807199616
13,9.882660706837973,0.15325049559275308,0.07798124725619952,3.751861055692037,0.0,0.0,1.0,1.0,1.0,3.0200000000000012e-05,0.02044609998119995,2.3285064000228886,2.349872589111328,900,382.9994886405143
14,9.897002855936686,0.1542006110151609,0.07759680350621541,3.7282023827234902,0.0,0.0,1.0,1.0,1.0,3.2675000000000015e-05,0.019633399992017075,2.3330556999862893,2.3523263931274414,900,382.59996683684744
15,9.822886308034262,0.15133507798115411,0.07822565734386444,3.768701116243998,0.0,0.0,1.0,1.0,1.0,3.5150000000000014e-05,0.021094000010634772,2.3306694999919273,2.3517165184020996,900,382.69918715012267
16,9.842883110046387,0.15188619742790857,0.0790984034538269,3.766644239425659,0.0,0.0,1.0,1.0,1.0,3.762500000000002e-05,0.020052599982591346,2.33028780001041,2.3512043952941895,900,382.7825440447892
17,9.779839356740316,0.15067982921997705,0.0766144630809625,3.751880089441935,0.0,0.0,1.0,1.0,1.0,4.010000000000002e-05,0.019879699990269728,2.328412099988782,2.3484914302825928,900,383.22473243673
