epoch,loss,style_swd,style_moment,structure,tv,identity,train_num_steps,train_step_size,train_style_strength,lr,data_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec
1,506.0104675292969,33.98585510253906,0.6020265817642212,3.905132293701172,0.0,0.017263321205973625,1.0,1.0,1.0,0.0001,0.043924300000071526,1.8686961999919731,1.9126498699188232,160,83.6535753440282
2,543.6328735351562,37.04627227783203,0.6220647692680359,3.9464900493621826,0.0,0.04563827067613602,1.0,1.0,1.0,0.0001,0.008757000003242865,0.4131094999902416,0.42224860191345215,160,378.923693944628
3,476.1112060546875,31.536273956298828,0.578652024269104,3.9386277198791504,0.0,0.04603515565395355,1.0,1.0,1.0,0.0001,0.008575100000598468,0.4205696999997599,0.42958664894104004,160,372.4510535753631
4,533.707763671875,36.20890808105469,0.6162433624267578,3.950706958770752,0.0,0.05997403711080551,1.0,1.0,1.0,0.0001,0.008420999991358258,0.42124280000280123,0.43019843101501465,160,371.92139362873627
5,488.9189453125,32.22837829589844,0.6126854419708252,3.9358088970184326,0.0,0.06028352305293083,1.0,1.0,1.0,0.0001,0.008442300008027814,0.41794290000689216,0.42679381370544434,160,374.88828296472326
6,534.5148315429688,35.873756408691406,0.6497766375541687,3.909297227859497,0.0,0.06212892010807991,1.0,1.0,1.0,0.0001,0.008666900001117028,0.41953289999219123,0.42812371253967285,160,373.72375160176
7,512.9395751953125,34.373931884765625,0.6127290725708008,3.95531964302063,0.0,0.06310342997312546,1.0,1.0,1.0,0.0001,0.008498099996359088,0.41654039999411907,0.4255032539367676,160,376.02532652729604
8,505.4542236328125,34.02526092529297,0.5870702266693115,3.96795392036438,0.0,0.0646376982331276,1.0,1.0,1.0,0.0001,0.008393099997192621,0.4246765999996569,0.4339108467102051,160,368.739341763583
9,492.8990783691406,32.46166229248047,0.6181507110595703,3.9829652309417725,0.0,0.06891263276338577,1.0,1.0,1.0,0.0001,0.008476300004986115,0.416749299998628,0.42563772201538086,160,375.90653206770577
10,508.8521728515625,34.14649200439453,0.601169228553772,3.961454391479492,0.0,0.06896074116230011,1.0,1.0,1.0,0.0001,0.00860149999789428,0.41273669998918194,0.42146801948547363,160,379.62548189380374
11,522.9776611328125,35.31983947753906,0.6103422045707703,3.938413381576538,0.0,0.07016217708587646,1.0,1.0,1.0,0.0001,0.008513099994161166,0.42084279999835417,0.429518461227417,160,372.51018161774624
12,500.6004638671875,33.43989181518555,0.6010192036628723,3.9226224422454834,0.0,0.06946735084056854,1.0,1.0,1.0,0.0001,0.008516699992469512,0.4204503999935696,0.4295313358306885,160,372.49901614411755
13,476.89483642578125,31.6585750579834,0.5753656625747681,3.9008572101593018,0.0,0.07226844877004623,1.0,1.0,1.0,0.0001,0.0086349000048358,0.4242633000103524,0.4331471920013428,160,369.3894430221863
14,476.6494445800781,31.42725944519043,0.5857396721839905,3.9741203784942627,0.0,0.0748731717467308,1.0,1.0,1.0,0.0001,0.008520500006852672,0.41925970000738744,0.42810821533203125,160,373.7372801311639
15,487.96954345703125,32.28693389892578,0.6010072231292725,3.9288108348846436,0.0,0.07669933885335922,1.0,1.0,1.0,0.0001,0.00873929999943357,0.4212155000132043,0.42967844009399414,160,372.37148776885164
16,488.7507629394531,32.7625617980957,0.5711883306503296,3.9168126583099365,0.0,0.07817482948303223,1.0,1.0,1.0,0.0001,0.008516800007782876,0.41824700000870507,0.4264383316040039,160,375.200792569881
17,490.6104736328125,32.34674072265625,0.6123663783073425,3.9529430866241455,0.0,0.0816412940621376,1.0,1.0,1.0,0.0001,0.008520999996108003,0.4249119000014616,0.4335916042327881,160,369.0108351685211
18,535.2645263671875,36.067874908447266,0.6287480592727661,4.049844264984131,0.0,0.0814247876405716,1.0,1.0,1.0,0.0001,0.00868449998961296,0.4216141999932006,0.4302523136138916,160,371.8748160958967
19,490.45703125,32.541934967041016,0.5951478481292725,3.9701497554779053,0.0,0.08460234850645065,1.0,1.0,1.0,0.0001,0.008490400010487065,0.42027460000826977,0.42801380157470703,160,373.8197212597899
20,492.3839416503906,32.55718994140625,0.6091403961181641,3.9398438930511475,0.0,0.08609405905008316,1.0,1.0,1.0,0.0001,0.008508999992045574,0.4226607000018703,0.43134284019470215,160,370.93463734735514
21,457.9654541015625,30.218555450439453,0.553268313407898,3.910461187362671,0.0,0.08749348670244217,1.0,1.0,1.0,0.0001,0.00837110000429675,0.41876159999810625,0.42761850357055664,160,374.1652867310971
22,509.8409423828125,33.81181335449219,0.6318397521972656,3.9575393199920654,0.0,0.08888924866914749,1.0,1.0,1.0,0.0001,0.00912820000667125,0.42304199999489356,0.43228697776794434,160,370.12449652344026
23,475.3086242675781,31.19551658630371,0.5940594673156738,3.9540774822235107,0.0,0.09327138960361481,1.0,1.0,1.0,0.0001,0.008619699990958907,0.4150846999982605,0.42299604415893555,160,378.2541284000329
24,489.5208435058594,32.4539794921875,0.5981814861297607,3.9204633235931396,0.0,0.0941089317202568,1.0,1.0,1.0,0.0001,0.008428700006334111,0.41773339999781456,0.42589235305786133,160,375.68178637446107
25,471.9441223144531,31.176292419433594,0.5727623701095581,3.9468934535980225,0.0,0.09784001857042313,1.0,1.0,1.0,0.0001,0.008463399994070642,0.42150240000046324,0.4296689033508301,160,372.37975276362505
26,524.9574584960938,35.19205093383789,0.6298607587814331,3.9564788341522217,0.0,0.09937858581542969,1.0,1.0,1.0,0.0001,0.008994000003440306,0.42284010000003036,0.4319033622741699,160,370.4532401820777
27,472.2646789550781,31.534711837768555,0.5491558909416199,3.9303061962127686,0.0,0.09700238704681396,1.0,1.0,1.0,0.0001,0.008556599990697578,0.42069009999977425,0.42903923988342285,160,372.9262620441773
28,516.680908203125,34.48517608642578,0.6256189346313477,3.968076467514038,0.0,0.10454031825065613,1.0,1.0,1.0,0.0001,0.008699199999682605,0.41860669999732636,0.42792654037475586,160,373.89594919698203
29,512.5132446289062,34.18528366088867,0.6160916090011597,4.019423961639404,0.0,0.10634472221136093,1.0,1.0,1.0,0.0001,0.008656599995447323,0.42184670000278857,0.4313652515411377,160,370.91536564052933
30,476.0070495605469,31.338762283325195,0.5881404280662537,3.9384593963623047,0.0,0.10562275350093842,1.0,1.0,1.0,0.0001,0.009345799990114756,0.417410000009113,0.4263577461242676,160,375.27170892156346
31,504.9928894042969,33.99136734008789,0.5834851861000061,3.9661500453948975,0.0,0.10423009842634201,1.0,1.0,1.0,0.0001,0.008712199996807612,0.423051799996756,0.43193674087524414,160,370.42461281665464
32,490.7055969238281,32.43695831298828,0.606589674949646,3.919487714767456,0.0,0.1068485826253891,1.0,1.0,1.0,0.0001,0.00836439999693539,0.4202597999974387,0.4284219741821289,160,373.4635701295319
33,511.6317138671875,34.68614959716797,0.5823692679405212,3.8750691413879395,0.0,0.10869970172643661,1.0,1.0,1.0,0.0001,0.00846080000337679,0.4194875000102911,0.42804431915283203,160,373.7930696444366
34,486.7010498046875,32.2344970703125,0.589557945728302,3.986219882965088,0.0,0.11087479442358017,1.0,1.0,1.0,0.0001,0.008732999995118007,0.42209330000332557,0.431227445602417,160,371.03389784591025
35,464.7239990234375,30.700925827026367,0.5607800483703613,3.9090733528137207,0.0,0.1153201162815094,1.0,1.0,1.0,0.0001,0.008484800011501648,0.4175523999874713,0.4259819984436035,160,375.60272637009723
36,501.8829650878906,33.5842170715332,0.5935679078102112,3.9430348873138428,0.0,0.1181325912475586,1.0,1.0,1.0,0.0001,0.008708900000783615,0.42790350000723265,0.43695545196533203,160,366.17005070048737
37,487.58563232421875,32.31669616699219,0.5910322666168213,3.9515557289123535,0.0,0.12104387581348419,1.0,1.0,1.0,0.0001,0.00831399999151472,0.41767530000652187,0.4261009693145752,160,375.49785502101895
