rank,trial,snr,num_patches,patches
1,42,1.10946786,10,"1,4,5,6,7,14,16,18,20,24"
2,41,1.10883185,10,"1,4,5,6,7,14,16,18,20,24"
3,53,1.10811526,9,"4,5,6,7,14,16,18,20,24"
4,56,1.10697335,9,"4,5,6,7,14,16,18,20,24"
5,46,1.10684204,10,"1,4,5,6,7,14,16,18,20,24"
6,54,1.10665411,9,"4,5,6,7,14,16,18,20,24"
7,55,1.10631153,9,"4,5,6,7,14,16,18,20,24"
8,43,1.10630327,10,"1,4,5,6,7,14,16,18,20,24"
9,45,1.10629070,10,"1,4,5,6,7,14,16,18,20,24"
10,58,1.10598996,9,"4,5,6,7,14,16,18,20,24"
11,33,1.10592732,8,"1,5,7,11,15,19,23,25"
12,44,1.10572720,10,"1,4,5,6,7,14,16,18,20,24"
13,50,1.10553825,10,"1,4,5,6,7,14,16,18,20,24"
14,49,1.10553652,10,"1,4,5,6,7,14,16,18,20,24"
15,15,1.10531479,8,"1,5,7,11,15,19,23,25"
16,35,1.10517684,7,"1,5,7,11,15,23,25"
17,60,1.10472274,9,"4,5,6,7,14,16,18,20,24"
18,28,1.10460234,8,"1,5,7,11,15,19,23,25"
19,51,1.10428268,11,"1,3,4,5,6,7,14,16,18,20,24"
20,47,1.10424623,10,"1,4,5,6,7,14,16,18,20,24"
