reuse_dir_rel,grid_output_rel,cells_total,cells_with_clip,cells_with_lpips,cells_complete,reused_count,avg_clip_style,avg_content_lpips,clip_minus_lpips,is_complete_25,reuse_dir,grid_output_dir
Cycle-NCE\Ablate43\Ablate43_A01_ResOn_TheFilter\full_eval\epoch_0060,Cycle-NCE\Ablate43\Ablate43_A01_ResOn_TheFilter\full_eval\epoch_0060_grid5,25,25,25,25,25,0.6650561261177063,0.4447612372,0.22029488891770627,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_A01_ResOn_TheFilter\full_eval\epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_A01_ResOn_TheFilter\full_eval\epoch_0060_grid5
Cycle-NCE\Ablate43\Ablate43_A01_ResOn_TheFilter\full_eval\epoch_0060_tokenized_distill_epochs200,Cycle-NCE\Ablate43\Ablate43_A01_ResOn_TheFilter\full_eval\epoch_0060_tokenized_distill_epochs200_grid5,25,25,25,25,25,0.6889109992980957,0.5529024424000002,0.13600855689809555,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_A01_ResOn_TheFilter\full_eval\epoch_0060_tokenized_distill_epochs200,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_A01_ResOn_TheFilter\full_eval\epoch_0060_tokenized_distill_epochs200_grid5
Cycle-NCE\Ablate43\Ablate43_A02_Capacity_Conv1\full_eval\epoch_0060,Cycle-NCE\Ablate43\Ablate43_A02_Capacity_Conv1\full_eval\epoch_0060_grid5,25,25,25,25,25,0.6586699521541596,0.32605915160000004,0.33261080055415954,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_A02_Capacity_Conv1\full_eval\epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_A02_Capacity_Conv1\full_eval\epoch_0060_grid5
Cycle-NCE\Ablate43\Ablate43_A02_Capacity_Conv1\full_eval\epoch_0060_tokenized_distill_epochs200,Cycle-NCE\Ablate43\Ablate43_A02_Capacity_Conv1\full_eval\epoch_0060_tokenized_distill_epochs200_grid5,25,25,25,25,25,0.657597963809967,0.324667152,0.33293081180996703,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_A02_Capacity_Conv1\full_eval\epoch_0060_tokenized_distill_epochs200,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_A02_Capacity_Conv1\full_eval\epoch_0060_tokenized_distill_epochs200_grid5
Cycle-NCE\Ablate43\Ablate43_A03_WindowAttn_Size8\full_eval\epoch_0060,Cycle-NCE\Ablate43\Ablate43_A03_WindowAttn_Size8\full_eval\epoch_0060_grid5,25,25,25,25,25,0.6481242215633393,0.32758480640000004,0.3205394151633392,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_A03_WindowAttn_Size8\full_eval\epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_A03_WindowAttn_Size8\full_eval\epoch_0060_grid5
Cycle-NCE\Ablate43\Ablate43_A03_WindowAttn_Size8\full_eval\epoch_0060_tokenized_distill_epochs200,Cycle-NCE\Ablate43\Ablate43_A03_WindowAttn_Size8\full_eval\epoch_0060_tokenized_distill_epochs200_grid5,25,25,25,25,25,0.650109236240387,0.3288476892,0.32126154704038695,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_A03_WindowAttn_Size8\full_eval\epoch_0060_tokenized_distill_epochs200,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_A03_WindowAttn_Size8\full_eval\epoch_0060_tokenized_distill_epochs200_grid5
Cycle-NCE\Ablate43\Ablate43_A04_Modulator_GlobalOnly\full_eval\epoch_0060,Cycle-NCE\Ablate43\Ablate43_A04_Modulator_GlobalOnly\full_eval\epoch_0060_grid5,25,25,25,25,25,0.6469397342205048,0.3245555188,0.32238421542050477,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_A04_Modulator_GlobalOnly\full_eval\epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_A04_Modulator_GlobalOnly\full_eval\epoch_0060_grid5
Cycle-NCE\Ablate43\Ablate43_A04_Modulator_GlobalOnly\full_eval\epoch_0060_tokenized_distill_epochs200,Cycle-NCE\Ablate43\Ablate43_A04_Modulator_GlobalOnly\full_eval\epoch_0060_tokenized_distill_epochs200_grid5,25,25,25,25,25,0.6476798260211944,0.330197276,0.31748255002119447,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_A04_Modulator_GlobalOnly\full_eval\epoch_0060_tokenized_distill_epochs200,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_A04_Modulator_GlobalOnly\full_eval\epoch_0060_tokenized_distill_epochs200_grid5
Cycle-NCE\Ablate43\Ablate43_I01_Skip_TotalBlind\full_eval\epoch_0060,Cycle-NCE\Ablate43\Ablate43_I01_Skip_TotalBlind\full_eval\epoch_0060_grid5,25,25,25,25,25,0.6381202328205109,0.32861862159999994,0.30950161122051095,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_I01_Skip_TotalBlind\full_eval\epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_I01_Skip_TotalBlind\full_eval\epoch_0060_grid5
Cycle-NCE\Ablate43\Ablate43_I01_Skip_TotalBlind\full_eval\epoch_0060_tokenized_distill_epochs200,Cycle-NCE\Ablate43\Ablate43_I01_Skip_TotalBlind\full_eval\epoch_0060_tokenized_distill_epochs200_grid5,25,25,25,25,25,0.6363068163394928,0.33078691879999994,0.3055198975394929,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_I01_Skip_TotalBlind\full_eval\epoch_0060_tokenized_distill_epochs200,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_I01_Skip_TotalBlind\full_eval\epoch_0060_tokenized_distill_epochs200_grid5
Cycle-NCE\Ablate43\Ablate43_I02_Skip_ConcatFusion\full_eval\epoch_0060,Cycle-NCE\Ablate43\Ablate43_I02_Skip_ConcatFusion\full_eval\epoch_0060_grid5,25,25,25,25,25,0.6513055908679962,0.32333821360000004,0.3279673772679962,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_I02_Skip_ConcatFusion\full_eval\epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_I02_Skip_ConcatFusion\full_eval\epoch_0060_grid5
Cycle-NCE\Ablate43\Ablate43_I02_Skip_ConcatFusion\full_eval\epoch_0060_tokenized_distill_epochs200,Cycle-NCE\Ablate43\Ablate43_I02_Skip_ConcatFusion\full_eval\epoch_0060_tokenized_distill_epochs200_grid5,25,25,25,25,25,0.6490534627437592,0.3266816136000001,0.3223718491437591,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_I02_Skip_ConcatFusion\full_eval\epoch_0060_tokenized_distill_epochs200,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_I02_Skip_ConcatFusion\full_eval\epoch_0060_tokenized_distill_epochs200_grid5
