rank,score,dim,kernel,act,norm,feature_mode,scales,gram_center,gram_norm,init,scale_factor
1,0.07962607592344284,64,1,leaky,group,diff,"[1, 2]",False,chw,orthogonal,0.13025
2,0.07340803742408752,40,1,leaky,group,diff,"[1, 2]",False,chw,orthogonal,0.13025
3,0.07300026714801788,40,1,leaky,group,diff,"[1, 2]",True,chw,orthogonal,0.13025
4,0.07206885516643524,48,1,leaky,group,diff,[1],True,chw,orthogonal,0.13025
5,0.07123377174139023,48,1,leaky,group,diff,"[1, 2]",True,chw,orthogonal,0.13025
6,0.07064389437437057,56,1,leaky,group,diff,[1],True,chw,orthogonal,0.13025
7,0.07062429934740067,40,1,leaky,group,diff,[1],True,chw,orthogonal,0.13025
8,0.06987962871789932,64,1,leaky,group,diff,"[1, 2]",False,chw,orthogonal,0.13025
9,0.06985186785459518,48,1,leaky,group,diff,"[1, 2]",False,chw,orthogonal,0.13025
10,0.06898058950901031,64,1,leaky,group,diff,[1],True,chw,orthogonal,0.13025
11,0.0689210444688797,64,1,relu,group,diff,[1],True,chw,orthogonal,0.13025
12,0.06884512305259705,64,1,leaky,group,diff,[1],False,chw,orthogonal,0.13025
13,0.06866816431283951,64,1,leaky,group,diff,[1],False,chw,orthogonal,0.13025
14,0.06822783499956131,56,1,leaky,group,diff,[1],True,chw,orthogonal,0.13025
15,0.06813005357980728,40,1,relu,group,diff,"[1, 2]",False,chw,orthogonal,0.13025
16,0.06800203770399094,48,1,relu,group,diff,[1],False,chw,orthogonal,0.13025
17,0.06672152131795883,64,1,leaky,group,diff,"[1, 2]",True,chw,orthogonal,0.13025
18,0.06662162393331528,48,1,leaky,group,diff,"[1, 2]",False,chw,orthogonal,0.13025
19,0.06661476194858551,48,1,leaky,group,diff,"[1, 2]",True,chw,orthogonal,0.13025
20,0.06645897775888443,40,1,leaky,group,diff,[1],True,chw,orthogonal,0.13025
21,0.0662626400589943,40,1,leaky,group,diff,[1],False,chw,orthogonal,0.13025
22,0.0660879984498024,56,1,leaky,group,diff,"[1, 2]",False,chw,orthogonal,0.13025
23,0.06456737220287323,64,1,leaky,group,diff,[1],True,chw,orthogonal,0.13025
24,0.06429000198841095,64,1,leaky,group,diff,"[1, 2]",True,chw,orthogonal,0.13025
25,0.06382189691066742,40,1,relu,group,diff,[1],True,chw,orthogonal,0.13025
26,0.06379219889640808,48,1,relu,group,diff,[1],True,chw,orthogonal,0.13025
27,0.06363701820373535,56,1,leaky,group,diff,"[1, 2]",True,chw,orthogonal,0.13025
28,0.06349306553602219,56,1,relu,group,diff,[1],False,chw,orthogonal,0.13025
29,0.0634300485253334,48,1,leaky,group,diff,"[1, 2]",True,chw,orthogonal,0.13025
30,0.06289676576852798,64,1,relu,group,diff,"[1, 2]",True,chw,orthogonal,0.13025
31,0.06270916759967804,56,1,leaky,group,diff,[1],False,chw,orthogonal,0.13025
32,0.06257496029138565,48,1,leaky,group,diff,[1],False,chw,orthogonal,0.13025
33,0.06195248290896416,64,1,relu,group,diff,[1],False,chw,orthogonal,0.13025
34,0.061679936945438385,64,1,relu,group,diff,[1],True,chw,orthogonal,0.13025
35,0.06165153905749321,56,1,leaky,group,diff,[1],False,chw,orthogonal,0.13025
36,0.06136995181441307,40,1,leaky,group,diff,[1],False,chw,orthogonal,0.13025
37,0.06134548783302307,56,1,relu,group,diff,"[1, 2]",False,chw,orthogonal,0.13025
38,0.061055976897478104,64,1,leaky,group,diff,"[1, 2]",False,chw,orthogonal,0.13025
39,0.061016835272312164,64,1,leaky,group,diff,[1],True,chw,orthogonal,0.13025
40,0.06090318784117699,40,1,leaky,group,diff,[1],False,chw,orthogonal,0.13025
41,0.06066225469112396,56,1,leaky,group,diff,"[1, 2]",True,chw,orthogonal,0.13025
