epoch,loss,code,code_pred_norm,code_ref_norm,cycle,gram,gram_w,moment,push,nce,idt,w_cycle_eff,w_nce_eff,w_idt_eff,transfer_ratio,lr,epoch_time_sec
1,5.811745398044586,0.03598243219777942,13.840781209468842,13.752661582231521,0.0,0.021250321068800985,5.5250834727287295,0.0694215238839388,0.0019445597380399705,0.0,0.0,0.0,0.0,0.0,1.0,0.0002,34.949108600616455
2,1.2208585822582245,0.030233291015028953,18.08236587524414,18.0497979927063,0.0,0.003868998922407627,1.00593972325325,0.04699284970760345,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019996744587267795,24.779438734054565
3,0.6888091015815735,0.02761548796668649,20.601340827941893,20.585071678161622,0.0,0.0019762522843666374,0.5138255950808525,0.032260776925832034,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019986980580168453,26.276023387908936
4,0.52924569606781,0.02485981097444892,23.550140686035157,23.53053798675537,0.0,0.0014471540891099722,0.37626006215810776,0.026773195322602986,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001997071467046472,26.40837001800537
5,0.4692482528090477,0.025875536520034076,25.510484294891356,25.50678798675537,0.0,0.001221719371387735,0.31764703631401064,0.024049536008387804,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019947958005998598,26.42216444015503
6,0.4151717150211334,0.024325954169034956,28.35651309967041,28.351090507507323,0.0,0.0010642694914713502,0.27671006754040717,0.020578915057703852,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019918726183051203,24.55454659461975
7,0.37801850736141207,0.023250507591292262,30.372046298980713,30.373372631072996,0.0,0.0009520291612716391,0.2475275817513466,0.018744447818025946,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019883039235653812,26.192643880844116
8,0.34973259776830673,0.0238101499248296,31.736529483795167,31.73253047943115,0.0,0.0008572259824723005,0.22287875577807426,0.015806620512157678,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019840921621857574,26.428911209106445
9,1.5362767505645751,0.02416174997575581,32.234805297851565,32.239453296661374,0.7447130489349365,0.0008107299002585933,0.2107897739112377,0.011592546440660954,0.0,6.489216003417969,0.0,0.1666666716337204,0.1666666716337204,0.0,1.0,0.00019792402206971158,44.364351749420166
10,2.6379755473136903,0.025313290925696494,32.80569156646729,32.81525285720825,0.7300374954938889,0.0007502812432358041,0.19507312253117562,0.008978443122468888,0.0,6.241039428710938,0.0,0.3333333432674408,0.3333333432674408,0.0,1.0,0.0001973751424377793,46.12842774391174
11,3.822116937637329,0.03265840666368604,34.17192970275879,34.18685485839844,0.7132375270128251,0.0007822525146184489,0.20338565349578858,0.007000732468441129,0.0,6.234954833984375,0.0,0.5,0.5,0.0,1.0,0.0001967629534974615,44.497345209121704
12,4.961224160194397,0.03627090536057949,35.90135387420654,35.92109447479248,0.6973771297931671,0.0007161937066121027,0.18621036350727083,0.005441738460212946,0.0,6.231192626953125,0.0,0.6666666865348816,0.6666666865348816,0.0,1.0,0.00019608787481247835,44.53175139427185
13,6.1251952886581424,0.041610603667795655,37.960911407470704,37.9803702545166,0.6851522743701934,0.0007365032896632329,0.19149085491895676,0.004438357595354318,0.0,6.224910278320312,0.0,0.8333333134651184,0.8333333134651184,0.0,1.0,0.0001953503690480396,45.80110788345337
14,7.336994915008545,0.06013247491791844,41.35875461578369,41.35968364715576,0.6700498485565185,0.0007827743573579938,0.20352133229374886,0.004214553609490395,0.0,6.214464721679687,0.0,1.0,1.0,0.0,1.0,0.000194550941653757,44.49435067176819
15,8.4697158908844,0.06290304448455572,45.145712814331056,45.182493629455564,0.6566218912601471,0.0008724746154621243,0.22684339985251425,0.0038774183159694074,0.0,6.186383056640625,0.0,1.1666666269302368,1.1666666269302368,0.0,1.0,0.00019369014051723418,44.54707217216492
16,9.530463724136352,0.09286822266876697,49.52772724151611,49.58209213256836,0.6294711655378342,0.001905447867466137,0.4954164446890354,0.0054906978947110475,0.0,5.859973449707031,0.0,1.3333333730697632,1.3333333730697632,0.0,1.0,0.00019276855558857225,45.24068903923035
17,9.661285448074342,0.08666049528867006,48.10261089324951,48.15596527099609,0.6147330385446549,0.003971652435138822,1.032629629969597,0.011850841352716088,0.0,4.8908084106445315,0.0,1.5,1.5,0.0,1.0,0.00019178681847604708,44.62746715545654
18,10.037183656692505,0.08022286217659712,48.580144805908205,48.644881629943846,0.5970404201745987,0.00426562431268394,1.1090623223781586,0.013763641202822328,0.0,4.55078125,0.0,1.6666666269302368,1.6666666269302368,0.0,1.0,0.00019074560201323676,46.030314207077026
19,10.488661222457885,0.08149886075407267,48.71271095275879,48.729953842163084,0.579526304602623,0.004544189837761223,1.1814893555641175,0.014966408750042319,0.0,4.302970123291016,0.0,1.8333333730697632,1.8333333730697632,0.0,1.0,0.00018964561979789495,44.570693254470825
20,11.03602614402771,0.08829377323389054,47.67723453521729,47.75068687438965,0.5577127289772034,0.004962314879521728,1.2902018737792968,0.015444849049672485,0.0,4.123167037963867,0.0,2.0,2.0,0.0,1.0,0.00018848762570288673,44.64509153366089
21,10.807951564788818,0.08441168881952762,47.63464664459229,47.71663505554199,0.5451803824305534,0.0053732978971675035,1.3970574486255645,0.01668025410734117,0.0,3.9747630310058595,0.0,2.0,2.0,0.0,1.0,0.0001872724133595217,45.94669580459595
22,10.616837005615235,0.09200299873948098,46.244349784851075,46.309158935546876,0.5284242755174637,0.005845157597213983,1.5197409749031068,0.01821524104103446,0.0,3.8179025268554687,0.0,2.0,2.0,0.0,1.0,0.00018600081561363877,45.63576316833496
23,10.408657732009887,0.08948114089667797,44.06543960571289,44.13587516784668,0.5106595519185066,0.006439640456810594,1.674306515455246,0.019863050859421492,0.0,3.6576907348632814,0.0,2.0,2.0,0.0,1.0,0.0001846737039548153,43.89155030250549
24,10.226783599853515,0.08965986169874668,41.90983268737793,41.956460037231444,0.48635308533906935,0.006939359991811216,1.8042335963249208,0.021676753237843512,0.0,3.523925476074219,0.0,2.0,2.0,0.0,1.0,0.0001832919879190915,44.76509618759155
25,9.86158818244934,0.08402062639594078,39.381020088195804,39.44095573425293,0.44938079863786695,0.007416429580189288,1.9282716929912567,0.023632798325270415,0.0,3.3256034088134765,0.0,2.0,2.0,0.0,1.0,0.00018185661446562003,46.349971771240234
26,9.548930864334107,0.08638198714703321,38.4569909286499,38.499665145874026,0.3983659636974335,0.007985895038582385,2.076332701444626,0.02595128061249852,0.0,3.1392178344726562,0.0,2.0,2.0,0.0,1.0,0.00018036856732766735,44.36567997932434
27,9.16754066467285,0.07327708128839731,36.79248615264893,36.8363277053833,0.34428327351808546,0.008423546990379692,2.1901222133636473,0.027562173288315533,0.0,2.9703096389770507,0.0,2.0,2.0,0.0,1.0,0.00017882886633841224,44.5005202293396
28,8.865340423583984,0.07417605116963387,35.2868172454834,35.325881271362306,0.3045264881849289,0.008591474490240216,2.2337833642959595,0.031334072593599556,0.0,2.8315658950805664,0.0,2.0,2.0,0.0,1.0,0.00017723856673200296,46.40733313560486
29,8.4856547164917,0.05996478550136089,34.06809707641602,34.0996855545044,0.2672114270925522,0.008400507559999824,2.184131965637207,0.034669707715511325,0.0,2.728950653076172,0.0,2.0,2.0,0.0,1.0,0.00017559875842035246,44.24158430099487
30,8.209410476684571,0.055633151344954966,33.585289573669435,33.60649320602417,0.2457325477898121,0.008363723400980233,2.174568085670471,0.0370905676856637,0.0,2.623331756591797,0.0,2.0,2.0,0.0,1.0,0.00017391056524616733,44.61293172836304
31,8.047622656822204,0.05896609384566545,32.790372371673584,32.80651275634766,0.21642183765769005,0.008516445169225334,2.21427574634552,0.039726539440453054,0.0,2.542592887878418,0.0,2.0,2.0,0.0,1.0,0.00017217514421272203,46.12982797622681
32,7.760382308959961,0.0464457755535841,31.786732425689696,31.808414916992188,0.19591275110840797,0.00829053219873458,2.155538363456726,0.042056121602654456,0.0,2.4715615463256837,0.0,2.0,2.0,0.0,1.0,0.00017039368469090664,44.56255030632019
33,7.577875437736512,0.044889608919620516,31.9902272605896,32.00093757629394,0.18394808262586593,0.008296577404253184,2.1571101343631742,0.04432536471635103,0.0,2.392329978942871,0.0,2.0,2.0,0.0,1.0,0.00016856740760409154,44.508066177368164
