epoch,loss,gram,moment,code,push,cycle,nce,idt,w_cycle_eff,w_idt_eff,lr,epoch_time_sec
1,6.075217447280884,0.028543222825974227,0.0668277768790722,0.0,0.016216992360659786,0.0,0.0,0.0,0.0,0.0,0.0002,26.437355041503906
2,4.374411742687226,0.020543375611305238,0.053079317100346086,0.0,0.00017001953106955626,0.0,0.0,0.0,0.0,0.0,0.0001997071467046472,18.880438327789307
3,3.4102291321754454,0.016091808900237082,0.03837292617186904,0.0,1.3671875058207661e-06,0.0,0.0,0.0,0.0,0.0,0.00019883039235653812,15.829636096954346
4,2.709751834869385,0.012918294807896018,0.025218574460595847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001973751424377793,18.992692708969116
5,2.189249279499054,0.01054464072920382,0.016064228117465974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001953503690480396,15.872124671936035
6,1.7055379581451415,0.008249137476086616,0.011142092356458307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019276855558857225,15.761082649230957
7,1.219157138466835,0.0058811946073547006,0.008583642900921404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018964561979789495,19.643198490142822
8,0.8964254498481751,0.004310380942188203,0.006866453345865011,0.0,8.496093796566129e-06,0.0,0.0,0.0,0.0,0.0,0.00018600081561363877,15.63170313835144
9,0.7390176302194595,0.0035428948467597365,0.006084255483001471,0.0,8.691405928402674e-06,0.0,0.0,0.0,0.0,0.0,0.00018185661446562003,18.84291982650757
10,0.647524110674858,0.0031009408831596374,0.0054626949201338,0.0,1.123046875363798e-05,0.0,0.0,0.0,0.0,0.0,0.00017723856673200296,15.954844951629639
