epoch,loss,swd,repulsive,color,identity,identity_ratio,sched_factor,idt_anchor,topo_align,idt_repel,aent,amax,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec
1,56.575042724609375,21.112409591674805,22.327260971069336,1.0996417999267578,12.035725593566895,0.25,1.0,2.215367078781128,0.705200731754303,9.115155220031738,0.9809188842773438,0.010831404477357864,1.3333333333333333e-05,0.5169043997302651,0.004991999827325344,28.203451100038365,5.421226499602199,0.10514850122854114,0.026749499142169952,33.73481810069643,34.912917613983154,10240,293.30118190691474,303.5439518136487
2,54.29790115356445,19.016490936279297,22.022794723510742,0.9122992753982544,12.346314430236816,0.25,1.0,2.844109296798706,0.6839322447776794,8.818273544311523,0.9747126698493958,0.012870224192738533,2.6666666666666667e-05,0.4734770003706217,0.0044604993890970945,21.79406400048174,1.2565213991329074,0.07763889990746975,0.023135401075705886,23.132684798911214,24.280072927474976,10240,421.7450264909446,442.66370674284923
3,52.22373580932617,16.956838607788086,21.272008895874023,0.6633491516113281,13.33154582977295,0.25,1.0,4.3019537925720215,0.8879733085632324,8.141618728637695,0.9519782066345215,0.024183066561818123,4e-05,0.47137939976528287,0.00463080033659935,21.80316870007664,1.2668167997617275,0.08033320005051792,0.023964600171893835,23.154949500225484,24.297423124313354,10240,421.4438686608411,442.23806231580346
4,49.739776611328125,14.59972095489502,20.4250545501709,0.4843432605266571,14.2306547164917,0.25,1.0,5.926574230194092,1.0979528427124023,7.206130504608154,0.9352260828018188,0.030170097947120667,5.333333333333333e-05,0.4851349995005876,0.004651000490412116,21.78349799918942,1.2889228989370167,0.0805697999894619,0.02457780227996409,23.157641698606312,24.313631296157837,10240,421.1629219539155,442.1866498010577
5,48.23397445678711,13.360033988952637,19.669437408447266,0.43618327379226685,14.76832103729248,0.25,1.0,7.138423919677734,1.288151502609253,6.341743469238281,0.9583815932273865,0.018667234107851982,6.666666666666667e-05,0.4753705004695803,0.004435299197211862,21.814878400415182,1.260010800557211,0.07964400085620582,0.023603698471561074,23.15896850102581,24.305518627166748,10240,421.3034972458705,442.161316448374
6,47.444828033447266,12.708179473876953,18.860525131225586,0.39716994762420654,15.478955268859863,0.25,1.0,8.583858489990234,1.493233561515808,5.401863098144531,0.960686981678009,0.016908204182982445,8e-05,0.4761557986494154,0.004498799564316869,21.816982900258154,1.2593388997483999,0.07758149923756719,0.02394410176202655,23.158402098808438,24.306950330734253,10240,421.27868205055387,442.17213071565396
7,47.3336181640625,12.56147575378418,18.356948852539062,0.3574696481227875,16.057722091674805,0.25,1.0,9.806838035583496,1.6487032175064087,4.6021833419799805,0.9507016539573669,0.01982467994093895,7.947055393155969e-05,0.4870074987411499,0.004611799493432045,21.79997409833595,1.2792942004743963,0.07941100001335144,0.024149202276021242,23.16329109831713,24.323214769363403,10240,420.99698157078785,442.0788029013701
8,46.424530029296875,12.39593505859375,17.79421043395996,0.314115047454834,15.920269966125488,0.25,1.0,10.074722290039062,1.5546934604644775,4.290853023529053,0.9568899273872375,0.019327936694025993,7.884828921053212e-05,0.4737152000889182,0.004539899528026581,21.82203460065648,1.2587239996064454,0.0785541997756809,0.023826600518077612,23.163852699566633,24.31021237373352,10240,421.2221531665442,442.0680848221582
9,46.14530563354492,12.227283477783203,17.7946834564209,0.2989427149295807,15.824393272399902,0.25,1.0,10.082395553588867,1.4910403490066528,4.250955104827881,0.9586002230644226,0.01875130645930767,7.813491142126459e-05,0.4787686998024583,0.004520699847489595,21.819660699693486,1.2547935992479324,0.07789710070937872,0.02382240048609674,23.156872099498287,24.30639410018921,10240,421.2883226442991,442.20134550131485
10,46.327945709228516,12.07912540435791,17.64659309387207,0.3064054548740387,16.295818328857422,0.25,1.0,10.534819602966309,1.6476424932479858,4.11335563659668,0.9436441659927368,0.02330256812274456,7.733237588269115e-05,0.4836070998571813,0.00463350024074316,21.774534499738365,1.2956980993039906,0.07939470023848116,0.02409360115416348,23.15426079952158,24.31104612350464,10240,421.20770731045036,442.2512162518089
11,46.29765319824219,12.455257415771484,17.39504051208496,0.281742662191391,16.165613174438477,0.25,1.0,10.492528915405273,1.722054362297058,3.95102858543396,0.9413389563560486,0.02291756495833397,7.644288228893951e-05,0.4755470999516547,0.0044869002886116505,21.81725539965555,1.257651400519535,0.07740129996091127,0.02351339953020215,23.15679500042461,24.30302667617798,10240,421.3466962959527,442.20281778252286
12,46.19319152832031,12.285165786743164,17.276357650756836,0.27851784229278564,16.353158950805664,0.25,1.0,10.690009117126465,1.9205999374389648,3.7425477504730225,0.9259563684463501,0.02820725180208683,7.546886868012217e-05,0.4744033000897616,0.004701799480244517,21.805699300253764,1.25961699988693,0.0783657010179013,0.023769099498167634,23.14838380063884,24.295315504074097,10240,421.4804289445366,442.3634966566176
13,46.31602096557617,12.717949867248535,17.158218383789062,0.28760045766830444,16.152246475219727,0.25,1.0,10.484109878540039,1.916256308555603,3.7518794536590576,0.9351425170898438,0.02489572949707508,7.441300475983805e-05,0.4775920999236405,0.004599900217726827,21.809225799515843,1.28150900057517,0.0807858002372086,0.024001599522307515,23.17612050054595,24.325782537460327,10240,420.9525421939039,441.83408520674465
14,45.871089935302734,12.473424911499023,16.9426326751709,0.2746506631374359,16.180389404296875,0.25,1.0,10.644753456115723,2.0321762561798096,3.5034565925598145,0.9252158403396606,0.029849577695131302,7.327818457770047e-05,0.48044499987736344,0.004469898762181401,21.814284200780094,1.2528527004178613,0.07810639985837042,0.024072699481621385,23.149713199818507,24.299193859100342,10240,421.4131571350461,442.33809341881096
15,46.19971466064453,12.57706356048584,17.048603057861328,0.2753385007381439,16.2987060546875,0.25,1.0,10.565157890319824,2.16782546043396,3.565721273422241,0.9147648215293884,0.03262421488761902,7.206751859694825e-05,0.4820970995351672,0.004493300337344408,21.805603800108656,1.2668705999385566,0.07853249995969236,0.023690600879490376,23.15550020034425,24.309494733810425,10240,421.2345880541022,442.2275447043793
16,45.70667266845703,12.508448600769043,16.948062896728516,0.2790738642215729,15.971092224121094,0.25,1.0,10.209187507629395,2.149141311645508,3.612764358520508,0.925024151802063,0.029353370890021324,7.07843251688823e-05,0.4819991991389543,0.004642299842089415,21.812426700722426,1.2744178995490074,0.07826409884728491,0.024279701057821512,23.169750998960808,24.324058771133423,10240,420.9823737209647,441.9555480099582
17,44.99616622924805,12.303698539733887,16.819276809692383,0.24604614078998566,15.627153396606445,0.25,1.0,10.022143363952637,2.099275827407837,3.505730390548706,0.9347678422927856,0.026524076238274574,6.943212143749525e-05,0.4747135005891323,0.004728099796921015,21.824297099374235,1.2723490993957967,0.07889860169962049,0.024157498497515917,23.180272900266573,24.321726083755493,10240,421.02274997823065,441.7549372286398
18,45.10693359375,12.218188285827637,16.822492599487305,0.2463027685880661,15.819952964782715,0.25,1.0,10.092974662780762,2.203498601913452,3.523479461669922,0.9443468451499939,0.021790476515889168,6.801461369922432e-05,0.4736205006483942,0.004455700749531388,21.822436799760908,1.2629484997596592,0.07858470012433827,0.024024500278756022,23.168425700394437,24.315510272979736,10240,421.13037666246527,441.9808290999102
19,45.2397575378418,12.438155174255371,16.828214645385742,0.26417574286460876,15.709202766418457,0.25,1.0,9.938362121582031,2.257070302963257,3.5137710571289062,0.942234218120575,0.022751493379473686,6.653568724425033e-05,0.48320410028100014,0.004551500780507922,21.799992000684142,1.2881002996582538,0.0794749993365258,0.024245601380243897,23.17211880045943,24.326780557632446,10240,420.9352723736078,441.91038757305927
20,45.45827865600586,12.284431457519531,16.821102142333984,0.2538555860519409,16.0988826751709,0.25,1.0,10.252423286437988,2.303494453430176,3.542966842651367,0.941643238067627,0.022242313250899315,6.499939570718747e-05,0.47913290024735034,0.004679299890995026,21.82572069973685,1.2707094999495894,0.0784976000431925,0.02449900028295815,23.179607099620625,24.332815647125244,10240,420.83087089059444,441.76762599947585
21,44.98102951049805,12.225510597229004,16.814842224121094,0.2504532039165497,15.690228462219238,0.25,1.0,9.839046478271484,2.3381497859954834,3.5130321979522705,0.9389843940734863,0.024448558688163757,6.340994995635249e-05,0.4766068004537374,0.004556199535727501,21.82096489984542,1.2529184001032263,0.07804670021869242,0.023487900383770466,23.156486199703068,24.305158853530884,10240,421.3097335306,442.2087147285457
22,45.10377502441406,12.208575248718262,16.759153366088867,0.25137075781822205,15.884683609008789,0.25,1.0,9.793760299682617,2.5335750579833984,3.5573480129241943,0.9323612451553345,0.026169924065470695,6.177170655206742e-05,0.4802407000679523,0.004592900164425373,21.82690320024267,1.265600499464199,0.07855349942110479,0.02332460042089224,23.175650099292397,24.32814049720764,10240,420.9117421520702,441.8430532100866
23,44.8490104675293,12.01167106628418,16.708961486816406,0.24017105996608734,15.888214111328125,0.25,1.0,9.9401273727417,2.521318197250366,3.426769733428955,0.9291278123855591,0.027990926057100296,6.008915580563053e-05,0.4803618984296918,0.00460720038972795,21.81390200019814,1.2740927000995725,0.07847560034133494,0.02383599942550063,23.171077501028776,24.326807975769043,10240,420.93479794799435,441.9302468581943
24,45.04191207885742,11.93598461151123,16.715740203857422,0.2504560947418213,16.139724731445312,0.25,1.0,10.029902458190918,2.6675820350646973,3.4422364234924316,0.9193870425224304,0.031428273767232895,5.83669094716851e-05,0.5377612002193928,0.004482499090954661,21.767115599941462,1.2538500004447997,0.07809700048528612,0.0240684999153018,23.103545099962503,24.317748308181763,10240,421.0916187727269,443.22202310054223
25,44.55344772338867,11.911219596862793,16.616796493530273,0.2392694503068924,15.786155700683594,0.25,1.0,9.665844917297363,2.7188544273376465,3.4014549255371094,0.9193223118782043,0.031870849430561066,5.66096881077206e-05,0.48855729936622083,0.004540000343695283,21.82287220028229,1.261941798729822,0.08028579968959093,0.02418440137989819,23.1696397990454,24.329774618148804,10240,420.8834714137248,441.9576691227584
26,44.90865707397461,12.139429092407227,16.585994720458984,0.24029679596424103,15.942936897277832,0.25,1.0,9.846097946166992,2.71885085105896,3.377990484237671,0.9110367894172668,0.03417270630598068,5.482230813535271e-05,0.4776808002498001,0.004674999043345451,21.824642199091613,1.2696353008504957,0.07977780001237988,0.024755100719630718,23.178730298997834,24.32849645614624,10240,420.9055836417303,441.78433710162034
27,44.720542907714844,12.095952987670898,16.569461822509766,0.2647337317466736,15.79040241241455,0.25,1.0,9.643492698669434,2.8203094005584717,3.3265998363494873,0.9029373526573181,0.0373610258102417,5.3009668638846426e-05,0.47835009917616844,0.004907400580123067,21.844570801360533,1.2598682004027069,0.07728560059331357,0.023673497373238206,23.186632002936676,24.335402488708496,10240,420.7861367713687,441.6337827202789
