epoch,loss,swd,repulsive,color,identity,identity_ratio,sched_factor,idt_anchor,topo_align,idt_repel,aent,amax,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec
1,46.09360122680664,15.01025104522705,22.319456100463867,2.682725191116333,6.08117151260376,0.25,1.0,1.1826566457748413,0.37060078978538513,4.527913570404053,0.9548279047012329,0.018915889784693718,1.3333333333333333e-05,0.5006859006825835,0.004935800330713391,24.125219599343836,5.149550900328904,0.1163778998889029,0.025791300926357508,29.396084199892357,30.522379875183105,10240,335.49153250418254,348.3457160609676
2,43.4821662902832,13.072049140930176,21.78606414794922,1.8457437753677368,6.778301239013672,0.25,1.0,2.1594667434692383,0.5101178288459778,4.1087188720703125,0.9255989193916321,0.029123296961188316,2.6666666666666667e-05,0.47753570042550564,0.004393300041556358,17.880734799196944,1.3357213991694152,0.08325610030442476,0.02422150131314993,19.30410559871234,20.40460968017578,10240,501.84738451276195,530.4571065277974
3,40.53477478027344,11.226512908935547,20.270627975463867,1.1247279644012451,7.912911415100098,0.25,1.0,3.756469488143921,0.7623821496963501,3.3940601348876953,0.8784629702568054,0.0527874231338501,4e-05,0.47878450038842857,0.004629500210285187,17.893359100213274,1.341524799587205,0.08623610064387321,0.024505699053406715,19.325749500654638,20.426533699035645,10240,501.30874630400166,529.863020301134
4,38.283870697021484,9.662596702575684,19.35550880432129,0.7528740763664246,8.512886047363281,0.25,1.0,4.781580924987793,0.8616215586662292,2.869683027267456,0.8795774579048157,0.05063164234161377,5.333333333333333e-05,0.4712602992076427,0.004473900655284524,17.903018000535667,1.3173771996516734,0.08443069993518293,0.0242222985252738,19.309299800777808,20.40480899810791,10240,501.8424823750877,530.3144135546291
5,36.834957122802734,8.759848594665527,18.571273803710938,0.6037240028381348,8.900099754333496,0.25,1.0,5.427049160003662,0.9910390973091125,2.482011079788208,0.9318096041679382,0.02655506692826748,6.666666666666667e-05,0.4690445999149233,0.0043748009484261274,17.907279799925163,1.3230678993277252,0.0832928994204849,0.023705100873485208,19.3180153996218,20.411303758621216,10240,501.6827989576552,530.0751546248625
6,35.597415924072266,7.76978063583374,17.5323486328125,0.5652359127998352,9.730050086975098,0.25,1.0,6.39227819442749,1.3649609088897705,1.9728113412857056,0.9351300597190857,0.023336276412010193,8e-05,0.4810712991748005,0.004582500550895929,17.89009039942175,1.3525594987440854,0.08604609942995012,0.02418110193684697,19.333278498146683,20.4404935836792,10240,500.96637628047165,529.6566746804801
7,34.86554718017578,7.52392053604126,16.683353424072266,0.5030608177185059,10.1552152633667,0.25,1.0,7.052432537078857,1.5509604215621948,1.5518221855163574,0.9309751391410828,0.024315236136317253,7.947055393155969e-05,0.48423340008594096,0.004463700577616692,17.92094189906493,1.3282061007339507,0.08681160025298595,0.024115699343383312,19.34042330062948,20.45019006729126,10240,500.72884243644313,529.4610071779925
8,34.46934127807617,7.539031505584717,16.332197189331055,0.4481933116912842,10.149917602539062,0.25,1.0,7.1844000816345215,1.4819344282150269,1.4835838079452515,0.9281989336013794,0.02611432783305645,7.884828921053212e-05,0.4710603994317353,0.004356699530035257,17.955876799300313,1.314167499775067,0.08291669911704957,0.02403880236670375,19.357317697722465,20.451700687408447,10240,500.6918571962325,528.9989119311099
9,34.099979400634766,7.2351837158203125,16.231725692749023,0.3806677758693695,10.252402305603027,0.25,1.0,7.357752323150635,1.4818021059036255,1.4128473997116089,0.9377616047859192,0.022968260571360588,7.813491142126459e-05,0.4734304992016405,0.0043988998513668776,17.948364600306377,1.312957200454548,0.08354810089804232,0.023894797544926405,19.349268801510334,20.44854426383972,10240,500.76914365527483,529.2189645533635
10,33.84355926513672,6.902853488922119,16.12164878845215,0.3466247022151947,10.472423553466797,0.25,1.0,7.588798522949219,1.506598711013794,1.3770252466201782,0.9275493025779724,0.026547271758317947,7.733237588269115e-05,0.48043119930662215,0.0045011991169303656,17.921269100159407,1.3464120991993695,0.08730500005185604,0.024738701293244958,19.359487398527563,20.463982343673706,10240,500.3913621517379,528.9396247536405
11,33.69872283935547,6.991875648498535,15.842798233032227,0.3283837139606476,10.535663604736328,0.25,1.0,7.736146450042725,1.4740506410598755,1.3254646062850952,0.9407683610916138,0.022315869107842445,7.644288228893951e-05,0.5376781998202205,0.0044267005287110806,17.88606350054033,1.3231523993890733,0.08302959962747991,0.023316700709983706,19.296672200085595,20.458184957504272,10240,500.53316172820416,530.6614474155072
