run_name,source,checkpoint,source_style,target_style,top_layer_name,top_layer_stage,top_layer_max_ma_ratio,top_layer_mean_ma_ratio,num_layers,stem_max,stem_mean,hires_max,hires_mean,body_max,body_mean,skip_max,skip_mean,decoder_max,decoder_mean,output_max,output_mean,other_max,other_mean
photo -> Hayao,photo->Hayao,G:\GitHub\Latent_Style\Cycle-NCE\epoch_0060.pt,photo,Hayao,hires_body.1.norm1,hires,16.843263626098633,8.051542282104492,25,9.652456283569336,8.582830667495728,16.843263626098633,13.484227498372396,14.281105995178223,9.557087103525797,15.612678527832031,11.186388850212097,13.461543083190918,10.176201820373535,,,,
photo -> monet,photo->monet,G:\GitHub\Latent_Style\Cycle-NCE\epoch_0060.pt,photo,monet,hires_body.0,hires,31.009929656982422,10.926863670349121,25,17.231822967529297,13.341350078582764,31.009929656982422,23.672995885213215,10.12983226776123,9.117694536844889,22.123046875,15.236380815505981,14.224893569946289,10.056780242919922,,,,
photo -> vangogh,photo->vangogh,G:\GitHub\Latent_Style\Cycle-NCE\epoch_0060.pt,photo,vangogh,hires_body.0,hires,20.25179100036621,10.794713020324707,25,11.336016654968262,9.791301727294922,20.25179100036621,17.968716621398926,9.441914558410645,8.834599335988363,18.48526382446289,13.755293369293213,15.453417778015137,10.45343279838562,,,,
photo -> cezanne,photo->cezanne,G:\GitHub\Latent_Style\Cycle-NCE\epoch_0060.pt,photo,cezanne,hires_body.0,hires,16.55800437927246,9.304768562316895,25,10.304705619812012,9.245934963226318,16.55800437927246,13.540175120035807,10.252496719360352,8.400302569071451,15.308221817016602,11.462453842163086,12.767410278320312,9.271829843521118,,,,
Hayao -> photo,Hayao->photo,G:\GitHub\Latent_Style\Cycle-NCE\epoch_0060.pt,Hayao,photo,hires_body.0,hires,21.13880157470703,9.560895919799805,25,9.774640083312988,9.271665573120117,21.13880157470703,14.958803017934164,10.277385711669922,9.243315060933432,15.757603645324707,11.507349252700806,15.959859848022461,10.276018714904785,,,,
Hayao -> monet,Hayao->monet,G:\GitHub\Latent_Style\Cycle-NCE\epoch_0060.pt,Hayao,monet,hires_body.0,hires,19.584070205688477,9.642830848693848,25,8.748044967651367,7.928545236587524,19.584070205688477,15.007986068725586,13.894922256469727,9.40002997716268,16.508758544921875,11.76392650604248,14.877199172973633,10.244342517852782,,,,
Hayao -> vangogh,Hayao->vangogh,G:\GitHub\Latent_Style\Cycle-NCE\epoch_0060.pt,Hayao,vangogh,hires_body.0,hires,21.406131744384766,10.068605422973633,25,9.931199073791504,8.96689224243164,21.406131744384766,16.929554144541424,14.445306777954102,10.019922574361166,17.86912727355957,13.778345584869385,15.102518081665039,9.930406713485718,,,,
Hayao -> cezanne,Hayao->cezanne,G:\GitHub\Latent_Style\Cycle-NCE\epoch_0060.pt,Hayao,cezanne,hires_body.0,hires,22.7044734954834,10.344645500183105,25,10.97783088684082,9.626681804656982,22.7044734954834,17.986509164174397,11.32922077178955,9.152357578277588,16.649982452392578,12.90517783164978,13.096467018127441,9.355538654327393,,,,
monet -> photo,monet->photo,G:\GitHub\Latent_Style\Cycle-NCE\epoch_0060.pt,monet,photo,hires_body.0,hires,19.466571807861328,9.99696159362793,25,12.142843246459961,10.943595886230469,19.466571807861328,16.294850826263428,9.763984680175781,9.45415178934733,16.87485694885254,13.655351638793945,15.01599407196045,10.296815776824952,,,,
monet -> Hayao,monet->Hayao,G:\GitHub\Latent_Style\Cycle-NCE\epoch_0060.pt,monet,Hayao,hires_body.0.norm1,hires,22.667739868164062,11.044831275939941,25,13.665339469909668,11.33491563796997,22.667739868164062,18.64925543467204,11.367752075195312,9.799837748209635,19.549123764038086,14.358789920806885,12.37777328491211,9.435440397262573,,,,
