timestamp,study_name,trial,status,elapsed_sec,score,style_swd,content_ssim,w_style,w_structure,w_moment,w_identity,batch_size,num_epochs,trial_dir,train_log,trial_config,error
2026-02-20 10:33:45,ssim-latent_style_hpo-nce,194,failed,0.182,,,,44.26813796,10.00000000,17.83598987,87.38197808,50,1,/mnt/g/GitHub/Latent_Style/Cycle-NCE/ssim-optun-nce/trial_0194,/mnt/g/GitHub/Latent_Style/Cycle-NCE/ssim-optun-nce/trial_0194/train.log,/mnt/g/GitHub/Latent_Style/Cycle-NCE/ssim-optun-nce/trial_0194/config.trial.json,"FileNotFoundError(2, 'No such file or directory')"
2026-02-20 11:10:59,ssim-latent_style_hpo-nce,194,completed,168.664,-2.65689493,1.84126864,0.36843737,204.62034063,52.87161557,184.79315291,457.53920992,50,1,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0194,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0194\train.log,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0194\config.trial.json,
2026-02-20 11:13:43,ssim-latent_style_hpo-nce,195,completed,164.523,-2.46779780,1.80328280,0.38354850,208.53089953,50.52860932,187.72686894,515.20492027,50,1,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0195,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0195\train.log,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0195\config.trial.json,
2026-02-20 11:17:12,ssim-latent_style_hpo-nce,196,completed,208.853,-2.26057399,1.69155769,0.39309837,213.63851396,48.76544857,183.46198935,554.03300251,50,1,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0196,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0196\train.log,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0196\config.trial.json,
2026-02-20 11:20:53,ssim-latent_style_hpo-nce,197,completed,220.071,-2.19796605,1.69679773,0.39988317,199.74887495,49.42361373,186.43742577,528.13625878,50,1,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0197,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0197\train.log,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0197\config.trial.json,
2026-02-20 11:24:33,ssim-latent_style_hpo-nce,198,completed,220.126,-3.13071158,2.09817152,0.34674599,279.65474918,51.20046373,192.77711660,528.31628336,50,1,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0198,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0198\train.log,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0198\config.trial.json,
2026-02-20 11:28:13,ssim-latent_style_hpo-nce,199,completed,220.144,-2.22391988,1.70481114,0.39808913,221.25926953,47.76648540,189.34596785,580.85968616,50,1,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0199,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0199\train.log,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0199\config.trial.json,
2026-02-20 11:31:53,ssim-latent_style_hpo-nce,200,completed,219.604,-3.35126101,2.06165159,0.32103906,272.90698615,47.83542209,180.58822450,583.89575378,50,1,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0200,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0200\train.log,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0200\config.trial.json,
2026-02-20 11:35:34,ssim-latent_style_hpo-nce,201,completed,221.308,-2.30292285,1.69684231,0.38939195,224.57241633,45.98718975,190.10120612,575.71128099,50,1,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0201,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0201\train.log,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0201\config.trial.json,
2026-02-20 11:39:15,ssim-latent_style_hpo-nce,202,completed,220.830,-2.59776207,1.58411248,0.34863504,219.42349348,49.22372324,155.27060773,493.90578115,50,1,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0202,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0202\train.log,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0202\config.trial.json,
2026-02-20 11:42:56,ssim-latent_style_hpo-nce,203,completed,220.572,-2.78694844,1.84440094,0.35574525,160.33471196,48.03278270,183.05370047,540.07003926,50,1,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0203,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0203\train.log,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0203\config.trial.json,
2026-02-20 11:46:36,ssim-latent_style_hpo-nce,204,completed,220.088,-2.44288263,1.73575698,0.37928744,221.86975546,45.14998066,189.80951680,622.77611273,50,1,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0204,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0204\train.log,G:\GitHub\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0204\config.trial.json,
