epoch,loss,distill,code,code_pred_norm,code_ref_norm,cycle,struct,edge,stroke_gram,color_moment,push,delta_tv,style_spatial_tv,nce,semigroup,semigroup_samples,train_num_steps,train_step_size,train_style_strength,heavy_loss_slot_id,path_teacher_active,path_cycle_active,path_stroke_active,path_nce_active,path_semigroup_active,w_cycle_eff,w_struct_eff,w_edge_eff,w_nce_eff,w_semigroup_eff,transfer_ratio,lr,data_time_sec,compute_time_sec,epoch_time_sec
1,4.566313743591309,0.0,0.0,0.0,0.0,0.0,0.2125360518693924,0.20683683454990387,0.030060769990086555,0.21949955821037292,0.0,0.04309120774269104,0.09039371460676193,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.0002,0.38475070003187284,27.00273780000134,27.39022421836853
2,3.8875467777252197,0.0,0.0,0.0,0.0,0.0,0.3877023458480835,0.49941229820251465,0.0269242525100708,0.15456610918045044,0.0,0.11765538901090622,0.0887506753206253,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019981253920068581,0.3771292000019457,17.59968069999013,17.978596210479736
3,3.61736798286438,0.0,0.0,0.0,0.0,0.0,0.4742008149623871,0.7646949887275696,0.02383759245276451,0.1433849036693573,0.0,0.1934463530778885,0.0867517739534378,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.0001992508966248754,0.3711478999903193,17.61344259999896,17.986117839813232
4,3.476062059402466,0.0,0.0,0.0,0.0,0.0,0.5412549376487732,0.9510587453842163,0.021647240966558456,0.14168131351470947,0.0,0.24829435348510742,0.08518879860639572,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019831728881922545,0.3802884000033373,17.606105699960608,17.987882614135742
5,3.4545934200286865,0.0,0.0,0.0,0.0,0.0,0.5571971535682678,1.0016220808029175,0.020989004522562027,0.14410345256328583,0.0,0.2640588879585266,0.08458258211612701,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019701540030721995,0.37618459999066545,17.624577100017632,18.002432346343994
6,3.3509507179260254,0.0,0.0,0.0,0.0,0.0,0.5629886388778687,1.0303784608840942,0.0203486867249012,0.13712550699710846,0.0,0.27411600947380066,0.08421038091182709,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019535036904803958,0.37556920000497485,17.619965000034426,17.998074293136597
7,3.3416707515716553,0.0,0.0,0.0,0.0,0.0,0.5661352276802063,1.043270468711853,0.020156705752015114,0.13756179809570312,0.0,0.279167503118515,0.08385928720235825,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019332876615938386,0.37973150001926115,17.584506999985024,17.9669189453125
8,3.3462820053100586,0.0,0.0,0.0,0.0,0.0,0.5704566836357117,1.0585038661956787,0.020010359585285187,0.13910338282585144,0.0,0.2850070893764496,0.08351586014032364,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019095856998427185,0.38547819996165344,17.554696399987733,17.941639184951782
9,3.2954812049865723,0.0,0.0,0.0,0.0,0.0,0.5699447989463806,1.0663692951202393,0.019749781116843224,0.13540178537368774,0.0,0.2878953516483307,0.08331678807735443,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.000188249134604167,0.3769720000200323,17.63407949997054,18.01260805130005
10,3.3384268283843994,0.0,0.0,0.0,0.0,0.0,0.5689164400100708,1.070251703262329,0.019831757992506027,0.1397271752357483,0.0,0.2902521789073944,0.08311325311660767,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00018521115292269142,0.38092229999165284,17.58867610002926,17.971054792404175
11,3.294748067855835,0.0,0.0,0.0,0.0,0.0,0.5770503878593445,1.0832175016403198,0.019523896276950836,0.13704001903533936,0.0,0.2943553924560547,0.08288424462080002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00018185661446562,0.37988790001691086,17.565881300011824,17.94762682914734
12,3.3286385536193848,0.0,0.0,0.0,0.0,0.0,0.5759077668190002,1.0865864753723145,0.019641054794192314,0.13986007869243622,0.0,0.29610154032707214,0.08266513049602509,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00017819875806369996,0.3806934000022011,17.58600340000703,17.96919083595276
13,3.2616560459136963,0.0,0.0,0.0,0.0,0.0,0.5755770802497864,1.0898698568344116,0.019426165148615837,0.13378949463367462,0.0,0.29737621545791626,0.08241444081068039,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00017425201960503408,0.37838040003407514,17.60358569998789,17.983353853225708
14,3.310021162033081,0.0,0.0,0.0,0.0,0.0,0.5779544711112976,1.0962175130844116,0.019407469779253006,0.13974736630916595,0.0,0.2996017336845398,0.08221175521612167,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.0001700319750632254,0.4535830000168062,17.515430499996,17.970582962036133
15,3.271907091140747,0.0,0.0,0.0,0.0,0.0,0.5749651193618774,1.0948536396026611,0.01923336274921894,0.13706764578819275,0.0,0.30011263489723206,0.08206285536289215,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.0001655552790261255,0.3816405000179657,17.58213120004075,17.965222597122192
16,3.284986734390259,0.0,0.0,0.0,0.0,0.0,0.5776967406272888,1.1014034748077393,0.01921476423740387,0.13859719038009644,0.0,0.3025054931640625,0.08183133602142334,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00016083959896778495,0.3735012999823084,17.59857190002367,17.973572731018066
