epoch,loss,distill,code,code_pred_norm,code_ref_norm,cycle,struct,edge,stroke_gram,color_moment,push,delta_tv,style_spatial_tv,nce,semigroup,semigroup_samples,train_num_steps,train_step_size,train_style_strength,heavy_loss_slot_id,path_teacher_active,path_cycle_active,path_stroke_active,path_nce_active,path_semigroup_active,w_cycle_eff,w_struct_eff,w_edge_eff,w_nce_eff,w_semigroup_eff,transfer_ratio,lr,data_time_sec,compute_time_sec,epoch_time_sec
1,4.475645542144775,0.0,0.0,0.0,0.0,0.0,0.23489579558372498,0.24295498430728912,0.029792673885822296,0.20926623046398163,0.0,0.051415812224149704,0.09036225825548172,0.0,0.0,0.0,2.0,1.1357307434082031,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.0002,0.4000916999975743,39.98663390001457,40.390172481536865
2,3.7783126831054688,0.0,0.0,0.0,0.0,0.0,0.42196542024612427,0.5831053256988525,0.025976143777370453,0.14757607877254486,0.0,0.13956040143966675,0.08852624893188477,0.0,0.0,0.0,2.0,1.1466675996780396,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019981253920068581,0.40900869999677525,30.459008400008315,30.86957049369812
3,3.500598669052124,0.0,0.0,0.0,0.0,0.0,0.5235643982887268,0.8726769685745239,0.022503457963466644,0.13850510120391846,0.0,0.22339415550231934,0.08637022227048874,0.0,0.0,0.0,2.0,1.1552815437316895,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.0001992508966248754,0.39020829999572015,30.42018140001892,30.812982082366943
4,3.4159998893737793,0.0,0.0,0.0,0.0,0.0,0.5590006113052368,0.994397759437561,0.02095886319875717,0.13984479010105133,0.0,0.2619509994983673,0.08508329093456268,0.0,0.0,0.0,2.0,1.1403316259384155,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019831728881922545,0.39048230000480544,30.424276399993687,30.8163423538208
5,3.416898727416992,0.0,0.0,0.0,0.0,0.0,0.5657777786254883,1.0246773958206177,0.020641598850488663,0.14221839606761932,0.0,0.2719956338405609,0.08455495536327362,0.0,0.0,0.0,2.0,1.1612355709075928,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019701540030721995,0.40417910000905977,30.515873000000283,30.92149519920349
6,3.3237385749816895,0.0,0.0,0.0,0.0,0.0,0.5714594125747681,1.046286940574646,0.02008966915309429,0.13582788407802582,0.0,0.27989596128463745,0.08406780660152435,0.0,0.0,0.0,2.0,1.1501083374023438,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019535036904803958,0.39973329998974805,30.533977900002355,30.93586015701294
7,3.3168365955352783,0.0,0.0,0.0,0.0,0.0,0.5718861222267151,1.0585616827011108,0.01989682950079441,0.13666199147701263,0.0,0.28506144881248474,0.08366578817367554,0.0,0.0,0.0,2.0,1.1696559190750122,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019332876615938386,0.39957539999159053,30.460357000014483,30.861366510391235
8,3.3198108673095703,0.0,0.0,0.0,0.0,0.0,0.5784783363342285,1.0772961378097534,0.019744867458939552,0.1378740519285202,0.0,0.29221946001052856,0.08330491930246353,0.0,0.0,0.0,2.0,1.1564760208129883,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019095856998427185,0.39822629999980563,30.658550100000866,31.058918714523315
9,3.2714693546295166,0.0,0.0,0.0,0.0,0.0,0.5744285583496094,1.0777873992919922,0.019519018009305,0.13445469737052917,0.0,0.2929001748561859,0.08301770687103271,0.0,0.0,0.0,2.0,1.136383295059204,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.000188249134604167,0.41384359998846776,31.06116729999485,31.477152109146118
10,3.310772657394409,0.0,0.0,0.0,0.0,0.0,0.5753822326660156,1.0869264602661133,0.01954415999352932,0.13871680200099945,0.0,0.2971757650375366,0.08284645527601242,0.0,0.0,0.0,2.0,1.1642720699310303,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00018521115292269142,0.40273849998629885,30.988594800011924,31.393247365951538
11,3.270357131958008,0.0,0.0,0.0,0.0,0.0,0.5786633491516113,1.0924488306045532,0.019278548657894135,0.13636329770088196,0.0,0.29934200644493103,0.08257310837507248,0.0,0.0,0.0,2.0,1.1262472867965698,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00018185661446562,0.3982668000207923,30.776537099998677,31.176219940185547
