epoch,loss,distill,code,code_pred_norm,code_ref_norm,cycle,struct,edge,stroke_gram,color_moment,push,delta_tv,style_spatial_tv,nce,semigroup,semigroup_samples,train_num_steps,train_step_size,train_style_strength,heavy_loss_slot_id,path_teacher_active,path_cycle_active,path_stroke_active,path_nce_active,path_semigroup_active,w_cycle_eff,w_struct_eff,w_edge_eff,w_nce_eff,w_semigroup_eff,transfer_ratio,lr,data_time_sec,compute_time_sec,epoch_time_sec
1,4.475632190704346,0.0,0.0,0.0,0.0,0.0,0.23489318788051605,0.242960587143898,0.029792549088597298,0.209265798330307,0.0,0.05141722783446312,0.09036240726709366,0.0,0.0,0.0,2.0,1.1357307434082031,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.0002,0.40555590000076336,39.499269999992975,39.90817832946777
2,3.778306007385254,0.0,0.0,0.0,0.0,0.0,0.4219663739204407,0.583114743232727,0.025976039469242096,0.14757610857486725,0.0,0.13956373929977417,0.08852645754814148,0.0,0.0,0.0,2.0,1.1466675996780396,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019981253920068581,0.39717269999164273,30.288989700005914,30.687769889831543
3,3.5005717277526855,0.0,0.0,0.0,0.0,0.0,0.5236059427261353,0.8727325201034546,0.022502783685922623,0.13850611448287964,0.0,0.22341161966323853,0.08637066930532455,0.0,0.0,0.0,2.0,1.1552815437316895,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.0001992508966248754,0.39121309999609366,30.330130200014537,30.722764253616333
4,3.416027069091797,0.0,0.0,0.0,0.0,0.0,0.5590133666992188,0.9943596720695496,0.02095925062894821,0.13984492421150208,0.0,0.26193925738334656,0.0850844755768776,0.0,0.0,0.0,2.0,1.1403316259384155,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019831728881922545,0.3823412999881839,30.354593899988686,30.738311529159546
5,3.416947603225708,0.0,0.0,0.0,0.0,0.0,0.5657913088798523,1.0246635675430298,0.020642179995775223,0.14221809804439545,0.0,0.2719898521900177,0.08455613255500793,0.0,0.0,0.0,2.0,1.1612355709075928,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019701540030721995,0.3804601000119874,30.320551699991483,30.70237684249878
6,3.32373046875,0.0,0.0,0.0,0.0,0.0,0.5714814066886902,1.0463007688522339,0.020089346915483475,0.1358294039964676,0.0,0.279901921749115,0.08406887203454971,0.0,0.0,0.0,2.0,1.1501083374023438,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019535036904803958,0.3786251999918022,30.330827900001168,30.711133241653442
7,3.316887617111206,0.0,0.0,0.0,0.0,0.0,0.5719165802001953,1.058574914932251,0.01989681087434292,0.13666734099388123,0.0,0.2850687503814697,0.08366657793521881,0.0,0.0,0.0,2.0,1.1696559190750122,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019332876615938386,0.38309719998869696,30.312705899999855,30.69778871536255
8,3.3198049068450928,0.0,0.0,0.0,0.0,0.0,0.5784893035888672,1.0773109197616577,0.019744673743844032,0.1378745585680008,0.0,0.2922290563583374,0.08330551534891129,0.0,0.0,0.0,2.0,1.1564760208129883,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019095856998427185,0.38098650001120404,30.35140530001081,30.73390507698059
9,3.271432876586914,0.0,0.0,0.0,0.0,0.0,0.5744391083717346,1.0778156518936157,0.019518805667757988,0.13445128500461578,0.0,0.29291513562202454,0.08301833271980286,0.0,0.0,0.0,2.0,1.136383295059204,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.000188249134604167,0.3823515000040061,30.318164300035278,30.701889991760254
10,3.3107099533081055,0.0,0.0,0.0,0.0,0.0,0.5753761529922485,1.0869297981262207,0.019543949514627457,0.1387113481760025,0.0,0.2971850335597992,0.08284735679626465,0.0,0.0,0.0,2.0,1.1642720699310303,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00018521115292269142,0.37772659998518066,30.350828799979354,30.729908227920532
11,3.270352602005005,0.0,0.0,0.0,0.0,0.0,0.57867431640625,1.0924636125564575,0.01927834190428257,0.13636428117752075,0.0,0.2993556261062622,0.08257436752319336,0.0,0.0,0.0,2.0,1.1262472867965698,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00018185661446562,0.37942369999655057,30.315385999991122,30.696784734725952
12,3.3008854389190674,0.0,0.0,0.0,0.0,0.0,0.5804616212844849,1.102982759475708,0.0193595290184021,0.13882696628570557,0.0,0.30368754267692566,0.08241371810436249,0.0,0.0,0.0,2.0,1.1667780876159668,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00017819875806369996,0.3740008000022499,30.321832000005088,30.697179555892944
13,3.2315938472747803,0.0,0.0,0.0,0.0,0.0,0.5798473358154297,1.0999796390533447,0.01914120465517044,0.13275013864040375,0.0,0.3028210699558258,0.08218575268983841,0.0,0.0,0.0,2.0,1.133054494857788,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00017425201960503408,0.37769469997874694,30.312730500005273,30.691890001296997
14,3.285808801651001,0.0,0.0,0.0,0.0,0.0,0.5806646943092346,1.1106163263320923,0.019129374995827675,0.13923956453800201,0.0,0.30686154961586,0.08197944611310959,0.0,0.0,0.0,2.0,1.1436811685562134,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.0001700319750632254,0.3833511999910115,30.31925560001764,30.70392894744873
15,3.2506096363067627,0.0,0.0,0.0,0.0,0.0,0.5843623280525208,1.1171586513519287,0.018949361518025398,0.1365262269973755,0.0,0.30963146686553955,0.08186029642820358,0.0,0.0,0.0,2.0,1.1630795001983643,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.0001655552790261255,0.386294399984763,30.275974700020015,30.663705348968506
16,3.25297474861145,0.0,0.0,0.0,0.0,0.0,0.5812459588050842,1.115729570388794,0.018891654908657074,0.13760244846343994,0.0,0.3097427487373352,0.08171065896749496,0.0,0.0,0.0,2.0,1.1620988845825195,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00016083959896778495,0.3776122999988729,30.29456869999194,30.67349886894226
17,3.2253246307373047,0.0,0.0,0.0,0.0,0.0,0.5798920392990112,1.1152098178863525,0.01878853142261505,0.13535970449447632,0.0,0.30990245938301086,0.08156131207942963,0.0,0.0,0.0,2.0,1.1696172952651978,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00015590354552300466,0.38162929998725303,30.298790200005897,30.681787252426147
18,3.239776849746704,0.0,0.0,0.0,0.0,0.0,0.58231520652771,1.1161041259765625,0.01885555498301983,0.13631784915924072,0.0,0.31069856882095337,0.08144240081310272,0.0,0.0,0.0,2.0,1.1601731777191162,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00015076659903966294,0.3805300999847532,30.296792100005405,30.678754568099976
19,3.23353910446167,0.0,0.0,0.0,0.0,0.0,0.581167459487915,1.1174890995025635,0.018771778792142868,0.1364569216966629,0.0,0.3122085630893707,0.08135533332824707,0.0,0.0,0.0,2.0,1.162917137145996,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.0001454490326986819,0.3719683999879635,30.32782869998482,30.701122283935547
20,3.218824863433838,0.0,0.0,0.0,0.0,0.0,0.5822649598121643,1.119735598564148,0.018693573772907257,0.13538558781147003,0.0,0.3128505051136017,0.0812942311167717,0.0,0.0,0.0,2.0,1.1714980602264404,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.0001399718325050444,0.37278560000413563,30.30775409999478,30.68195939064026
21,3.2365593910217285,0.0,0.0,0.0,0.0,0.0,0.5819491147994995,1.1154228448867798,0.0187363363802433,0.13729135692119598,0.0,0.3115958273410797,0.08114571124315262,0.0,0.0,0.0,2.0,1.1414082050323486,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00013435661446561999,0.3614202999888221,30.294365400008246,30.65709352493286
22,3.2074668407440186,0.0,0.0,0.0,0.0,0.0,0.5844477415084839,1.1229474544525146,0.018568161875009537,0.13520093262195587,0.0,0.3156364858150482,0.08101427555084229,0.0,0.0,0.0,2.0,1.1414707899093628,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.0001286255392806612,0.3726628999975219,30.316658399991866,30.69068670272827
23,3.20314621925354,0.0,0.0,0.0,0.0,0.0,0.582584023475647,1.1176780462265015,0.018591832369565964,0.1346389502286911,0.0,0.31505095958709717,0.08099325001239777,0.0,0.0,0.0,2.0,1.1562573909759521,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00012280122488564387,0.4733304000037606,30.17478190001566,30.6494562625885
24,3.1876120567321777,0.0,0.0,0.0,0.0,0.0,0.5808277726173401,1.11093008518219,0.01850615255534649,0.13395868241786957,0.0,0.3129549026489258,0.0809321254491806,0.0,0.0,0.0,2.0,1.1200461387634277,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00011690665718860895,0.3701838999950269,30.26397289999659,30.635780811309814
25,3.187908172607422,0.0,0.0,0.0,0.0,0.0,0.5849514007568359,1.1246106624603271,0.018526125699281693,0.13315291702747345,0.0,0.3193863332271576,0.08085314929485321,0.0,0.0,0.0,2.0,1.1482897996902466,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.0001109650993552848,0.3619001000006392,30.276614200007316,30.639967918395996
26,3.2210676670074463,0.0,0.0,0.0,0.0,0.0,0.5819563865661621,1.1134395599365234,0.01848110742866993,0.1382991075515747,0.0,0.31625351309776306,0.08082664012908936,0.0,0.0,0.0,2.0,1.144561767578125,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00010500000000000002,0.36482600001545507,30.2770529999907,30.64326024055481
27,3.20169734954834,0.0,0.0,0.0,0.0,0.0,0.5855647921562195,1.1210415363311768,0.01845434680581093,0.13580240309238434,0.0,0.32010307908058167,0.08079561591148376,0.0,0.0,0.0,2.0,1.1568764448165894,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,9.903490064471525e-05,0.36480790001223795,30.306105699997715,30.672330617904663
28,3.216420888900757,0.0,0.0,0.0,0.0,0.0,0.5837113261222839,1.1177252531051636,0.018421603366732597,0.1381818652153015,0.0,0.3200215697288513,0.08075689524412155,0.0,0.0,0.0,2.0,1.1605337858200073,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,9.309334281139112e-05,0.37131829999634647,30.30161499998576,30.674232482910156
29,3.180734157562256,0.0,0.0,0.0,0.0,0.0,0.5852963328361511,1.113702416419983,0.01842116005718708,0.13383769989013672,0.0,0.3188052177429199,0.08070514351129532,0.0,0.0,0.0,2.0,1.1283713579177856,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,8.719877511435618e-05,0.36047640001561376,30.25575270000627,30.61754870414734
30,3.2189242839813232,0.0,0.0,0.0,0.0,0.0,0.5869958996772766,1.121751308441162,0.018397808074951172,0.13852834701538086,0.0,0.3230295479297638,0.08067775517702103,0.0,0.0,0.0,2.0,1.15850031375885,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,8.13744607193388e-05,0.3646766000019852,30.271452300006786,30.63774275779724
31,3.1796040534973145,0.0,0.0,0.0,0.0,0.0,0.5816372632980347,1.1117898225784302,0.018359601497650146,0.13455137610435486,0.0,0.32123035192489624,0.08068575710058212,0.0,0.0,0.0,2.0,1.1653066873550415,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,7.564338553438004e-05,0.3651545000029728,30.30282719999741,30.669538259506226
32,3.2116973400115967,0.0,0.0,0.0,0.0,0.0,0.5845157504081726,1.1137995719909668,0.01842816174030304,0.13764414191246033,0.0,0.32228222489356995,0.08068068325519562,0.0,0.0,0.0,2.0,1.1555927991867065,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,7.002816749495564e-05,0.36206760000277427,30.275464599984844,30.638996362686157
33,3.188261032104492,0.0,0.0,0.0,0.0,0.0,0.5830410122871399,1.1153706312179565,0.018322229385375977,0.13588382303714752,0.0,0.32349562644958496,0.08066386729478836,0.0,0.0,0.0,2.0,1.1590466499328613,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,6.455096730131812e-05,0.3626731000113068,30.275967600002332,30.64013433456421
34,3.190772533416748,0.0,0.0,0.0,0.0,0.0,0.5831402540206909,1.1128722429275513,0.018348313868045807,0.13599568605422974,0.0,0.3231460452079773,0.08064135909080505,0.0,0.0,0.0,2.0,1.140042781829834,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,5.923340096033705e-05,0.361672399998497,30.286484400003246,30.64948296546936
35,3.201953649520874,0.0,0.0,0.0,0.0,0.0,0.582632303237915,1.1140934228897095,0.018324699252843857,0.13762550055980682,0.0,0.3247810900211334,0.08063086867332458,0.0,0.0,0.0,2.0,1.1579819917678833,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,5.409645447699531e-05,0.3647047999838833,30.287664699982997,30.654061317443848
