epoch,loss,distill,code,code_pred_norm,code_ref_norm,cycle,struct,edge,stroke_gram,color_moment,push,delta_tv,style_spatial_tv,nce,semigroup,semigroup_samples,train_num_steps,train_step_size,train_style_strength,heavy_loss_slot_id,path_teacher_active,path_cycle_active,path_stroke_active,path_nce_active,path_semigroup_active,w_cycle_eff,w_struct_eff,w_edge_eff,w_nce_eff,w_semigroup_eff,transfer_ratio,lr,data_time_sec,compute_time_sec,epoch_time_sec
1,5.552483081817627,0.0,0.0,0.0,0.0,0.0,0.23954488337039948,0.254245400428772,0.029721926897764206,0.2084268033504486,0.0,0.05442288890480995,0.09038162231445312,0.0,0.0,0.0,2.0,1.1540799140930176,0.9141591191291809,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.0002,0.3864892999699805,41.591785599972354,41.983055114746094
2,4.627050399780273,0.0,0.0,0.0,0.0,0.0,0.4384838342666626,0.6378390789031982,0.02554793283343315,0.14732933044433594,0.0,0.15538541972637177,0.08851531147956848,0.0,0.0,0.0,2.0,1.1401790380477905,0.9277170896530151,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019981253920068581,0.3834885000542272,32.068199199900846,32.453155517578125
3,4.245693683624268,0.0,0.0,0.0,0.0,0.0,0.5458942651748657,0.9427911043167114,0.02198268473148346,0.13798382878303528,0.0,0.24565792083740234,0.0865635871887207,0.0,0.0,0.0,2.0,1.1501317024230957,0.9306061863899231,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.0001992508966248754,0.38527739998244215,32.11348339999677,32.50022268295288
4,4.155634880065918,0.0,0.0,0.0,0.0,0.0,0.5750607848167419,1.0477724075317383,0.020680537447333336,0.1398860216140747,0.0,0.2797265350818634,0.08562307059764862,0.0,0.0,0.0,2.0,1.1679428815841675,0.9290947318077087,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019831728881922545,0.3871023000101559,32.08036110001558,32.469250440597534
5,4.1642961502075195,0.0,0.0,0.0,0.0,0.0,0.5791225433349609,1.0751632452011108,0.02043679542839527,0.14258892834186554,0.0,0.28928864002227783,0.08506931364536285,0.0,0.0,0.0,2.0,1.1493537425994873,0.9256506562232971,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019701540030721995,0.3914923999400344,32.134080499992706,32.52711081504822
6,4.045741081237793,0.0,0.0,0.0,0.0,0.0,0.5866402983665466,1.1003661155700684,0.019870497286319733,0.13619555532932281,0.0,0.29883694648742676,0.08466046303510666,0.0,0.0,0.0,2.0,1.1456025838851929,0.9237114787101746,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019535036904803958,0.3808486000052653,32.19089529996563,32.573965311050415
7,4.041855812072754,0.0,0.0,0.0,0.0,0.0,0.583736002445221,1.1031978130340576,0.019751759245991707,0.13711562752723694,0.0,0.30096712708473206,0.08429212868213654,0.0,0.0,0.0,2.0,1.1520973443984985,0.9123190641403198,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019332876615938386,0.3836214000330074,32.1627712000336,32.54791569709778
8,4.038997173309326,0.0,0.0,0.0,0.0,0.0,0.5912798047065735,1.1304914951324463,0.01956905610859394,0.13791276514530182,0.0,0.31159958243370056,0.08409199863672256,0.0,0.0,0.0,2.0,1.1628968715667725,0.931140661239624,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019095856998427185,0.3913407999498304,32.20808510007919,32.60078811645508
9,3.984391450881958,0.0,0.0,0.0,0.0,0.0,0.5866284370422363,1.1292099952697754,0.019373353570699692,0.13478535413742065,0.0,0.3116534948348999,0.084005206823349,0.0,0.0,0.0,2.0,1.160797357559204,0.9344965815544128,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.000188249134604167,0.38822410006832797,32.15693619994272,32.54659128189087
10,4.031260967254639,0.0,0.0,0.0,0.0,0.0,0.5899736881256104,1.1463522911071777,0.019375907257199287,0.13886040449142456,0.0,0.31936779618263245,0.08379686623811722,0.0,0.0,0.0,2.0,1.153836727142334,0.9402891397476196,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00018521115292269142,0.38533969996205997,32.49059720001242,32.87746000289917
