epoch,loss,distill,code,code_pred_norm,code_ref_norm,cycle,struct,edge,stroke_gram,color_moment,push,delta_tv,style_spatial_tv,nce,semigroup,semigroup_samples,train_num_steps,train_step_size,train_style_strength,heavy_loss_slot_id,path_teacher_active,path_cycle_active,path_stroke_active,path_nce_active,path_semigroup_active,w_cycle_eff,w_struct_eff,w_edge_eff,w_nce_eff,w_semigroup_eff,transfer_ratio,lr,data_time_sec,compute_time_sec,epoch_time_sec
1,1.781819462776184,0.0,0.0,0.0,0.0,0.0,0.2349025160074234,0.22199933230876923,0.030908485874533653,0.20849286019802094,0.0,0.046368058770895004,0.09033907204866409,0.0,0.0,0.0,2.0,1.1357307434082031,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.0002,0.39662809999936144,40.26262890000726,40.662689208984375
2,1.3720448017120361,0.0,0.0,0.0,0.0,0.0,0.3659908175468445,0.3446519374847412,0.030463043600320816,0.14938610792160034,0.0,0.07331152260303497,0.08939610421657562,0.0,0.0,0.0,2.0,1.1466675996780396,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019981253920068581,0.3841939000049024,30.71589430000313,31.101644277572632
3,1.3064154386520386,0.0,0.0,0.0,0.0,0.0,0.36718305945396423,0.3323867917060852,0.03031417913734913,0.1416139006614685,0.0,0.06939917057752609,0.08902301639318466,0.0,0.0,0.0,2.0,1.1552815437316895,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.0001992508966248754,0.3904912000070908,30.727424199998495,31.119791269302368
4,1.3102748394012451,0.0,0.0,0.0,0.0,0.0,0.3655563294887543,0.321075439453125,0.030319202691316605,0.1425623893737793,0.0,0.06567352265119553,0.08880576491355896,0.0,0.0,0.0,2.0,1.1403316259384155,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019831728881922545,0.3892613000207348,30.727426800014655,31.11819553375244
5,1.3318026065826416,0.0,0.0,0.0,0.0,0.0,0.36376088857650757,0.31371137499809265,0.030390966683626175,0.145575150847435,0.0,0.06340087950229645,0.08853483200073242,0.0,0.0,0.0,2.0,1.1612355709075928,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019701540030721995,0.38474870000209194,30.67423979999512,31.060361862182617
6,1.277885913848877,0.0,0.0,0.0,0.0,0.0,0.3640657365322113,0.30683615803718567,0.03023693710565567,0.13908660411834717,0.0,0.061080463230609894,0.08824215829372406,0.0,0.0,0.0,2.0,1.1501083374023438,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019535036904803958,0.3866574000021501,30.696995700003754,31.085050582885742
7,1.2844789028167725,0.0,0.0,0.0,0.0,0.0,0.36319226026535034,0.3020949065685272,0.030157195404171944,0.14011090993881226,0.0,0.05942947790026665,0.08793433755636215,0.0,0.0,0.0,2.0,1.1696559190750122,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019332876615938386,0.3974540000090201,30.88180970000394,31.28092122077942
8,1.2792034149169922,0.0,0.0,0.0,0.0,0.0,0.363680899143219,0.29709044098854065,0.03023405559360981,0.13962754607200623,0.0,0.05792894959449768,0.087598517537117,0.0,0.0,0.0,2.0,1.1564760208129883,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00019095856998427185,0.3962935000017751,30.86876779999875,31.2665696144104
9,1.2524974346160889,0.0,0.0,0.0,0.0,0.0,0.3592730462551117,0.2884834110736847,0.030199306085705757,0.13672320544719696,0.0,0.05507110804319382,0.0872100219130516,0.0,0.0,0.0,2.0,1.136383295059204,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.000188249134604167,0.38804899999013287,30.869690799991076,31.259751796722412
10,1.2880343198776245,0.0,0.0,0.0,0.0,0.0,0.3579266667366028,0.28166696429252625,0.030352547764778137,0.14145532250404358,0.0,0.05311478301882744,0.08682438731193542,0.0,0.0,0.0,2.0,1.1642720699310303,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00018521115292269142,0.3825917999893136,30.84738560000551,31.232544660568237
11,1.2647031545639038,0.0,0.0,0.0,0.0,0.0,0.3632476031780243,0.28175264596939087,0.030199967324733734,0.13840295374393463,0.0,0.05245153605937958,0.0863790512084961,0.0,0.0,0.0,2.0,1.1262472867965698,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00018185661446562,0.3783696000027703,30.374624999989464,30.75452709197998
12,1.2766120433807373,0.0,0.0,0.0,0.0,0.0,0.3607659935951233,0.2766631543636322,0.0304716844111681,0.14014509320259094,0.0,0.05097982659935951,0.08590736240148544,0.0,0.0,0.0,2.0,1.1667780876159668,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00017819875806369996,0.37512839999908465,30.197621999992407,30.57410740852356
13,1.2324039936065674,0.0,0.0,0.0,0.0,0.0,0.3627550005912781,0.2716423571109772,0.030280502513051033,0.13475845754146576,0.0,0.048853978514671326,0.08536349982023239,0.0,0.0,0.0,2.0,1.133054494857788,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00017425201960503408,0.37023669996779063,30.205076099977305,30.576690435409546
14,1.2840174436569214,0.0,0.0,0.0,0.0,0.0,0.3610077202320099,0.2685112953186035,0.03043404594063759,0.14137159287929535,0.0,0.047918450087308884,0.08483550697565079,0.0,0.0,0.0,2.0,1.1436811685562134,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.0001700319750632254,0.37604999999530264,30.326027799997973,30.70344114303589
15,1.25806725025177,0.0,0.0,0.0,0.0,0.0,0.3616665005683899,0.26621437072753906,0.030255421996116638,0.13819798827171326,0.0,0.04690439626574516,0.08431769162416458,0.0,0.0,0.0,2.0,1.1630795001983643,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.0001655552790261255,0.3685173000121722,30.22963109999182,30.599849224090576
16,1.2667021751403809,0.0,0.0,0.0,0.0,0.0,0.3602280914783478,0.2648753225803375,0.030304186046123505,0.13936381042003632,0.0,0.046324554830789566,0.08382789045572281,0.0,0.0,0.0,2.0,1.1620988845825195,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00016083959896778495,0.37680149999141577,30.19948559999466,30.577681303024292
17,1.2472630739212036,0.0,0.0,0.0,0.0,0.0,0.3599581718444824,0.2574580907821655,0.030259931460022926,0.1372195929288864,0.0,0.04423997923731804,0.08338368684053421,0.0,0.0,0.0,2.0,1.1696172952651978,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00015590354552300466,0.37606560001222533,30.222830999995494,30.60022258758545
18,1.252874732017517,0.0,0.0,0.0,0.0,0.0,0.36126890778541565,0.2576143741607666,0.030505388975143433,0.13788263499736786,0.0,0.04385259747505188,0.08295151591300964,0.0,0.0,0.0,2.0,1.1601731777191162,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00015076659903966294,0.37258390001079533,30.21610919998784,30.590065717697144
19,1.2545815706253052,0.0,0.0,0.0,0.0,0.0,0.36069807410240173,0.25351184606552124,0.030411269515752792,0.13826461136341095,0.0,0.04257318377494812,0.08253786712884903,0.0,0.0,0.0,2.0,1.162917137145996,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.0001454490326986819,0.37854640001023654,30.24265590000141,30.62251925468445
20,1.2442598342895508,0.0,0.0,0.0,0.0,0.0,0.3611724078655243,0.25100618600845337,0.030446453019976616,0.13705691695213318,0.0,0.04144252464175224,0.08219937980175018,0.0,0.0,0.0,2.0,1.1714980602264404,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.0001399718325050444,0.3712437999784015,30.23657060000187,30.609283685684204
21,1.2589190006256104,0.0,0.0,0.0,0.0,0.0,0.3620874881744385,0.2518051564693451,0.030523104593157768,0.1388365924358368,0.0,0.041385386139154434,0.08185667544603348,0.0,0.0,0.0,2.0,1.1414082050323486,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19999989867210388,0.3000001311302185,0.0,0.0,1.0,0.00013435661446561999,0.3747042000068177,30.205865600011748,30.582508087158203
