"scope","duplicate_key","file_count","roots","size_mb","all_hash_match","recommended_action","deletion_whitelist","reason","paths"
"local","ref_feats_6b386362fb_m80.pt|559570","2","eval_cache;SchrodingerBridge\eval_cache","0.533648","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by eval scripts.","eval_cache\ref_feats_6b386362fb_m80.pt | SchrodingerBridge\eval_cache\ref_feats_6b386362fb_m80.pt"
"local","ref_feats_6b7e3f5bca_m40.pt|452621","2","eval_cache;Cycle-NCE\eval_cache","0.431653","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by eval scripts.","eval_cache\ref_feats_6b7e3f5bca_m40.pt | Cycle-NCE\eval_cache\ref_feats_6b7e3f5bca_m40.pt"
"local","ref_feats_6b7e3f5bca_m80.pt|559570","3","eval_cache;SchrodingerBridge\eval_cache;Cycle-NCE\eval_cache","0.533648","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by eval scripts.","eval_cache\ref_feats_6b7e3f5bca_m80.pt | SchrodingerBridge\eval_cache\ref_feats_6b7e3f5bca_m80.pt | Cycle-NCE\eval_cache\ref_feats_6b7e3f5bca_m80.pt"
"local","ref_feats_a43266129e_m80.pt|339735","2","eval_cache;SchrodingerBridge\eval_cache","0.323997","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by eval scripts.","eval_cache\ref_feats_a43266129e_m80.pt | SchrodingerBridge\eval_cache\ref_feats_a43266129e_m80.pt"
"local","art_inception.pth|107935977","2","eval_cache;SchrodingerBridge\eval_cache","102.935769","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by eval scripts.","eval_cache\artfid\art_inception.pth | SchrodingerBridge\eval_cache\artfid\art_inception.pth"
"remote","ref_feats_193acd82ae_m256.pt|221997","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0.211713","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by remote eval/code or archive reproduction.","I:\Github\Latent_Style\eval_cache\ref_feats_193acd82ae_m256.pt | I:\Github\Latent_Style\Cycle-NCE\eval_cache\ref_feats_193acd82ae_m256.pt"
"remote","ref_feats_36450f05fa_m256.pt|584108","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0.557049","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by remote eval/code or archive reproduction.","I:\Github\Latent_Style\eval_cache\ref_feats_36450f05fa_m256.pt | I:\Github\Latent_Style\Cycle-NCE\eval_cache\ref_feats_36450f05fa_m256.pt"
"remote","ref_feats_4f6a303ab0_m80.pt|559570","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0.533648","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by remote eval/code or archive reproduction.","I:\Github\Latent_Style\eval_cache\ref_feats_4f6a303ab0_m80.pt | I:\Github\Latent_Style\Cycle-NCE\eval_cache\ref_feats_4f6a303ab0_m80.pt"
"remote","ref_feats_878b1c1129_m80.pt|342490","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\SchrodingerBridge\eval_cache","0.326624","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by remote eval/code or archive reproduction.","I:\Github\Latent_Style\eval_cache\ref_feats_878b1c1129_m80.pt | I:\Github\Latent_Style\SchrodingerBridge\eval_cache\ref_feats_878b1c1129_m80.pt"
"remote","ref_feats_f301193448_m256.pt|552940","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0.527325","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by remote eval/code or archive reproduction.","I:\Github\Latent_Style\eval_cache\ref_feats_f301193448_m256.pt | I:\Github\Latent_Style\Cycle-NCE\eval_cache\ref_feats_f301193448_m256.pt"
