"duplicate_key","root","relative_path","path","name","size_mb","sha256"
"ref_feats_6b386362fb_m80.pt|559570","eval_cache","ref_feats_6b386362fb_m80.pt","eval_cache\ref_feats_6b386362fb_m80.pt","ref_feats_6b386362fb_m80.pt","0.533648","52A4C8E8E4444B69376B5B26383E86E55CB0BA1EC47B847B3805CE5A6D347279"
"ref_feats_6b386362fb_m80.pt|559570","SchrodingerBridge\eval_cache","ref_feats_6b386362fb_m80.pt","SchrodingerBridge\eval_cache\ref_feats_6b386362fb_m80.pt","ref_feats_6b386362fb_m80.pt","0.533648","52A4C8E8E4444B69376B5B26383E86E55CB0BA1EC47B847B3805CE5A6D347279"
"ref_feats_6b7e3f5bca_m40.pt|452621","eval_cache","ref_feats_6b7e3f5bca_m40.pt","eval_cache\ref_feats_6b7e3f5bca_m40.pt","ref_feats_6b7e3f5bca_m40.pt","0.431653","DC9500C7768FA803C8E72BBD9CECDAE92931031E7B09E2C467DF785AE64B7FDE"
"ref_feats_6b7e3f5bca_m40.pt|452621","Cycle-NCE\eval_cache","ref_feats_6b7e3f5bca_m40.pt","Cycle-NCE\eval_cache\ref_feats_6b7e3f5bca_m40.pt","ref_feats_6b7e3f5bca_m40.pt","0.431653","DC9500C7768FA803C8E72BBD9CECDAE92931031E7B09E2C467DF785AE64B7FDE"
"ref_feats_6b7e3f5bca_m80.pt|559570","eval_cache","ref_feats_6b7e3f5bca_m80.pt","eval_cache\ref_feats_6b7e3f5bca_m80.pt","ref_feats_6b7e3f5bca_m80.pt","0.533648","974867C56AE24C7C669ED7A9B6B9E8FA651C18B82CD5D8EABFDE34FFB58E1D47"
"ref_feats_6b7e3f5bca_m80.pt|559570","SchrodingerBridge\eval_cache","ref_feats_6b7e3f5bca_m80.pt","SchrodingerBridge\eval_cache\ref_feats_6b7e3f5bca_m80.pt","ref_feats_6b7e3f5bca_m80.pt","0.533648","974867C56AE24C7C669ED7A9B6B9E8FA651C18B82CD5D8EABFDE34FFB58E1D47"
"ref_feats_6b7e3f5bca_m80.pt|559570","Cycle-NCE\eval_cache","ref_feats_6b7e3f5bca_m80.pt","Cycle-NCE\eval_cache\ref_feats_6b7e3f5bca_m80.pt","ref_feats_6b7e3f5bca_m80.pt","0.533648","974867C56AE24C7C669ED7A9B6B9E8FA651C18B82CD5D8EABFDE34FFB58E1D47"
"ref_feats_a43266129e_m80.pt|339735","eval_cache","ref_feats_a43266129e_m80.pt","eval_cache\ref_feats_a43266129e_m80.pt","ref_feats_a43266129e_m80.pt","0.323997","74BB4C11163005330428C6AA08A95F05F94C6EE50CE1311734065168A3725CFC"
"ref_feats_a43266129e_m80.pt|339735","SchrodingerBridge\eval_cache","ref_feats_a43266129e_m80.pt","SchrodingerBridge\eval_cache\ref_feats_a43266129e_m80.pt","ref_feats_a43266129e_m80.pt","0.323997","74BB4C11163005330428C6AA08A95F05F94C6EE50CE1311734065168A3725CFC"
"art_inception.pth|107935977","eval_cache","artfid\art_inception.pth","eval_cache\artfid\art_inception.pth","art_inception.pth","102.935769","5BC1C20380401911D99D528B7B6E4430044B56EDD5F7F26467222F3FB7C54E7E"
"art_inception.pth|107935977","SchrodingerBridge\eval_cache","artfid\art_inception.pth","SchrodingerBridge\eval_cache\artfid\art_inception.pth","art_inception.pth","102.935769","5BC1C20380401911D99D528B7B6E4430044B56EDD5F7F26467222F3FB7C54E7E"
