source_root,period,method,dataset_or_setting,dataset_key,resolution,variant_or_run,scope,images,clip_style,content_lpips,clip_content,ssim_y,edge_f1,musiq,hf_patch_kid,plain_kid,aggregate_art_fid,train_time_value,train_time_unit,train_time_label,infer_time_value,infer_time_unit,infer_time_label,params_m,hardware,status,source_path,source_kind,validity_class,note
G:/GitHub/Latent_Style,,AdaIN,schrodingerbridge_docs_experiments,schrodingerbridge_docs_experiments,,adain_v32k,,750,,,,,,,,,,,,,,,,,,,SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_extended.csv,generic_csv,indexed_curated_evidence,Parsed from SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_extended.csv
G:/GitHub/Latent_Style,,AdaIN,schrodingerbridge_docs_experiments,schrodingerbridge_docs_experiments,,adain_vgg19,,750,,,,,,,,,,,,,,,,,,,SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_extended.csv,generic_csv,indexed_curated_evidence,Parsed from SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_extended.csv
G:/GitHub/Latent_Style,,AdaIN,schrodingerbridge_docs_experiments,schrodingerbridge_docs_experiments,,adain_bad,,750,,,,,,,,,,,,,,,,,,,SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_extended.csv,generic_csv,indexed_curated_evidence,Parsed from SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_extended.csv
G:/GitHub/Latent_Style,,AdaIN,schrodingerbridge_docs_experiments,schrodingerbridge_docs_experiments,,adain_v32k,,750,,,,,,,,,,,,,,,,,,,SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_historical_merged.csv,generic_csv,indexed_curated_evidence,Parsed from SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_historical_merged.csv
G:/GitHub/Latent_Style,,AdaIN,schrodingerbridge_docs_experiments,schrodingerbridge_docs_experiments,,adain_vgg19,,750,,,,,,,,,,,,,,,,,,,SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_historical_merged.csv,generic_csv,indexed_curated_evidence,Parsed from SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_historical_merged.csv
G:/GitHub/Latent_Style,,AdaIN,schrodingerbridge_docs_experiments,schrodingerbridge_docs_experiments,,adain_bad,,750,,,,,,,,,,,,,,,,,,,SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_historical_merged.csv,generic_csv,indexed_curated_evidence,Parsed from SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_historical_merged.csv
G:/GitHub/Latent_Style,,Ours,schrodingerbridge_docs_experiments,schrodingerbridge_docs_experiments,,epoch_0007,,750,,,,,,,,,,,,,,,,3.91,,,SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_historical_merged.csv,generic_csv,indexed_curated_evidence,Parsed from SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_historical_merged.csv
G:/GitHub/Latent_Style,,Ours,schrodingerbridge_docs_experiments,schrodingerbridge_docs_experiments,,epoch_0008,,750,,,,,,,,,,,,,,,,3.91,,,SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_historical_merged.csv,generic_csv,indexed_curated_evidence,Parsed from SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_historical_merged.csv
G:/GitHub/Latent_Style,,Ours,schrodingerbridge_docs_experiments,schrodingerbridge_docs_experiments,,residual_1p25,,750,,,,,,,,,,,,,,,,3.91,,,SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_historical_merged.csv,generic_csv,indexed_curated_evidence,Parsed from SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_historical_merged.csv
G:/GitHub/Latent_Style,,SaMST,schrodingerbridge_docs_experiments,schrodingerbridge_docs_experiments,,samst_strict,,750,,,,,,,,,,,,,,,,6,,,SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_extended.csv,generic_csv,indexed_curated_evidence,Parsed from SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_extended.csv
G:/GitHub/Latent_Style,,SaMST,schrodingerbridge_docs_experiments,schrodingerbridge_docs_experiments,,samst_strict,,750,,,,,,,,,,,,,,,,6,,,SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_historical_merged.csv,generic_csv,indexed_curated_evidence,Parsed from SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_historical_merged.csv
G:/GitHub/Latent_Style,,StyleID,schrodingerbridge_docs_experiments,schrodingerbridge_docs_experiments,,styleid_strict,,750,,,,,,,,,,,,,,,,,,,SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_extended.csv,generic_csv,indexed_curated_evidence,Parsed from SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_extended.csv
G:/GitHub/Latent_Style,,StyleID,schrodingerbridge_docs_experiments,schrodingerbridge_docs_experiments,,styleid_strict,,750,,,,,,,,,,,,,,,,,,,SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_historical_merged.csv,generic_csv,indexed_curated_evidence,Parsed from SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_historical_merged.csv
