"location","path","coverage_level","evidence_opened","weight_count","weight_mb","cleanup_status","next_action"
"local","G:/GitHub/Latent_Style root files","top-level opened","root file list; git tracked check for root media/temp files; root weight scan","1","91.179","no cleanup; root inception is metric dependency","block 2: decide root misc/temp/archive policy"
"local","hidden agent/tool dirs (.codex_*, .claude, .codeartsdoer, .openclaude, .vscode)","top-level counted","file/dir counts opened; not experiment evidence","0","0","not experiment cleanup target","ignore unless user wants workspace-tool cleanup"
"local","Dataset","top-level + weight class opened","root count; weight scan shows latent tensors","2920","188.731","retain as data","dataset/cache policy only"
"local","style_data","top-level opened","file/dir counts; no weights","0","0","retain as source data","no checkpoint cleanup"
"local","latent-256","top-level + weight class opened","per-image latent scan","10361","177.702","retain as data/cache","dataset/cache policy only"
"local","clip-feats-vitb32","top-level + weight class opened","per-image CLIP feature scan","10361","1303.526","retain as feature cache","dataset/cache policy only"
"local","root eval_cache","top-level + subdir weight class opened","offline_pairing/hf/manual_clip/artfid/ref_feats inspected by class","32","5279.758","retain as eval/model cache","block 3: cache retention policy"
"local","SchrodingerBridge/scale","top-level + dataset list opened","scale/datasets opened; weight class is dataset tensors","11350","3179.108","retain as dataset/cache","block 4: scale dataset cache policy"
"local","SchrodingerBridge/datasets/horse2zebra","top-level + weight class opened","horse2zebra opened; latent tensors counted","2661","336.076","retain as data","block 4: dataset cache policy"
"local","SchrodingerBridge/exp","deep top-level ledger","manual_schrodingerbridge_exp_topdir_ledger_20260605.csv","9","363.490","retain formal WikiArt512 weights and ArtFID dependency","epoch thinning only if new policy"
"local","SchrodingerBridge/docs/experiments","opened by source references","timing sidecar docs and Distinct5 docs referenced","0","","retain as current evidence","citation graph before deleting generated payloads"
"local","Related_Works","deep top-level and subfamily ledger","manual_related_works_directory_ledger_20260605.csv","31","814.913","non-mainline ckpts cleaned; deps retained","placeholder-only policy if desired"
"local","Cycle-NCE","deep family ledger","manual_cycle_nce_directory_ledger_20260605.csv; MANUAL_CYCLE_NCE_ARCHAEOLOGY_20260605.md","3","1.054","empty eval_cache/hf removed; evidence retained","archive policy, not checkpoint sweep"
"local","final_works","opened under Related_Works/final_works plus root count","trial checkpoint dirs clean","0","0","retain metrics/placeholders","no checkpoint cleanup"
"local","lambda_grid","opened as dry-run evidence","manifest/run_summary checked in prior manual docs","0","0","retain as negative/dry-run evidence","do not cite 0.001s as timing"
"local","step_count_sweep","opened as dry-run evidence","manifest/run_summary checked in prior manual docs","0","0","retain as negative/dry-run evidence","do not cite 0.000s as timing"
"local","archive","top-level counted only","3451 files / 283 dirs; no weights","0","0","not cleaned","block 2: archive policy"
"local","tmp","top-level counted only","371 files / 35 dirs; no weights","0","0","not cleaned due possible paper/review scratch","block 2: root misc policy"
"local","seedream45_api","top-level counted","1443 files / 1 tiny fake checkpoint","1","0.001","not worth deleting for space","placeholder policy only"
"local","exp","top-level counted","4509 files / 53 dirs; no weights","0","0","retain as probe/log evidence","manual subdir pass if user wants all root exp"
"local","efficiency","top-level counted","1 profile file","0","0","retain","no cleanup"
"local","fast_infer_ablate43","top-level counted","7 files","0","0","retain tooling","no cleanup"
"local","latent_cyclegan","top-level counted","11 files / 4 dirs","0","0","retain legacy tooling/docs","archive policy"
"local","o20_d3","top-level counted","11 files / 3 dirs","0","0","retain old config/log/src root","archive policy"
"local","wikiart_fewshot","top-level counted","66 files / 4 dirs","0","0","retain data","dataset policy"
"remote-main","I:/Github/Latent_Style root","manual top-level index","manual_top_level_directory_index_20260605.csv","many","many","no broad cleanup","split by root class"
"remote-main","I:/Github/Latent_Style/SchrodingerBridge/exp","deep top-level remote ledger","manual_remote_schrodingerbridge_exp_topdir_inventory_20260605.csv; MANUAL_REMOTE_SCHRODINGERBRIDGE_EXP_20260605.md","101","5945.064","no deletion; current/lineage evidence","block 5: epoch thinning policy"
"remote-main","I:/Github/Latent_Style/Related_Works/SaMAM central step_checkpoints","opened as baseline curve","remote manual docs and top-level index","19","about 5242","retain central baseline curve","block 6: cited-step thinning audit"
"remote-main","I:/Github/Latent_Style/eval_cache","top-level classified","manual top-level index","29","6077.946","retain as eval cache","cache policy only"
"remote-main","I:/Github/Latent_Style/latent-* and latents*","top-level classified","manual top-level index","many","large","retain as backend latent cache","dataset/cache policy"
"remote-main","I:/Github/Latent_Style/Cycle-NCE","top-level classified","manual top-level index","37","937.553","retain historical archive/cache/deps","archive policy"
"remote-main","I:/Github/Latent_Style/experiments","top-level classified","manual top-level index","3","319.141","retain historical archive pending policy","archive policy"
"remote-main","I:/Github/Latent_Style/StarGAN and seedream45_api","top-level classified","manual top-level index","tiny","tiny","placeholder-only cleanup optional","not useful for disk recovery"
"remote-tokenizerclean","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp","opened by docs/master-log references","TokenizerClean docs and master log opened in prior pass","326","11375.355","do not mass delete","block 7: citation graph"
"remote-tokenizerclean","I:/Github/Latent_Style_TokenizerClean exp?saswd*","opened as special path anomaly","SA-SWD docs opened in prior pass","6","403.558","retain; real evidence despite path display anomaly","citation graph before deletion"
"remote-tokenizerclean","I:/Github/Latent_Style_TokenizerClean other roots","top-level classified","manual top-level index","0","0","not cleanup target","ignore unless new scope"
