family,eval_subdir,epoch,metric_rows,transfer_rows,train_cumulative_min,full_clip_style,full_content_lpips,transfer_clip_style,transfer_content_lpips,matrix_full_artfid_mean,matrix_transfer_artfid_mean,wall_total_sec,eval_total_sec,lancet_generation_sec,vae_decode_sec,has_targetwise_artfid_json,source,note
K-longer,full_eval,epoch_0001,750,600,1.2434,0.700999891837438,0.36226504592,0.6712508509556453,0.3722510408333334,,,99.50512621400048,24.86043718200017,5.637355593000393,53.81520957099019,false,I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_longer_train_k_seed42_b44_e8/full_eval/epoch_0001,No ArtFID aggregate.
K-longer,full_eval,epoch_0002,750,600,2.3170,0.697917991081874,0.362321289866666,0.668066897491614,0.371336070883333,,,105.36358040800042,25.463482609000494,5.917547840977932,59.587420697997004,false,I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_longer_train_k_seed42_b44_e8/full_eval/epoch_0002,No ArtFID aggregate.
K-longer,full_eval,epoch_0003,750,600,3.3924,0.69633476738135,0.36802641452,0.6670163323978582,0.37743857948333337,,,106.8814852659998,23.678842290999455,6.213424972005669,62.04055321201304,false,I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_longer_train_k_seed42_b44_e8/full_eval/epoch_0003,No ArtFID aggregate.
K-longer,full_eval,epoch_0004,750,600,4.4690,0.695963137706121,0.36624003128,0.6668556912740071,0.3757503867333333,,,101.22834209699977,28.682112467999104,5.525035171991476,53.825640581004336,false,I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_longer_train_k_seed42_b44_e8/full_eval/epoch_0004,Previously known partial eval.
K-longer,full_eval,epoch_0005,0,0,5.5449,,,,,,,,,,,false,I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_longer_train_k_seed42_b44_e8/full_eval/epoch_0005,Zero-byte metrics in older full_eval path; do not use.
K-longer,full_eval_artfid,epoch_0005,750,600,5.5449,0.696885404070218,0.350415626653333,0.6670102730890115,0.3587850992,365.010404525438,408.308933034716,101.55471802900001,28.40693625100002,5.112680981000011,52.45451584800017,false,I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_longer_train_k_seed42_b44_e8/full_eval_artfid/epoch_0005,Matrix ArtFID means exist in summary, but official aggregate_targetwise_artfid.json is missing.
K-longer,full_eval_artfid,epoch_0006,750,600,6.6266,0.697990249315898,0.37408567388,0.6693240416049957,0.3850040076333333,370.472246369278,410.737040200083,104.54114171100014,30.52436118300011,6.367656234999686,52.62397691499996,false,I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_longer_train_k_seed42_b44_e8/full_eval_artfid/epoch_0006,Matrix ArtFID means exist in summary, but official aggregate_targetwise_artfid.json is missing.
K-longer,full_eval_artfid,epoch_0007,750,600,7.7047,0.698554173986117,0.389654557413333,0.6705300333599249,0.4013532969,371.26652868139,410.323434203892,99.20048128999997,28.093999058999998,5.348833313000796,52.46856041500132,false,I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_longer_train_k_seed42_b44_e8/full_eval_artfid/epoch_0007,Transfer style still below compact K e1 and LPIPS worse.
K-longer,full_eval_artfid,epoch_0008,750,600,8.7826,0.698071771581968,0.395409332666667,0.6704904128611089,0.40721832901666677,372.676567436244,410.930043314427,105.18277635000004,30.503645519999736,6.7843992059947595,52.61117139700082,false,I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_longer_train_k_seed42_b44_e8/full_eval_artfid/epoch_0008,Negative or neutral longer-train evidence versus compact K e1.
F-longer,full_eval,epoch_0001,750,600,1.2830,0.697751862247785,0.33312664796,0.6657610585788886,0.3396798792833333,,,111.99988173399925,26.8151981230003,6.143637165001564,61.2613963140102,false,I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_longer_train_f_seed42_b44_e8/full_eval/epoch_0001,No ArtFID aggregate.
F-longer,full_eval,epoch_0002,750,600,2.3984,0.695070272326469,0.35692655492,0.6637254176040491,0.3655321943833333,,,121.9430976019994,38.02340559000004,8.513822389981215,56.54158833699694,false,I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_longer_train_f_seed42_b44_e8/full_eval/epoch_0002,No ArtFID aggregate.
