"timestamp","scope","method","dataset_or_setting","resolution","path","phase","target","total_files","media_count","total_mb","tracked_files","ignored_or_untracked_files","train_time_value","train_time_unit","infer_time_value","infer_time_unit","metrics_source","visual_source","git_state","decision","delete_whitelist","reason","next_action","note"
"2026-06-05Tcut-raw-policy","local_cut_raw_tracked_file_policy","CUT","photo_monet_5x5","256x256","Related_Works\runs\cut_5x5\raw_results","test_latest","all_cut_targets","3755","3750","109.181","5","3750","","","","","Related_Works\runs\cut_5x5\infer_5x5\summary.json; Related_Works\runs\cut_5x5\infer_5x5\metrics.csv","Related_Works\runs\cut_5x5\raw_results\*\test_latest\index.html; Related_Works\runs\cut_5x5\infer_5x5\summary_grid.png","mixed_tracked_html_ignored_images","retain_tracked_boundary","no","Native CUT web output mixes tracked index.html files with ignored JPG media. It is source evidence, not checkpoint residue.","If deletion is desired later, write an owner-approved tracked-file migration/untracking plan and exact delete whitelist first.","Aggregate row; per-target train timing is recorded in target rows."
"2026-06-05Tcut-raw-policy","local_cut_raw_tracked_file_policy","CUT","photo_monet_5x5","256x256","Related_Works\runs\cut_5x5\raw_results\cut_to_cezanne","test_latest","cezanne","751","750","19.567","1","750","26158","sec_epoch_time_taken_sum","","","Related_Works\runs\cut_5x5\infer_5x5\summary.json; Related_Works\runs\cut_5x5\logs\train_cut_to_cezanne.log","Related_Works\runs\cut_5x5\raw_results\cut_to_cezanne\test_latest\index.html","mixed_tracked_html_ignored_images","retain_tracked_boundary","no","Opened test_latest index and image triad real_A/fake_B/real_B. Deleting would remove tracked HTML and ignored native web images.","Owner-approved tracked policy required before cleanup.","Training value is the sum of log epoch Time Taken seconds; cezanne log contains 30 epoch lines, not normalized."
"2026-06-05Tcut-raw-policy","local_cut_raw_tracked_file_policy","CUT","photo_monet_5x5","256x256","Related_Works\runs\cut_5x5\raw_results\cut_to_Hayao","test_latest","Hayao","751","750","19.888","1","750","14517","sec_epoch_time_taken_sum","","","Related_Works\runs\cut_5x5\infer_5x5\summary.json; Related_Works\runs\cut_5x5\logs\train_cut_to_Hayao.log","Related_Works\runs\cut_5x5\raw_results\cut_to_Hayao\test_latest\index.html","mixed_tracked_html_ignored_images","retain_tracked_boundary","no","Opened test_latest index and image triad real_A/fake_B/real_B. Deleting would remove tracked HTML and ignored native web images.","Owner-approved tracked policy required before cleanup.","Training value is the sum of log epoch Time Taken seconds."
"2026-06-05Tcut-raw-policy","local_cut_raw_tracked_file_policy","CUT","photo_monet_5x5","256x256","Related_Works\runs\cut_5x5\raw_results\cut_to_monet","test_latest","monet","751","750","21.563","1","750","12680","sec_epoch_time_taken_sum","","","Related_Works\runs\cut_5x5\infer_5x5\summary.json; Related_Works\runs\cut_5x5\logs\train_cut_to_monet.log","Related_Works\runs\cut_5x5\raw_results\cut_to_monet\test_latest\index.html","mixed_tracked_html_ignored_images","retain_tracked_boundary","no","Opened test_latest index and image triad real_A/fake_B/real_B. Deleting would remove tracked HTML and ignored native web images.","Owner-approved tracked policy required before cleanup.","Training value is the sum of log epoch Time Taken seconds."
"2026-06-05Tcut-raw-policy","local_cut_raw_tracked_file_policy","CUT","photo_monet_5x5","256x256","Related_Works\runs\cut_5x5\raw_results\cut_to_photo","test_latest","photo","751","750","22.513","1","750","9129","sec_epoch_time_taken_sum","","","Related_Works\runs\cut_5x5\infer_5x5\summary.json; Related_Works\runs\cut_5x5\logs\train_cut_to_photo.log","Related_Works\runs\cut_5x5\raw_results\cut_to_photo\test_latest\index.html","mixed_tracked_html_ignored_images","retain_tracked_boundary","no","Opened test_latest index and image triad real_A/fake_B/real_B. Deleting would remove tracked HTML and ignored native web images.","Owner-approved tracked policy required before cleanup.","Training value is the sum of log epoch Time Taken seconds."
"2026-06-05Tcut-raw-policy","local_cut_raw_tracked_file_policy","CUT","photo_monet_5x5","256x256","Related_Works\runs\cut_5x5\raw_results\cut_to_vangogh","test_latest","vangogh","751","750","25.653","1","750","14120","sec_epoch_time_taken_sum","","","Related_Works\runs\cut_5x5\infer_5x5\summary.json; Related_Works\runs\cut_5x5\logs\train_cut_to_vangogh.log","Related_Works\runs\cut_5x5\raw_results\cut_to_vangogh\test_latest\index.html","mixed_tracked_html_ignored_images","retain_tracked_boundary","no","Opened test_latest index and image triad real_A/fake_B/real_B. Deleting would remove tracked HTML and ignored native web images.","Owner-approved tracked policy required before cleanup.","Training value is the sum of log epoch Time Taken seconds."
"2026-06-05Tcut-raw-policy","local_cut_raw_tracked_file_policy","CUT","photo_monet_5x5","256x256","Related_Works\runs\cut_5x5\raw_results_val","val_latest","all_cut_targets","3755","3750","453.017","3755","0","","","","","Related_Works\runs\cut_5x5\infer_val_clean_5x5\summary.json; Related_Works\runs\cut_5x5\infer_val_clean_5x5\metrics.csv","Related_Works\runs\cut_5x5\raw_results_val\*\val_latest\index.html; Related_Works\runs\cut_5x5\infer_val_clean_5x5\summary_grid.png","tracked_repository_content","retain_tracked_boundary","no","Raw validation web output is tracked repository content. Metrics exist downstream but do not authorize deletion of tracked media.","If deletion is desired later, migrate or untrack with exact owner approval and post-delete verification.","Aggregate row; per-target train timing is recorded in target rows."
"2026-06-05Tcut-raw-policy","local_cut_raw_tracked_file_policy","CUT","photo_monet_5x5","256x256","Related_Works\runs\cut_5x5\raw_results_val\cut_to_cezanne","val_latest","cezanne","751","750","88.612","751","0","26158","sec_epoch_time_taken_sum","","","Related_Works\runs\cut_5x5\infer_val_clean_5x5\summary.json; Related_Works\runs\cut_5x5\logs\train_cut_to_cezanne.log","Related_Works\runs\cut_5x5\raw_results_val\cut_to_cezanne\val_latest\index.html","tracked_repository_content","retain_tracked_boundary","no","Opened val_latest index and tracked PNG triad real_A/fake_B/real_B. Deleting would remove tracked repository media.","Owner-approved tracked policy required before cleanup.","Training value is the sum of log epoch Time Taken seconds; cezanne log contains 30 epoch lines, not normalized."
"2026-06-05Tcut-raw-policy","local_cut_raw_tracked_file_policy","CUT","photo_monet_5x5","256x256","Related_Works\runs\cut_5x5\raw_results_val\cut_to_Hayao","val_latest","Hayao","751","750","81.460","751","0","14517","sec_epoch_time_taken_sum","","","Related_Works\runs\cut_5x5\infer_val_clean_5x5\summary.json; Related_Works\runs\cut_5x5\logs\train_cut_to_Hayao.log","Related_Works\runs\cut_5x5\raw_results_val\cut_to_Hayao\val_latest\index.html","tracked_repository_content","retain_tracked_boundary","no","Opened val_latest index and tracked PNG triad real_A/fake_B/real_B. Deleting would remove tracked repository media.","Owner-approved tracked policy required before cleanup.","Training value is the sum of log epoch Time Taken seconds."
"2026-06-05Tcut-raw-policy","local_cut_raw_tracked_file_policy","CUT","photo_monet_5x5","256x256","Related_Works\runs\cut_5x5\raw_results_val\cut_to_monet","val_latest","monet","751","750","92.899","751","0","12680","sec_epoch_time_taken_sum","","","Related_Works\runs\cut_5x5\infer_val_clean_5x5\summary.json; Related_Works\runs\cut_5x5\logs\train_cut_to_monet.log","Related_Works\runs\cut_5x5\raw_results_val\cut_to_monet\val_latest\index.html","tracked_repository_content","retain_tracked_boundary","no","Opened val_latest index and tracked PNG triad real_A/fake_B/real_B. Deleting would remove tracked repository media.","Owner-approved tracked policy required before cleanup.","Training value is the sum of log epoch Time Taken seconds."
"2026-06-05Tcut-raw-policy","local_cut_raw_tracked_file_policy","CUT","photo_monet_5x5","256x256","Related_Works\runs\cut_5x5\raw_results_val\cut_to_photo","val_latest","photo","751","750","89.278","751","0","9129","sec_epoch_time_taken_sum","","","Related_Works\runs\cut_5x5\infer_val_clean_5x5\summary.json; Related_Works\runs\cut_5x5\logs\train_cut_to_photo.log","Related_Works\runs\cut_5x5\raw_results_val\cut_to_photo\val_latest\index.html","tracked_repository_content","retain_tracked_boundary","no","Opened val_latest index and tracked PNG triad real_A/fake_B/real_B. Deleting would remove tracked repository media.","Owner-approved tracked policy required before cleanup.","Training value is the sum of log epoch Time Taken seconds."
"2026-06-05Tcut-raw-policy","local_cut_raw_tracked_file_policy","CUT","photo_monet_5x5","256x256","Related_Works\runs\cut_5x5\raw_results_val\cut_to_vangogh","val_latest","vangogh","751","750","100.768","751","0","14120","sec_epoch_time_taken_sum","","","Related_Works\runs\cut_5x5\infer_val_clean_5x5\summary.json; Related_Works\runs\cut_5x5\logs\train_cut_to_vangogh.log","Related_Works\runs\cut_5x5\raw_results_val\cut_to_vangogh\val_latest\index.html","tracked_repository_content","retain_tracked_boundary","no","Opened val_latest index and tracked PNG triad real_A/fake_B/real_B. Deleting would remove tracked repository media.","Owner-approved tracked policy required before cleanup.","Training value is the sum of log epoch Time Taken seconds."
"2026-06-05Tcut-raw-policy","local_cut_raw_tracked_file_policy","CUT","photo_monet_5x5","256x256","Related_Works\runs\cut_5x5\infer_5x5","summary_metrics","all_cut_targets","1260","","47.290","18","","","","","","Related_Works\runs\cut_5x5\infer_5x5\summary.json; Related_Works\runs\cut_5x5\infer_5x5\metrics.csv; Related_Works\runs\cut_5x5\infer_5x5\meta.json","Related_Works\runs\cut_5x5\infer_5x5\summary_grid.png","mixed_tracked_and_ignored_metric_output","keep","no","Downstream metrics and grid are compact evidence for raw_results, but summary has no inference wall-time field.","Keep as evidence. Do not use it as deletion proof for tracked raw outputs without owner migration.","summary.json timestamp 2026-03-08 02:28:14; infer_time missing."
"2026-06-05Tcut-raw-policy","local_cut_raw_tracked_file_policy","CUT","photo_monet_5x5","256x256","Related_Works\runs\cut_5x5\infer_val_clean_5x5","summary_metrics","all_cut_targets","1260","","46.938","18","","","","","","Related_Works\runs\cut_5x5\infer_val_clean_5x5\summary.json; Related_Works\runs\cut_5x5\infer_val_clean_5x5\metrics.csv; Related_Works\runs\cut_5x5\infer_val_clean_5x5\meta.json","Related_Works\runs\cut_5x5\infer_val_clean_5x5\summary_grid.png","mixed_tracked_and_ignored_metric_output","keep","no","Downstream metrics and grid are compact evidence for raw_results_val, but summary has no inference wall-time field.","Keep as evidence. Do not use it as deletion proof for tracked raw outputs without owner migration.","summary.json timestamp 2026-03-08 02:34:43; infer_time missing."
