"relative_path","bytes","mb","action"
"45\45_01_golden_funnel\epoch_0030.pt","55351729","52.787522","deleted_from_curated_nonweight_staging"
"45\45_01_golden_funnel\tokenizer_distill\epoch_0030_distill_epochs200\epoch_0030_tokenized.pt","55347093","52.783101","deleted_from_curated_nonweight_staging"
"45\45_01_golden_funnel\tokenizer_distill\epoch_0030_distill_epochs200\tokenizer.pt","394347","0.376079","deleted_from_curated_nonweight_staging"
"45\45_02_naked_fusion\epoch_0030.pt","55351793","52.787583","deleted_from_curated_nonweight_staging"
"45\45_02_naked_fusion\tokenizer_distill\epoch_0030_distill_epochs200\epoch_0030_tokenized.pt","55347093","52.783101","deleted_from_curated_nonweight_staging"
"45\45_02_naked_fusion\tokenizer_distill\epoch_0030_distill_epochs200\tokenizer.pt","394347","0.376079","deleted_from_curated_nonweight_staging"
"45\45_03_macro_dictator\epoch_0030.pt","55351729","52.787522","deleted_from_curated_nonweight_staging"
"45\45_03_macro_dictator\tokenizer_distill\epoch_0030_distill_epochs200\epoch_0030_tokenized.pt","55347093","52.783101","deleted_from_curated_nonweight_staging"
"45\45_03_macro_dictator\tokenizer_distill\epoch_0030_distill_epochs200\tokenizer.pt","394347","0.376079","deleted_from_curated_nonweight_staging"
"45\45_04_micro_rebel\epoch_0030.pt","55351729","52.787522","deleted_from_curated_nonweight_staging"
"45\45_04_micro_rebel\tokenizer_distill\epoch_0030_distill_epochs200\epoch_0030_tokenized.pt","55347093","52.783101","deleted_from_curated_nonweight_staging"
"45\45_04_micro_rebel\tokenizer_distill\epoch_0030_distill_epochs200\tokenizer.pt","394347","0.376079","deleted_from_curated_nonweight_staging"
