"remote_root","archive","run","eval_name","summary_entry","summary_bytes","unrar_p_exit_code","metric_path","metric_value"
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","timestamp","2026-04-05 23:50:07"
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","metrics_note.clip_dir","cos( CLIP(gen)-CLIP(src), CLIP(target_style_proto)-CLIP(src) ) - Measures edit direction."
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","metrics_note.clip_style","cos( CLIP(gen), CLIP(target_style_proto) ) - Measures absolute style similarity."
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","metrics_note.clip_content","cos( CLIP(gen), CLIP(src) ) - Measures semantic/content preservation."
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","metrics_note.fid_baseline","FID between source-domain images and target-style references."
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","metrics_note.fid","FID between generated images and target-style real references (Inception features)."
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","metrics_note.delta_fid","fid_baseline - fid (higher is better)."
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","metrics_note.delta_fid_ratio","delta_fid / fid_baseline (relative improvement ratio)."
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","metrics_note.art_fid_fid","Academic ArtFID style term: FID computed with the official art-domain Inception checkpoint."
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","metrics_note.art_fid_content_lpips","Academic ArtFID content term: mean LPIPS-Alex between generated and source content images."
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","metrics_note.art_fid","Academic ArtFID: (1 + art_fid_fid) * (1 + art_fid_content_lpips)."
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","metrics_note.kid_baseline","KID between source-domain images and target-style references (torchmetrics)."
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","metrics_note.kid","KID between generated images and target-style references (torchmetrics)."
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","metrics_note.delta_kid","kid_baseline - kid (higher is better)."
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","metrics_note.delta_kid_ratio","delta_kid / kid_baseline (relative improvement ratio)."
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.photo.count","30"
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.photo.clip_dir","0.599758630990982"
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.photo.clip_style","0.7477606435616811"
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.photo.content_lpips","0.6962857123333333"
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.photo.clip_content","0.6084875356666667"
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.photo.fid_style",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.photo.art_fid_fid",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.photo.art_fid_content_lpips",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.photo.art_fid",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.photo.fid_baseline",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.photo.delta_fid",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.photo.delta_fid_ratio",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.photo.kid_style",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.photo.kid_style_std",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.photo.kid_baseline",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.photo.kid_baseline_std",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.photo.delta_kid",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.photo.delta_kid_ratio",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.Hayao.count","30"
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.Hayao.clip_dir","0.6165336509545644"
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.Hayao.clip_style","0.6534505168596904"
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.Hayao.content_lpips","0.7034954810000001"
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.Hayao.clip_content","0.621003822"
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.Hayao.fid_style",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.Hayao.art_fid_fid",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.Hayao.art_fid_content_lpips",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.Hayao.art_fid",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.Hayao.fid_baseline",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.Hayao.delta_fid",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.Hayao.delta_fid_ratio",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.Hayao.kid_style",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.Hayao.kid_style_std",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.Hayao.kid_baseline",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.Hayao.kid_baseline_std",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.Hayao.delta_kid",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.Hayao.delta_kid_ratio",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.monet.count","30"
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.monet.clip_dir","0.5471519500017166"
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.monet.clip_style","0.6436288058757782"
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.monet.content_lpips","0.6959823826666667"
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.monet.clip_content","0.619380072"
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.monet.fid_style",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.monet.art_fid_fid",""
"I:\Github\Latent_Style","Cycle-NCE\45.rar","45_01_golden_funnel","epoch_0030","45\45_01_golden_funnel\full_eval\epoch_0030\summary.json","20380","0","matrix_breakdown.photo.monet.art_fid_content_lpips",""
