"remote_root","relative_path","target_type","expected_status","expected_mb","delete_reason","manual_basis"
"I:\Github\Latent_Style","eval_cache\hf\models--openai--clip-vit-base-patch32\blobs\a63082132ba4f97a80bea76823f544493bffa8082296d62d71581a4feff1576f.incomplete","file","exists_before_delete","55.994","failed_huggingface_clip_blob_incomplete","parent listing shows only .incomplete in blobs; complete manual_clip weights exist"
"I:\Github\Latent_Style","eval_cache\ref_feats_1558c2de70_m80.pt.tmp.575","file","exists_before_delete","0.000122","stale_ref_feats_tmp_residue","complete ref_feats_1558c2de70_m80.pt exists next to 128-byte tmp"
"I:\Github\Latent_Style","SchrodingerBridge\scale\datasets\wikiart_81k\.cache\huggingface\download\wCnio2FLeN37BG8ipDAohIO8E5U=.46096265c2d6143804b6bd1d07b5a59119f8b8f89e7a1d2cd4fca5592b450707.incomplete","file","exists_before_delete","63.947","failed_wikiart81k_hf_download_incomplete","download parent listing shows .incomplete plus stale lock; dataset body exists"
"I:\Github\Latent_Style","SchrodingerBridge\scale\datasets\wikiart_81k\.cache\huggingface\download\dataset.tar.gz.lock","file","exists_before_delete","0","stale_wikiart81k_download_lock","no active python process; lock last write 2026-05-18"
"I:\Github\Latent_Style","Cycle-NCE\_archive\src_46\eval_cache\artfid\.cache\huggingface\download\qDTS-0xVe8KqtrFl6MozVPDSqJA=.5bc1c20380401911d99d528b7b6e4430044b56edd5f7f26467222f3fb7c54e7e.incomplete","file","exists_before_delete","102.936","failed_artfid_download_incomplete_archive_copy","parent listing shows .incomplete and stale art_inception lock only"
"I:\Github\Latent_Style","Cycle-NCE\_archive\src_46\eval_cache\artfid\.cache\huggingface\download\art_inception.pth.lock","file","exists_before_delete","0","stale_artfid_download_lock_archive_copy","no active python process; lock last write 2026-04-01"
"I:\Github\Latent_Style","Cycle-NCE\src\eval_cache\artfid\.cache\huggingface\download\qDTS-0xVe8KqtrFl6MozVPDSqJA=.5bc1c20380401911d99d528b7b6e4430044b56edd5f7f26467222f3fb7c54e7e.incomplete","file","exists_before_delete","102.936","failed_artfid_download_incomplete_src_copy","src has complete art_inception.pth; failed download residue remains in .cache"
"I:\Github\Latent_Style","Cycle-NCE\src\eval_cache\artfid\.cache\huggingface\download\art_inception.pth.lock","file","exists_before_delete","0","stale_artfid_download_lock_src_copy","no active python process; lock last write 2026-04-07"
"I:\Github\Latent_Style","Cycle-NCE\eval_cache\hf\models--openai--clip-vit-base-patch32\blobs\a63082132ba4f97a80bea76823f544493bffa8082296d62d71581a4feff1576f.incomplete","file","exists_before_delete","55.994","failed_cycle_nce_clip_blob_incomplete","Cycle-NCE eval_cache/manual_clip has complete CLIP weights"
"I:\Github\Latent_Style","experiments\eval_cache\hf\modelscope\stabilityai_sd-vae-ft-mse\._____temp","directory","exists_before_delete","0","recursively_empty_modelscope_temp_dir","recursive check found two nested dirs, zero files, zero MB"
"I:\Github\Latent_Style","Related_Works\repos\S2WAT-main\pre_trained_models\tmp_timing","directory","exists_before_delete","0","empty_tmp_timing_dir","exact dir check child_count=0"
