"remote_root","relative_path","post_exists","parent_exists"
"I:\Github\Latent_Style","eval_cache\hf\models--openai--clip-vit-base-patch32\blobs\a63082132ba4f97a80bea76823f544493bffa8082296d62d71581a4feff1576f.incomplete","False","True"
"I:\Github\Latent_Style","eval_cache\ref_feats_1558c2de70_m80.pt.tmp.575","False","True"
"I:\Github\Latent_Style","SchrodingerBridge\scale\datasets\wikiart_81k\.cache\huggingface\download\wCnio2FLeN37BG8ipDAohIO8E5U=.46096265c2d6143804b6bd1d07b5a59119f8b8f89e7a1d2cd4fca5592b450707.incomplete","False","True"
"I:\Github\Latent_Style","SchrodingerBridge\scale\datasets\wikiart_81k\.cache\huggingface\download\dataset.tar.gz.lock","False","True"
"I:\Github\Latent_Style","Cycle-NCE\_archive\src_46\eval_cache\artfid\.cache\huggingface\download\qDTS-0xVe8KqtrFl6MozVPDSqJA=.5bc1c20380401911d99d528b7b6e4430044b56edd5f7f26467222f3fb7c54e7e.incomplete","False","True"
"I:\Github\Latent_Style","Cycle-NCE\_archive\src_46\eval_cache\artfid\.cache\huggingface\download\art_inception.pth.lock","False","True"
"I:\Github\Latent_Style","Cycle-NCE\src\eval_cache\artfid\.cache\huggingface\download\qDTS-0xVe8KqtrFl6MozVPDSqJA=.5bc1c20380401911d99d528b7b6e4430044b56edd5f7f26467222f3fb7c54e7e.incomplete","False","True"
"I:\Github\Latent_Style","Cycle-NCE\src\eval_cache\artfid\.cache\huggingface\download\art_inception.pth.lock","False","True"
"I:\Github\Latent_Style","Cycle-NCE\eval_cache\hf\models--openai--clip-vit-base-patch32\blobs\a63082132ba4f97a80bea76823f544493bffa8082296d62d71581a4feff1576f.incomplete","False","True"
"I:\Github\Latent_Style","experiments\eval_cache\hf\modelscope\stabilityai_sd-vae-ft-mse\._____temp","False","True"
"I:\Github\Latent_Style","Related_Works\repos\S2WAT-main\pre_trained_models\tmp_timing","False","True"
