scope,location,experiment_family,run,period_start,period_end,dataset_or_setting,resolution,method,epochs_recorded,train_time_value,train_time_unit,infer_time_value,infer_time_unit,metrics,checkpoint_deleted,size_mb_deleted,source_path,retained_evidence,note
remote,I,orthogonal_phase_space_sweep_60,g0_universe_center,2026-05-09T03:08:41,2026-05-09T04:08:05,"latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,LANCET/LBM,60,3562.601,s,,,none,epoch_0060.pt,42.379171,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60/g0_universe_center/logs/training_20260509_030841.csv,"manifest.json; train_status.csv; config.json; logs/training_*.csv; src snapshot","Manual open checked config/log/weight. No full_eval summary in run root."
remote,I,orthogonal_phase_space_sweep_60,g1_absolute_release,2026-05-09T04:08:19,2026-05-09T05:07:40,"latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,LANCET/LBM,60,3560.009,s,,,none,epoch_0060.pt,42.379171,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60/g1_absolute_release/logs/training_20260509_040819.csv,"manifest.json; train_status.csv; config.json; logs/training_*.csv; src snapshot","Manual open checked config/log/weight. No full_eval summary in run root."
remote,I,orthogonal_phase_space_sweep_60,g2_absolute_freeze,2026-05-09T05:07:54,2026-05-09T06:07:29,"latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,LANCET/LBM,60,3572.826,s,,,none,epoch_0060.pt,42.379171,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60/g2_absolute_freeze/logs/training_20260509_050754.csv,"manifest.json; train_status.csv; config.json; logs/training_*.csv; src snapshot","Manual open checked config/log/weight. No full_eval summary in run root."
remote,I,orthogonal_phase_space_sweep_60,g3_gravity_black_hole,2026-05-09T06:07:44,2026-05-09T07:05:27,"latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,LANCET/LBM,60,3462.183,s,,,none,epoch_0060.pt,42.379171,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60/g3_gravity_black_hole/logs/training_20260509_060744.csv,"manifest.json; train_status.csv; config.json; logs/training_*.csv; src snapshot","Manual open checked config/log/weight. No full_eval summary in run root."
remote,I,orthogonal_phase_space_sweep_60,g4_gravity_vacuum,2026-05-09T07:05:40,2026-05-09T08:03:20,"latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,LANCET/LBM,60,3457.994,s,,,none,epoch_0060.pt,42.379171,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60/g4_gravity_vacuum/logs/training_20260509_070540.csv,"manifest.json; train_status.csv; config.json; logs/training_*.csv; src snapshot","Manual open checked config/log/weight. No full_eval summary in run root."
remote,I,orthogonal_phase_space_sweep_60,g5_midfreq_strangulation,2026-05-09T08:03:33,2026-05-09T09:01:12,"latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,LANCET/LBM,60,3457.612,s,,,none,epoch_0060.pt,42.379171,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60/g5_midfreq_strangulation/logs/training_20260509_080333.csv,"manifest.json; train_status.csv; config.json; logs/training_*.csv; src snapshot","Manual open checked config/log/weight. No full_eval summary in run root."
remote,I,orthogonal_phase_space_sweep_60,g6_structure_amnesty,2026-05-09T09:01:25,2026-05-09T09:59:04,"latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,LANCET/LBM,60,3457.507,s,,,none,epoch_0060.pt,42.379171,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60/g6_structure_amnesty/logs/training_20260509_090125.csv,"manifest.json; train_status.csv; config.json; logs/training_*.csv; src snapshot","Manual open checked config/log/weight. No full_eval summary in run root."
remote,I,orthogonal_phase_space_sweep_60,g7_flesh_stripping,2026-05-09T09:59:16,2026-05-09T10:28:41,"latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,LANCET/LBM,60,1764.245,s,,,none,epoch_0060.pt,42.379171,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60/g7_flesh_stripping/logs/training_20260509_095916.csv,"manifest.json; train_status.csv; config.json; logs/training_*.csv; src snapshot","Manual open checked config/log/weight. This run is much faster than sibling 60-epoch runs; retained as logged rather than normalized."
remote,I,orthogonal_phase_space_sweep_60,g8_absolute_nailgun,2026-05-09T10:28:53,2026-05-09T11:26:33,"latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,LANCET/LBM,60,3458.157,s,,,none,epoch_0060.pt,42.379171,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60/g8_absolute_nailgun/logs/training_20260509_102853.csv,"manifest.json; train_status.csv; config.json; logs/training_*.csv; src snapshot","Manual open checked config/log/weight. No full_eval summary in run root."
remote,I,orthogonal_phase_space_sweep_60,g9_cryogenic_hard_match,2026-05-09T11:26:46,2026-05-09T12:24:27,"latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,LANCET/LBM,60,3459.880,s,,,none,epoch_0060.pt,42.379171,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60/g9_cryogenic_hard_match/logs/training_20260509_112646.csv,"manifest.json; train_status.csv; config.json; logs/training_*.csv; src snapshot","Manual open checked config/log/weight. No full_eval summary in run root."
