"remote_root","name","kind","last_write_time","file_count","dir_count","weight_count","weight_mb","summary_json_count","metrics_csv_count","log_count","config_like_count","sample_weight","sample_log","sample_summary"
"I:\Github\Latent_Style\SchrodingerBridge\exp","_cleanup_manifests","dir","2026-05-26 05:19:09","15","4","0","0","3","0","1","0","","_cleanup_manifests\remote_pre_vae_cleanup.log","_cleanup_manifests\vae_backend_cleanup_20260525_213008\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","_codex_smoke","dir","2026-05-29 02:43:34","4","2","0","0","1","0","0","0","","","_codex_smoke\concept_atom_calibration_protocol\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","_dryrun_mse_controls_remote","dir","2026-05-28 12:35:12","16","5","0","0","0","0","0","5","","",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","_launchers","dir","2026-06-03 22:37:48","9","0","0","0","0","0","0","0","","",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","_remote_smoke_distinct5_512_ema_baseline_b48_vlen005","dir","2026-06-05 05:23:18","43","6","0","0","1","1","1","1","","_remote_smoke_distinct5_512_ema_baseline_b48_vlen005\logs\training_20260602_031612.csv","_remote_smoke_distinct5_512_ema_baseline_b48_vlen005\full_eval\epoch_0001_smoke25\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","_remote_smoke_distinct5_512_ema_baseline_b64_vlen005","dir","2026-06-02 03:14:54","15","3","0","0","0","0","1","1","","_remote_smoke_distinct5_512_ema_baseline_b64_vlen005\logs\training_20260602_031454.csv",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","_remote_smoke_distinct5_512_ema_baseline_b80_vlen005","dir","2026-06-02 03:13:32","15","3","0","0","0","0","1","1","","_remote_smoke_distinct5_512_ema_baseline_b80_vlen005\logs\training_20260602_031333.csv",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","_smoke_mse_controls","dir","2026-05-28 12:41:39","33","4","0","0","0","0","2","1","","_smoke_mse_controls\mse_plain4_w20_anchor\run.log",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","aaai2027_longer_train_f_seed42_b44_e8","dir","2026-06-03 22:46:38","6052","20","8","538.077","8","8","5","1","aaai2027_longer_train_f_seed42_b44_e8\epoch_0001.pt","aaai2027_longer_train_f_seed42_b44_e8\remote_train.log","aaai2027_longer_train_f_seed42_b44_e8\full_eval\epoch_0001\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","aaai2027_longer_train_k_seed42_b44_e8","dir","2026-06-04 23:39:18","6749","23","8","541.619","8","9","2","1","aaai2027_longer_train_k_seed42_b44_e8\epoch_0001.pt","aaai2027_longer_train_k_seed42_b44_e8\logs\training_20260603_233745.csv","aaai2027_longer_train_k_seed42_b44_e8\full_eval\epoch_0001\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","aaai2027_path_kinetic_h_base_seed42_b44","dir","2026-06-03 15:20:37","2279","10","3","201.779","3","3","2","1","aaai2027_path_kinetic_h_base_seed42_b44\epoch_0001.pt","aaai2027_path_kinetic_h_base_seed42_b44\remote_train.log","aaai2027_path_kinetic_h_base_seed42_b44\full_eval\epoch_0001\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","aaai2027_path_kinetic_h_base_seed42_b44_interrupted_20260603_1449","dir","2026-06-05 05:23:17","17","3","0","0","0","0","2","1","","aaai2027_path_kinetic_h_base_seed42_b44_interrupted_20260603_1449\logs\training_20260603_144043.csv",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","aaai2027_path_kinetic_h_base_seed42_b44_k000","dir","2026-06-03 15:56:06","2279","10","3","201.778","3","3","2","1","aaai2027_path_kinetic_h_base_seed42_b44_k000\epoch_0001.pt","aaai2027_path_kinetic_h_base_seed42_b44_k000\remote_train.log","aaai2027_path_kinetic_h_base_seed42_b44_k000\full_eval\epoch_0001\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","aaai2027_path_kinetic_h_base_seed42_b44_k025","dir","2026-06-03 15:44:36","2279","10","3","201.778","3","3","2","1","aaai2027_path_kinetic_h_base_seed42_b44_k025\epoch_0001.pt","aaai2027_path_kinetic_h_base_seed42_b44_k025\remote_train.log","aaai2027_path_kinetic_h_base_seed42_b44_k025\full_eval\epoch_0001\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","aaai2027_path_kinetic_packet","dir","2026-06-03 14:35:20","3","0","0","0","0","0","1","0","","aaai2027_path_kinetic_packet\packet.log",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","aaai2027_path_stability_probe_h_base_seed42_b44_e1","dir","2026-06-03 16:08:07","4","0","0","0","1","0","0","0","","","aaai2027_path_stability_probe_h_base_seed42_b44_e1\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","analysis","dir","2026-05-28 09:57:10","7","1","0","0","0","1","0","0","","",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","anchor_speed","dir","2026-05-29 12:11:03","793","8","0","0","3","1","3","1","","anchor_speed\ema_w34_b144_e6_20260529_1203_console.log","anchor_speed\ema_w34_b144_e6_20260529_1203_m02_20260529_1211\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","baseline_from_scratch","dir","2026-05-30 01:14:25","877","18","0","0","4","1","11","1","","baseline_from_scratch\ema_transport_adain_w34_guard_retrain_20260529_1034\train.log","baseline_from_scratch\ema_transport_adain_w34_guard_retrain_20260529_1034_m02_epoch6_20260529_1044\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","baseline_repro","dir","2026-05-29 03:32:17","766","4","0","0","3","1","1","0","","baseline_repro\ema_epoch0006_m02_repro_20260529_0332\run.log","baseline_repro\ema_epoch0006_m02_repro_20260529_0332\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","clean_baseline","dir","2026-05-30 02:54:29","6834","24","0","0","9","9","1","1","","clean_baseline\w34_clean_20260530\logs\training_20260530_011810.csv","clean_baseline\w34_clean_20260530_eval\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","concept_atom_m02_protocol","dir","2026-05-29 03:21:44","1548","17","0","0","7","2","5","0","","concept_atom_m02_protocol\p1_fft005_swd30_epoch0006_m02a_atom_diverse_full_20260529_0320\run.log","concept_atom_m02_protocol\foreground_probe\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","concept_atoms_mainline","dir","2026-05-29 01:26:40","193","20","0","0","0","0","19","5","","concept_atoms_mainline\debug_start_stderr.log",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","concept_atoms_wsl_smoke","dir","2026-05-29 00:47:58","108","14","0","0","0","0","8","5","","concept_atoms_wsl_smoke\ema_concept_atoms_smoke_20260529_004048\run.log",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","diagnostics","dir","2026-05-28 18:12:50","326","67","0","0","44","7","1","16","","diagnostics\style_adapter_quality\adain_w34_e6_dist_response\run.log","diagnostics\backend_tensor_flow_ema_frontier\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","diffeomorphic_tangent_sweep","dir","2026-05-20 22:37:23","2432","66","0","0","3","3","15","12","","diffeomorphic_tangent_sweep\t00_ws0p03_g6_nl0\logs\training_20260520_200540.csv","diffeomorphic_tangent_sweep\t00_ws0p03_g6_nl0\full_eval\epoch_0008\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","distinct5_512_ema_baseline_direct_atom_residual_b40_remote","dir","2026-06-02 04:34:43","16","3","0","0","0","0","1","1","","distinct5_512_ema_baseline_direct_atom_residual_b40_remote\logs\training_20260602_043435.csv",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","distinct5_512_ema_baseline_direct_atom_residual_b44_remote","dir","2026-06-02 04:45:21","6048","20","8","348.725","8","8","1","1","distinct5_512_ema_baseline_direct_atom_residual_b44_remote\epoch_0001.pt","distinct5_512_ema_baseline_direct_atom_residual_b44_remote\logs\training_20260602_043649.csv","distinct5_512_ema_baseline_direct_atom_residual_b44_remote\full_eval\epoch_0001\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","distinct5_512_ema_baseline_direct_atom_residual_b48_remote","dir","2026-06-02 04:10:40","16","3","0","0","0","0","1","1","","distinct5_512_ema_baseline_direct_atom_residual_b48_remote\logs\training_20260602_041030.csv",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","distinct5_512_ema_variant_a_class_prototypes_b44_remote","dir","2026-06-02 05:15:29","6048","20","8","398.459","8","8","1","1","distinct5_512_ema_variant_a_class_prototypes_b44_remote\epoch_0001.pt","distinct5_512_ema_variant_a_class_prototypes_b44_remote\logs\training_20260602_050656.csv","distinct5_512_ema_variant_a_class_prototypes_b44_remote\full_eval\epoch_0001\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","distinct5_512_ema_variant_b_global_vq_b44_remote","dir","2026-06-02 05:57:28","6048","20","8","531.141","8","8","1","1","distinct5_512_ema_variant_b_global_vq_b44_remote\epoch_0001.pt","distinct5_512_ema_variant_b_global_vq_b44_remote\logs\training_20260602_054854.csv","distinct5_512_ema_variant_b_global_vq_b44_remote\full_eval\epoch_0001\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","distinct5_512_ema_variant_c_content_guided_spatial_b44_remote","dir","2026-06-02 06:30:55","6048","20","8","403.162","8","8","1","1","distinct5_512_ema_variant_c_content_guided_spatial_b44_remote\epoch_0001.pt","distinct5_512_ema_variant_c_content_guided_spatial_b44_remote\logs\training_20260602_062216.csv","distinct5_512_ema_variant_c_content_guided_spatial_b44_remote\full_eval\epoch_0001\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","distinct5_512_ema_variant_d_vq_content_guided_b44_remote","dir","2026-06-02 07:08:23","6048","20","8","538.07","8","8","1","1","distinct5_512_ema_variant_d_vq_content_guided_b44_remote\epoch_0001.pt","distinct5_512_ema_variant_d_vq_content_guided_b44_remote\logs\training_20260602_065945.csv","distinct5_512_ema_variant_d_vq_content_guided_b44_remote\full_eval\epoch_0001\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","distinct5_512_ema_variant_e_latent_prototype_ot_queue_b44_remote","dir","2026-06-02 07:45:53","6049","20","8","538.073","8","8","2","1","distinct5_512_ema_variant_e_latent_prototype_ot_queue_b44_remote\epoch_0001.pt","distinct5_512_ema_variant_e_latent_prototype_ot_queue_b44_remote\logs\training_20260602_073021.csv","distinct5_512_ema_variant_e_latent_prototype_ot_queue_b44_remote\full_eval\epoch_0001\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","distinct5_512_ema_variant_f_annealed_prototype_ot_queue_e3_b44_remote","dir","2026-06-02 23:59:21","15","3","0","0","0","0","1","1","","distinct5_512_ema_variant_f_annealed_prototype_ot_queue_e3_b44_remote\logs\training_20260602_235921.csv",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","distinct5_512_ema_variant_g_stratified_prototype_ot_queue_e3_b44_remote","dir","2026-06-02 23:59:21","15","3","0","0","0","0","1","1","","distinct5_512_ema_variant_g_stratified_prototype_ot_queue_e3_b44_remote\logs\training_20260602_235921.csv",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","distinct5_512_ema_variant_h_hard_explore_queue_e3_b44_remote","dir","2026-06-02 23:59:21","15","3","0","0","0","0","1","1","","distinct5_512_ema_variant_h_hard_explore_queue_e3_b44_remote\logs\training_20260602_235921.csv",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","distinct5_512_ema_variant_i_dual_target_mix_queue_e3_b44_remote","dir","2026-06-02 23:59:21","15","3","0","0","0","0","1","1","","distinct5_512_ema_variant_i_dual_target_mix_queue_e3_b44_remote\logs\training_20260602_235921.csv",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","distinct5_512_ema_variant_j_aux_hard_swd_queue_e3_b44_remote","dir","2026-06-02 10:24:40","2278","10","3","201.778","3","3","1","1","distinct5_512_ema_variant_j_aux_hard_swd_queue_e3_b44_remote\epoch_0001.pt","distinct5_512_ema_variant_j_aux_hard_swd_queue_e3_b44_remote\logs\training_20260602_102114.csv","distinct5_512_ema_variant_j_aux_hard_swd_queue_e3_b44_remote\full_eval\epoch_0001\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote","dir","2026-06-02 10:51:59","2278","10","3","203.107","3","3","1","1","distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote\epoch_0001.pt","distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote\logs\training_20260602_104832.csv","distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote\full_eval\epoch_0001\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","distinct5_512_ema_variant_l_content_adaptive_annealed_queue_e3_b44_remote","dir","2026-06-02 11:12:31","2278","10","3","203.107","3","3","1","1","distinct5_512_ema_variant_l_content_adaptive_annealed_queue_e3_b44_remote\epoch_0001.pt","distinct5_512_ema_variant_l_content_adaptive_annealed_queue_e3_b44_remote\logs\training_20260602_110907.csv","distinct5_512_ema_variant_l_content_adaptive_annealed_queue_e3_b44_remote\full_eval\epoch_0001\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","distinct5_512_ema_variant_m_style_gated_content_router_e3_b44_remote","dir","2026-06-02 11:33:59","2278","10","3","203.111","3","3","1","1","distinct5_512_ema_variant_m_style_gated_content_router_e3_b44_remote\epoch_0001.pt","distinct5_512_ema_variant_m_style_gated_content_router_e3_b44_remote\logs\training_20260602_113035.csv","distinct5_512_ema_variant_m_style_gated_content_router_e3_b44_remote\full_eval\epoch_0001\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","factorized_feature_status","dir","2026-05-27 21:13:02","3","0","0","0","0","0","2","0","","factorized_feature_status\stderr.log",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","factorized_tokenizer_status","dir","2026-05-27 20:21:01","3","0","0","0","0","0","2","0","","factorized_tokenizer_status\stderr.log",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","fisher_memory_consumer_probe_mds02","dir","2026-05-28 18:36:47","788","8","0","0","2","1","1","1","","fisher_memory_consumer_probe_mds02\fm00_mds02_typed_fisher_memory_s22_e2\logs\training_20260528_183257.csv","fisher_memory_consumer_probe_mds02\fm00_mds02_typed_fisher_memory_s22_e2\full_eval_summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","fisher_operator_consumer_probe","dir","2026-05-28 15:01:39","3190","34","0","0","8","4","11","6","","fisher_operator_consumer_probe\fo12_depthwise_consumer_guard_e2\logs\training_20260528_105135.csv","fisher_operator_consumer_probe\fo12_depthwise_consumer_guard_e2\full_eval_summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","fisher_operator_consumer_probe_mds02","dir","2026-05-28 18:15:43","3939","35","0","0","10","5","8","5","","fisher_operator_consumer_probe_mds02\fo18_depthwise_style_basis_gate_e2\logs\training_20260528_170831.csv","fisher_operator_consumer_probe_mds02\fo18_depthwise_style_basis_gate_e2\full_eval_summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","fisher_operator_consumer_probe_smoke","dir","2026-05-28 10:50:24","31","4","0","0","0","0","1","1","","fisher_operator_consumer_probe_smoke\fo12_depthwise_consumer_guard_e2\logs\training_20260528_105018.csv",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","fisher_operator_tokenizer_probe","dir","2026-05-28 10:16:41","1521","6","0","0","4","2","2","0","","fisher_operator_tokenizer_probe\fo01_fisher_operator_token_swd80\training_losses.csv","fisher_operator_tokenizer_probe\fo01_fisher_operator_token_swd80\full_eval_summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","fisher_operator_tokenizer_probe_debug","dir","2026-05-28 09:38:09","4","1","0","0","0","0","1","0","","fisher_operator_tokenizer_probe_debug\fo01_debug_noeval\training_losses.csv",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","fisher_operator_tokenizer_probe_smoke","dir","2026-05-28 10:15:47","7","2","0","0","0","0","2","0","","fisher_operator_tokenizer_probe_smoke\fo01_smoke\training_losses.csv",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","fisher_style_backbone_probe","dir","2026-05-28 09:03:23","1573","14","0","0","2","2","2","2","","fisher_style_backbone_probe\rf00_fisher_stylepure_s20_e2\logs\training_20260528_085631.csv","fisher_style_backbone_probe\rf00_fisher_stylepure_s20_e2\full_eval\epoch_0008\summary_reuse_generated.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","fisher_style_memory_adapter_probe","dir","2026-05-28 08:55:34","5","2","0","0","0","0","0","0","","",""
"I:\Github\Latent_Style\SchrodingerBridge\exp","freeze_stage","dir","2026-05-29 13:19:22","2351","20","0","0","9","3","7","2","","freeze_stage\actuator_only_from_w34e4_e2_20260529_1258_console.log","freeze_stage\actuator_only_from_w34e4_e2_20260529_1258_m02_20260529_1259\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","frontier","dir","2026-05-26 05:17:03","1902","416","0","0","8","7","84","85","","frontier\dynamic_metric_probe\dm00_t00_baseline\logs\training_20260522_002112.csv","frontier\dynamic_metric_probe\dm01_zero_init_only\full_eval\epoch_0006\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","inference","dir","2026-05-26 05:17:03","53466","145","0","0","71","71","0","0","","","inference\inference_param_sweep_t01_comprehensive\endpoint_s0p85_scale0p188\summary.json"
"I:\Github\Latent_Style\SchrodingerBridge\exp","k2_repro","dir","2026-05-29 09:22:58","906","22","0","0","1","1","12","4","","k2_repro\k2_r11_repro_full_b160.log","k2_repro\k2_r11_repro_full_b160\full_eval_epoch8_ema_20260529_1012\summary.json"
