baseline,style,resolution,lpips,clip_style,clip_content
s2wat,monet,256,0.79328125,0.6046839356422424,0.5518796443939209
s2wat,vangogh,256,0.803427734375,0.6364759802818298,0.5375890135765076
s2wat,cezanne,256,0.825458984375,0.6093760132789612,0.534294843673706
s2wat,Hayao,256,0.782685546875,0.5767638087272644,0.5453646183013916
samst,monet,256,0.551865234375,0.6315950155258179,0.5545473694801331
samst,vangogh,256,0.5548095703125,0.6449503898620605,0.5437716245651245
samst,cezanne,256,0.5519970703125,0.6175761222839355,0.54296875
samst,ukiyoe,256,0.551298828125,,0.5437401533126831
styleid,monet,256,0.77275390625,0.7241577506065369,0.5032814741134644
styleid,vangogh,256,0.770751953125,0.7170912027359009,0.5034530162811279
styleid,cezanne,256,0.770751953125,0.6814531683921814,0.43015342950820923
styleid,Hayao,256,0.76896484375,0.5830811858177185,0.3339003920555115
cut,monet,256,0.80646484375,0.6762464046478271,0.5163775682449341
cut,vangogh,256,0.818349609375,0.6833177804946899,0.5365453362464905
cut,cezanne,256,0.780556640625,0.6570091247558594,0.5218929052352905
cut,Hayao,256,0.80560546875,0.6031036376953125,0.5214298963546753
