src_style,tgt_style,src_image,gen_image,content_lpips,clip_dir,clip_style,clip_content,pred_style,class_correct
Hayao,cezanne,0.jpg,Hayao_0_to_cezanne.jpg,0.3957221,0.5221413373947144,0.5979123115539551,0.7016008,N/A,N/A
Hayao,cezanne,1000.jpg,Hayao_1000_to_cezanne.jpg,0.3731122,0.5292930603027344,0.6058940291404724,0.7650015,N/A,N/A
Hayao,cezanne,1001.jpg,Hayao_1001_to_cezanne.jpg,0.4196908,0.31576746702194214,0.5057893991470337,0.836549,N/A,N/A
Hayao,cezanne,1006.jpg,Hayao_1006_to_cezanne.jpg,0.40563476,0.49352967739105225,0.573065996170044,0.82099414,N/A,N/A
Hayao,cezanne,1007.jpg,Hayao_1007_to_cezanne.jpg,0.36577123,0.6467710137367249,0.6618553996086121,0.640721,N/A,N/A
Hayao,cezanne,1008.jpg,Hayao_1008_to_cezanne.jpg,0.35592735,0.49218231439590454,0.5684942007064819,0.75959146,N/A,N/A
Hayao,cezanne,1009.jpg,Hayao_1009_to_cezanne.jpg,0.34897932,0.5138957500457764,0.6148908138275146,0.78727925,N/A,N/A
Hayao,cezanne,1012.jpg,Hayao_1012_to_cezanne.jpg,0.38680702,0.519444465637207,0.613958477973938,0.7790485,N/A,N/A
Hayao,cezanne,1014.jpg,Hayao_1014_to_cezanne.jpg,0.40868556,0.3850071430206299,0.5590507388114929,0.82381,N/A,N/A
Hayao,cezanne,1015.jpg,Hayao_1015_to_cezanne.jpg,0.33400363,0.41546106338500977,0.5611321926116943,0.79236543,N/A,N/A
Hayao,cezanne,1016.jpg,Hayao_1016_to_cezanne.jpg,0.41286248,0.3240768313407898,0.4875951111316681,0.868458,N/A,N/A
Hayao,cezanne,1017.jpg,Hayao_1017_to_cezanne.jpg,0.4392079,0.26927149295806885,0.5001159310340881,0.89524245,N/A,N/A
Hayao,cezanne,1018.jpg,Hayao_1018_to_cezanne.jpg,0.53806293,0.40277835726737976,0.593100368976593,0.8151341,N/A,N/A
Hayao,cezanne,1019.jpg,Hayao_1019_to_cezanne.jpg,0.49064207,0.4289126396179199,0.7028543949127197,0.787321,N/A,N/A
Hayao,cezanne,1020.jpg,Hayao_1020_to_cezanne.jpg,0.39979243,0.4285910725593567,0.6616583466529846,0.81904197,N/A,N/A
Hayao,cezanne,1021.jpg,Hayao_1021_to_cezanne.jpg,0.30980277,0.3790885806083679,0.6041343212127686,0.8304943,N/A,N/A
Hayao,cezanne,1023.jpg,Hayao_1023_to_cezanne.jpg,0.3793,0.6147587299346924,0.6698614358901978,0.7409524,N/A,N/A
Hayao,cezanne,1024.jpg,Hayao_1024_to_cezanne.jpg,0.566452,0.6949323415756226,0.7370158433914185,0.6912252,N/A,N/A
Hayao,cezanne,1025.jpg,Hayao_1025_to_cezanne.jpg,0.40521806,0.5809787511825562,0.6353009343147278,0.7503528,N/A,N/A
Hayao,cezanne,1026.jpg,Hayao_1026_to_cezanne.jpg,0.34135383,0.48328524827957153,0.6005418300628662,0.8028787,N/A,N/A
Hayao,cezanne,1028.jpg,Hayao_1028_to_cezanne.jpg,0.36794737,0.4311453402042389,0.5941211581230164,0.8002565,N/A,N/A
Hayao,cezanne,102.jpg,Hayao_102_to_cezanne.jpg,0.5107886,0.46000033617019653,0.5887818336486816,0.8009579,N/A,N/A
Hayao,cezanne,1033.jpg,Hayao_1033_to_cezanne.jpg,0.3532024,0.48394328355789185,0.577340304851532,0.78260463,N/A,N/A
Hayao,cezanne,1039.jpg,Hayao_1039_to_cezanne.jpg,0.39596623,0.458213210105896,0.5410641431808472,0.6507814,N/A,N/A
Hayao,cezanne,103.jpg,Hayao_103_to_cezanne.jpg,0.3612319,0.3421946167945862,0.5468394756317139,0.858473,N/A,N/A
Hayao,cezanne,1040.jpg,Hayao_1040_to_cezanne.jpg,0.42870215,0.40760260820388794,0.5656945705413818,0.7996361,N/A,N/A
Hayao,cezanne,1041.jpg,Hayao_1041_to_cezanne.jpg,0.3933395,0.3782495856285095,0.5227727890014648,0.86685467,N/A,N/A
