src_style,tgt_style,src_image,gen_image,content_lpips,clip_dir,clip_style,clip_content,pred_style,class_correct
Hayao,Hayao,0.jpg,Hayao_0_to_Hayao.jpg,0.0021820236,0.08674643188714981,0.8650972247123718,0.99805784,N/A,N/A
Hayao,cezanne,0.jpg,Hayao_0_to_cezanne.jpg,0.5526973,0.6630663871765137,0.6962562203407288,0.6344326,N/A,N/A
Hayao,monet,0.jpg,Hayao_0_to_monet.jpg,0.5456319,0.6718841791152954,0.6844992637634277,0.6168466,N/A,N/A
Hayao,photo,0.jpg,Hayao_0_to_photo.jpg,0.53812647,0.6611634492874146,0.7215946912765503,0.62539214,N/A,N/A
Hayao,vangogh,0.jpg,Hayao_0_to_vangogh.jpg,0.53536385,0.5917462706565857,0.6776439547538757,0.7083106,N/A,N/A
Hayao,Hayao,1000.jpg,Hayao_1000_to_Hayao.jpg,0.0031912697,0.049397870898246765,0.8662014007568359,0.9977911,N/A,N/A
Hayao,cezanne,1000.jpg,Hayao_1000_to_cezanne.jpg,0.57747364,0.5390982031822205,0.5664835572242737,0.6059576,N/A,N/A
Hayao,monet,1000.jpg,Hayao_1000_to_monet.jpg,0.5728111,0.6210770606994629,0.6040254235267639,0.5546597,N/A,N/A
Hayao,photo,1000.jpg,Hayao_1000_to_photo.jpg,0.54951334,0.5970122218132019,0.6272546052932739,0.60827845,N/A,N/A
Hayao,vangogh,1000.jpg,Hayao_1000_to_vangogh.jpg,0.5457189,0.5424865484237671,0.610183596611023,0.65914357,N/A,N/A
Hayao,Hayao,1001.jpg,Hayao_1001_to_Hayao.jpg,0.0023570477,-0.09112711250782013,0.8831923007965088,0.99962515,N/A,N/A
Hayao,cezanne,1001.jpg,Hayao_1001_to_cezanne.jpg,0.602815,0.5691789388656616,0.595463752746582,0.5811841,N/A,N/A
Hayao,monet,1001.jpg,Hayao_1001_to_monet.jpg,0.59943306,0.5467729568481445,0.5496004819869995,0.5914198,N/A,N/A
Hayao,photo,1001.jpg,Hayao_1001_to_photo.jpg,0.5626489,0.5518839359283447,0.5864098072052002,0.64234376,N/A,N/A
Hayao,vangogh,1001.jpg,Hayao_1001_to_vangogh.jpg,0.59875244,0.5848449468612671,0.6321085691452026,0.6036111,N/A,N/A
Hayao,Hayao,1006.jpg,Hayao_1006_to_Hayao.jpg,0.0025784094,0.19867628812789917,0.8835635185241699,0.99937236,N/A,N/A
Hayao,cezanne,1006.jpg,Hayao_1006_to_cezanne.jpg,0.5996425,0.5689362287521362,0.5838547945022583,0.6176653,N/A,N/A
Hayao,monet,1006.jpg,Hayao_1006_to_monet.jpg,0.60123837,0.5887635946273804,0.5675311088562012,0.6136351,N/A,N/A
Hayao,photo,1006.jpg,Hayao_1006_to_photo.jpg,0.5813436,0.5221011638641357,0.5684939026832581,0.7234873,N/A,N/A
Hayao,vangogh,1006.jpg,Hayao_1006_to_vangogh.jpg,0.608585,0.5995807647705078,0.6372594833374023,0.6391615,N/A,N/A
Hayao,Hayao,1007.jpg,Hayao_1007_to_Hayao.jpg,0.0027708998,0.11863338202238083,0.856133222579956,0.9982123,N/A,N/A
Hayao,cezanne,1007.jpg,Hayao_1007_to_cezanne.jpg,0.52682817,0.5644862055778503,0.570484459400177,0.585731,N/A,N/A
Hayao,monet,1007.jpg,Hayao_1007_to_monet.jpg,0.5190333,0.5840646028518677,0.5751640200614929,0.608138,N/A,N/A
Hayao,photo,1007.jpg,Hayao_1007_to_photo.jpg,0.55313104,0.6980620622634888,0.7013198137283325,0.5424961,N/A,N/A
Hayao,vangogh,1007.jpg,Hayao_1007_to_vangogh.jpg,0.5404807,0.6536489725112915,0.6770114302635193,0.5959962,N/A,N/A
Hayao,Hayao,1008.jpg,Hayao_1008_to_Hayao.jpg,0.0015257814,-0.04671340435743332,0.8815827369689941,0.9983671,N/A,N/A
Hayao,cezanne,1008.jpg,Hayao_1008_to_cezanne.jpg,0.62390727,0.6294530630111694,0.6394388675689697,0.5935069,N/A,N/A
Hayao,monet,1008.jpg,Hayao_1008_to_monet.jpg,0.6323544,0.647610068321228,0.6297378540039062,0.5816496,N/A,N/A
Hayao,photo,1008.jpg,Hayao_1008_to_photo.jpg,0.64103776,0.574318528175354,0.6123547554016113,0.67068344,N/A,N/A
Hayao,vangogh,1008.jpg,Hayao_1008_to_vangogh.jpg,0.63614523,0.7102493047714233,0.7317161560058594,0.58828866,N/A,N/A
Hayao,Hayao,1009.jpg,Hayao_1009_to_Hayao.jpg,0.001506169,0.09255973249673843,0.8765263557434082,0.99922913,N/A,N/A
Hayao,cezanne,1009.jpg,Hayao_1009_to_cezanne.jpg,0.649177,0.5995420217514038,0.6186630129814148,0.5635617,N/A,N/A
Hayao,monet,1009.jpg,Hayao_1009_to_monet.jpg,0.644593,0.5587891340255737,0.5618585348129272,0.61446404,N/A,N/A
Hayao,photo,1009.jpg,Hayao_1009_to_photo.jpg,0.61889166,0.5748884081840515,0.6054202318191528,0.6569841,N/A,N/A
Hayao,vangogh,1009.jpg,Hayao_1009_to_vangogh.jpg,0.65406966,0.6753662824630737,0.6977076530456543,0.5535827,N/A,N/A
Hayao,Hayao,1012.jpg,Hayao_1012_to_Hayao.jpg,0.0018002127,0.07699444890022278,0.8850183486938477,0.9996728,N/A,N/A
Hayao,cezanne,1012.jpg,Hayao_1012_to_cezanne.jpg,0.6137985,0.4454915523529053,0.5283631682395935,0.68501973,N/A,N/A
Hayao,monet,1012.jpg,Hayao_1012_to_monet.jpg,0.6351163,0.5350459814071655,0.53160160779953,0.57946956,N/A,N/A
Hayao,photo,1012.jpg,Hayao_1012_to_photo.jpg,0.5971022,0.5975040197372437,0.6254581212997437,0.6452741,N/A,N/A
Hayao,vangogh,1012.jpg,Hayao_1012_to_vangogh.jpg,0.5894164,0.5757845640182495,0.6258968114852905,0.6207465,N/A,N/A
Hayao,Hayao,1014.jpg,Hayao_1014_to_Hayao.jpg,0.0026977754,-0.02673160284757614,0.9127236604690552,0.9995091,N/A,N/A
Hayao,cezanne,1014.jpg,Hayao_1014_to_cezanne.jpg,0.5848789,0.5686832666397095,0.6162096858024597,0.6090513,N/A,N/A
Hayao,monet,1014.jpg,Hayao_1014_to_monet.jpg,0.5996835,0.5975564122200012,0.6015769243240356,0.6091943,N/A,N/A
Hayao,photo,1014.jpg,Hayao_1014_to_photo.jpg,0.56571,0.5079940557479858,0.6107673645019531,0.76637685,N/A,N/A
Hayao,vangogh,1014.jpg,Hayao_1014_to_vangogh.jpg,0.59922874,0.525060772895813,0.6273931264877319,0.7156701,N/A,N/A
Hayao,Hayao,1015.jpg,Hayao_1015_to_Hayao.jpg,0.0016276513,0.20984843373298645,0.8360223174095154,0.99840564,N/A,N/A
Hayao,cezanne,1015.jpg,Hayao_1015_to_cezanne.jpg,0.6278725,0.6808419227600098,0.6897277235984802,0.52721184,N/A,N/A
Hayao,monet,1015.jpg,Hayao_1015_to_monet.jpg,0.64517057,0.6706076860427856,0.6490792036056519,0.4853407,N/A,N/A
Hayao,photo,1015.jpg,Hayao_1015_to_photo.jpg,0.6539544,0.6949892044067383,0.6960173845291138,0.5460514,N/A,N/A
Hayao,vangogh,1015.jpg,Hayao_1015_to_vangogh.jpg,0.66642284,0.6518018245697021,0.6691859364509583,0.51820356,N/A,N/A
Hayao,Hayao,1016.jpg,Hayao_1016_to_Hayao.jpg,0.0024278085,-0.07556881010532379,0.8961103558540344,0.99969995,N/A,N/A
Hayao,cezanne,1016.jpg,Hayao_1016_to_cezanne.jpg,0.5839783,0.6127158999443054,0.6266263723373413,0.61784977,N/A,N/A
Hayao,monet,1016.jpg,Hayao_1016_to_monet.jpg,0.5822802,0.600412130355835,0.5837264060974121,0.5909516,N/A,N/A
Hayao,photo,1016.jpg,Hayao_1016_to_photo.jpg,0.5696982,0.672554612159729,0.6922871470451355,0.60700977,N/A,N/A
Hayao,vangogh,1016.jpg,Hayao_1016_to_vangogh.jpg,0.5809939,0.6430529952049255,0.6727570295333862,0.65493006,N/A,N/A
Hayao,Hayao,1017.jpg,Hayao_1017_to_Hayao.jpg,0.0026074022,-0.018786072731018066,0.8978509902954102,0.9997772,N/A,N/A
Hayao,cezanne,1017.jpg,Hayao_1017_to_cezanne.jpg,0.58307374,0.5205464959144592,0.5906331539154053,0.7000228,N/A,N/A
Hayao,monet,1017.jpg,Hayao_1017_to_monet.jpg,0.58557296,0.3470560312271118,0.45021671056747437,0.78746015,N/A,N/A
Hayao,photo,1017.jpg,Hayao_1017_to_photo.jpg,0.5634747,0.41267573833465576,0.5191600918769836,0.7752069,N/A,N/A
Hayao,vangogh,1017.jpg,Hayao_1017_to_vangogh.jpg,0.5719429,0.39372962713241577,0.5315636992454529,0.7615975,N/A,N/A
Hayao,Hayao,1018.jpg,Hayao_1018_to_Hayao.jpg,0.001046189,0.06926023960113525,0.6812217235565186,0.9997945,N/A,N/A
Hayao,cezanne,1018.jpg,Hayao_1018_to_cezanne.jpg,0.5271064,0.4304075241088867,0.6060196161270142,0.8057418,N/A,N/A
Hayao,monet,1018.jpg,Hayao_1018_to_monet.jpg,0.5418033,0.49737119674682617,0.6067050695419312,0.7648423,N/A,N/A
Hayao,photo,1018.jpg,Hayao_1018_to_photo.jpg,0.5020219,0.5310216546058655,0.7042514085769653,0.7975737,N/A,N/A
Hayao,vangogh,1018.jpg,Hayao_1018_to_vangogh.jpg,0.5370191,0.528623104095459,0.656490683555603,0.7120206,N/A,N/A
Hayao,Hayao,1019.jpg,Hayao_1019_to_Hayao.jpg,0.002174669,0.2060941457748413,0.713117778301239,0.999555,N/A,N/A
Hayao,cezanne,1019.jpg,Hayao_1019_to_cezanne.jpg,0.61713576,0.2738713324069977,0.5404007434844971,0.66917044,N/A,N/A
Hayao,monet,1019.jpg,Hayao_1019_to_monet.jpg,0.6052533,0.37521427869796753,0.6370466947555542,0.7165863,N/A,N/A
Hayao,photo,1019.jpg,Hayao_1019_to_photo.jpg,0.59600115,0.537600576877594,0.7637819647789001,0.715165,N/A,N/A
Hayao,vangogh,1019.jpg,Hayao_1019_to_vangogh.jpg,0.60844946,0.41386497020721436,0.6922155618667603,0.7624998,N/A,N/A
Hayao,Hayao,1020.jpg,Hayao_1020_to_Hayao.jpg,0.0019885122,-0.2706585228443146,0.6070179343223572,0.99865085,N/A,N/A
Hayao,cezanne,1020.jpg,Hayao_1020_to_cezanne.jpg,0.6001271,0.5261585116386414,0.6718881130218506,0.69563526,N/A,N/A
Hayao,monet,1020.jpg,Hayao_1020_to_monet.jpg,0.6354867,0.44890061020851135,0.61400306224823,0.67419803,N/A,N/A
Hayao,photo,1020.jpg,Hayao_1020_to_photo.jpg,0.62802815,0.6092602014541626,0.7410587072372437,0.63579595,N/A,N/A
