src_style,tgt_style,src_image,gen_image,content_lpips,clip_dir,clip_style,clip_content,pred_style,class_correct
Hayao,monet,0.jpg,Hayao_0_to_monet.jpg,0.89110124,0.8642374277114868,0.8500983715057373,0.44423032,N/A,N/A
Hayao,monet,1000.jpg,Hayao_1000_to_monet.jpg,0.78376734,0.8924560546875,0.8603049516677856,0.31717378,N/A,N/A
Hayao,monet,1001.jpg,Hayao_1001_to_monet.jpg,0.77839446,0.878381073474884,0.8556937575340271,0.38818416,N/A,N/A
Hayao,monet,1006.jpg,Hayao_1006_to_monet.jpg,0.8115121,0.8711316585540771,0.8403245806694031,0.3857377,N/A,N/A
Hayao,monet,1007.jpg,Hayao_1007_to_monet.jpg,0.79848146,0.8747256994247437,0.8452674150466919,0.3669964,N/A,N/A
Hayao,monet,1008.jpg,Hayao_1008_to_monet.jpg,0.7952869,0.8006386756896973,0.7650095224380493,0.42436245,N/A,N/A
Hayao,monet,1009.jpg,Hayao_1009_to_monet.jpg,0.7966579,0.8883373141288757,0.8680447340011597,0.40120333,N/A,N/A
Hayao,monet,1012.jpg,Hayao_1012_to_monet.jpg,0.7767879,0.880837082862854,0.8576321005821228,0.38418293,N/A,N/A
Hayao,monet,1014.jpg,Hayao_1014_to_monet.jpg,0.82631207,0.771503210067749,0.7497485876083374,0.48303193,N/A,N/A
Hayao,monet,1015.jpg,Hayao_1015_to_monet.jpg,0.7987559,0.8469658493995667,0.8290306329727173,0.4330169,N/A,N/A
Hayao,monet,1016.jpg,Hayao_1016_to_monet.jpg,0.7959935,0.8364424705505371,0.7839142084121704,0.30077818,N/A,N/A
Hayao,monet,1017.jpg,Hayao_1017_to_monet.jpg,0.7661058,0.8601585030555725,0.8292912244796753,0.36720917,N/A,N/A
Hayao,monet,1018.jpg,Hayao_1018_to_monet.jpg,0.79842645,0.8387710452079773,0.842684268951416,0.52456737,N/A,N/A
Hayao,monet,1019.jpg,Hayao_1019_to_monet.jpg,0.76803696,0.8237704038619995,0.8666059374809265,0.5856602,N/A,N/A
Hayao,monet,1020.jpg,Hayao_1020_to_monet.jpg,0.7751378,0.843963623046875,0.8695806264877319,0.5546518,N/A,N/A
Hayao,monet,1021.jpg,Hayao_1021_to_monet.jpg,0.78268135,0.8518505096435547,0.8502079248428345,0.45622796,N/A,N/A
Hayao,monet,1023.jpg,Hayao_1023_to_monet.jpg,0.79979336,0.7656642198562622,0.7365736961364746,0.44296312,N/A,N/A
Hayao,monet,1024.jpg,Hayao_1024_to_monet.jpg,0.7670827,0.8725612163543701,0.8523145318031311,0.39541486,N/A,N/A
Hayao,monet,1025.jpg,Hayao_1025_to_monet.jpg,0.8487729,0.7980147004127502,0.7644124031066895,0.42172047,N/A,N/A
Hayao,monet,1026.jpg,Hayao_1026_to_monet.jpg,0.7708161,0.8452788591384888,0.8236047029495239,0.41895354,N/A,N/A
Hayao,monet,1028.jpg,Hayao_1028_to_monet.jpg,0.77324796,0.8429605960845947,0.8331695199012756,0.46053874,N/A,N/A
Hayao,monet,102.jpg,Hayao_102_to_monet.jpg,0.9189463,0.874531626701355,0.854246973991394,0.39007497,N/A,N/A
Hayao,monet,1033.jpg,Hayao_1033_to_monet.jpg,0.7696168,0.891625165939331,0.8681116104125977,0.37171024,N/A,N/A
Hayao,monet,1039.jpg,Hayao_1039_to_monet.jpg,0.78361934,0.8849223852157593,0.8647898435592651,0.38499784,N/A,N/A
Hayao,monet,103.jpg,Hayao_103_to_monet.jpg,0.8210248,0.8789260387420654,0.8633649349212646,0.41513115,N/A,N/A
Hayao,monet,1040.jpg,Hayao_1040_to_monet.jpg,0.79437554,0.8594371676445007,0.8417266607284546,0.4220915,N/A,N/A
Hayao,monet,1041.jpg,Hayao_1041_to_monet.jpg,0.7773626,0.8932884931564331,0.8678189516067505,0.3647325,N/A,N/A
Hayao,monet,1042.jpg,Hayao_1042_to_monet.jpg,0.7809922,0.833450198173523,0.8270827531814575,0.4530888,N/A,N/A
Hayao,monet,1044.jpg,Hayao_1044_to_monet.jpg,0.7508934,0.8557129502296448,0.8572350740432739,0.47302687,N/A,N/A
Hayao,monet,1049.jpg,Hayao_1049_to_monet.jpg,0.7472366,0.8678945302963257,0.8420500159263611,0.38081777,N/A,N/A
cezanne,monet,00057.jpg,cezanne_00057_to_monet.jpg,0.74500835,0.7683040499687195,0.8313745856285095,0.59150875,N/A,N/A
cezanne,monet,00104.jpg,cezanne_00104_to_monet.jpg,0.7517081,0.6146502494812012,0.8363852500915527,0.7437862,N/A,N/A
cezanne,monet,00123.jpg,cezanne_00123_to_monet.jpg,0.7606516,0.7179844975471497,0.8635159134864807,0.71835357,N/A,N/A
cezanne,monet,00204.jpg,cezanne_00204_to_monet.jpg,0.76476586,0.5511317253112793,0.7631723880767822,0.6649602,N/A,N/A
cezanne,monet,00212.jpg,cezanne_00212_to_monet.jpg,0.69050515,0.6765569448471069,0.858088493347168,0.7387289,N/A,N/A
