source,run,path,images,ref_match,lpips,clip_style,clip_content,ssim_y,edge_f1,blur_style_drop,down_style_drop,extra_edge_rate,chroma_speckle_z,flat_chroma_hf_z,musiq,maniqa,dists_content,fft_radial_kl_style,fft_slope_error,chroma_grain_index,hf_patch_kid,plain_kid,has_protocol_eval,has_guard_eval,has_artifact_pack,has_hf_patch_kid,has_plain_kid,checkpoints,has_summary,train_status,train_sec,infer_status,infer_sec,sec_per_image,parent
complete_750,ours_epoch_0007,Related_Works/run_511/complete_750/ours_epoch_0007,750,750,0.4587,0.7041,0.8043,0.4545,0.311,0.0034,-0.0014,0.0764,-0.486,-0.5239,49.2059,0.4057,0.2477,0.0853,0.5473,0.1391,4.169393,0.052437,True,True,True,True,True,,,,,,,,
complete_750,samst_strict,Related_Works/run_511/complete_750/samst_strict,750,750,0.4664,0.7194,0.8193,0.652,0.5162,0.0025,-0.0012,0.1077,0.2636,-0.3002,36.095,0.3139,0.2943,0.2419,1.0536,-0.0063,6.759762,0.048909,True,True,True,True,True,,,,,,,,
complete_750,styleid_strict,Related_Works/run_511/complete_750/styleid_strict,750,750,0.7497,0.7597,0.5519,0.1466,0.1954,-0.0005,-0.012,0.2886,0.7909,1.9891,,,,,,,,,True,True,False,False,False,,,,,,,,
complete_750,adain_v32k,Related_Works/run_511/complete_750/adain_v32k,750,750,0.6298,0.713,0.699,0.3246,0.0167,0.0391,0.0185,0.0071,1.1066,-1.271,,,,,,,,,True,True,False,False,False,,,,,,,,
complete_750,adain_vgg19,Related_Works/run_511/complete_750/adain_vgg19,750,750,0.687,0.693,0.5991,0.2897,0.0182,0.0662,0.0361,0.0197,0.3528,-1.4401,,,,,,,,,True,True,False,False,False,,,,,,,,
complete_750,adain_bad,Related_Works/run_511/complete_750/adain_bad,750,750,0.849,0.6308,0.5297,0.2868,0.0,0.007,0.0,0.0,410.2368,-1.829,,,,,,,,,True,True,False,False,False,,,,,,,,
run_511_outputs,adain_4g_bg,Related_Works/run_511/outputs/adain_4g_bg,0,,,,,,,,,,,,,,,,,,,,False,False,,,,1,True,ok,6.045,,,,
run_511_outputs,adain_4g_real,Related_Works/run_511/outputs/adain_4g_real,750,,0.849,0.6308,0.5297,,,,,,,,,,,,,,,,True,False,,,,1,True,,,ok,5.736,,
run_511_outputs,adain_7g_full,Related_Works/run_511/outputs/adain_7g_full,10,,,,,,,,,,,,,,,,,,,,False,False,,,,1,True,,,ok,0.269,,
run_511_outputs,adain_7g_v32k,Related_Works/run_511/outputs/adain_7g_v32k,750,,0.6298,0.713,0.699,0.3246,0.0167,,,,,,,,,,,,,,True,True,,,,1,True,ok,9220.393,ok,9.281,,
run_511_outputs,adain_7g_vgg19,Related_Works/run_511/outputs/adain_7g_vgg19,750,,0.687,0.693,0.5991,,,,,,,,,,,,,,,,True,False,,,,1,True,ok,262.78,ok,9.098,,
run_511_outputs,adain_smoke,Related_Works/run_511/outputs/adain_smoke,0,,,,,,,,,,,,,,,,,,,,False,False,,,,1,True,ok,1.082,,,,
run_511_outputs,adain_smoke2,Related_Works/run_511/outputs/adain_smoke2,0,,,,,,,,,,,,,,,,,,,,False,False,,,,1,True,ok,1.56,,,,
run_511_outputs,adain_vgg19_smoke,Related_Works/run_511/outputs/adain_vgg19_smoke,15,,,,,,,,,,,,,,,,,,,,False,False,,,,1,True,ok,7.06,ok,0.23,,
run_511_outputs,aesfa_timing_probe,Related_Works/run_511/outputs/aesfa_timing_probe,0,,,,,,,,,,,,,,,,,,,,False,False,,,,0,True,failed,3.947,,,,
run_511_outputs,cast_smoke,Related_Works/run_511/outputs/cast_smoke,0,,,,,,,,,,,,,,,,,,,,False,False,,,,0,True,failed,8.554,,,,
run_511_outputs,cast_smoke2,Related_Works/run_511/outputs/cast_smoke2,0,,,,,,,,,,,,,,,,,,,,False,False,,,,0,True,ok,26.654,failed,3.759,,
run_511_outputs,cast_smoke3,Related_Works/run_511/outputs/cast_smoke3,0,,,,,,,,,,,,,,,,,,,,False,False,,,,14,True,ok,29.366,failed,4.032,,
run_511_outputs,ours_k1_c0_w20_col0,Related_Works/run_511/outputs/ours_k1_c0_w20_col0,0,,,,,,,,,,,,,,,,,,,,False,False,,,,0,False,,,,,,
run_511_outputs,ours_ref,Related_Works/run_511/outputs/ours_ref,0,,,,,,,,,,,,,,,,,,,,False,False,,,,0,False,,,,,,
run_511_outputs,samst_750,Related_Works/run_511/outputs/samst_750,750,,,,,,,,,,,,,,,,,,,,False,False,,,,0,False,,,,,,
run_511_outputs,samst_750_refmatch,Related_Works/run_511/outputs/samst_750_refmatch,450,,0.4104,0.7558,0.8355,,,,,,,,,,,,,,,,True,False,,,,0,False,,,,,,
run_511_outputs,samst_750_strict,Related_Works/run_511/outputs/samst_750_strict,750,,0.4664,0.7194,0.8193,0.652,0.5162,,,,,,,,,,,,,,True,True,,,,7,True,,,ok,39.826,,
