experiment,num_rounds,updated_at,latest_epoch,latest_summary_path,latest_transfer_clip_style,latest_transfer_content_lpips,latest_transfer_fid,latest_transfer_art_fid,latest_transfer_classifier_acc,latest_photo_to_art_clip_style,latest_photo_to_art_fid,latest_photo_to_art_art_fid,latest_photo_to_art_classifier_acc,mean_transfer_clip_style,mean_transfer_content_lpips,mean_transfer_fid,mean_transfer_art_fid,mean_transfer_classifier_acc,mean_photo_to_art_clip_style,mean_photo_to_art_fid,mean_photo_to_art_art_fid,mean_photo_to_art_classifier_acc
1-decoder-no_norm-patch5_23-color1.0,1,2026-03-05 22:23:24,30,..\1-decoder-no_norm-patch5_23-color1.0\full_eval\epoch_0030\summary.json,0.0,0.4354431548666667,291.1904929453709,433.4877796182684,0.31666666666666676,0.0,291.1904929453709,433.4877796182684,0.11666666666666665,0.0,0.4354431548666667,291.1904929453709,433.4877796182684,0.31666666666666676,0.0,291.1904929453709,433.4877796182684,0.11666666666666665
1-decoder-patch5-15,2,2026-03-05 20:39:24,60,..\1-decoder-patch5-15\full_eval\epoch_0060\summary.json,0.0,0.49305377176666665,305.5085049469092,473.6163989450661,0.4216666666666666,0.0,305.5085049469092,473.6163989450661,0.2333333333333333,0.0,0.484685341475,301.1502823133278,463.07124138826964,0.40416666666666656,0.0,301.1502823133278,463.07124138826964,0.22916666666666663
ablate_A0_base_p5_id045_tv005,1,2026-03-04 02:30:30,60,..\ablate_A0_base_p5_id045_tv005\full_eval\epoch_0060\summary.json,0.6900004352629184,0.4939571438666667,315.7182792196458,489.6866001078777,0.0,0.6790380915006001,315.7182792196458,489.6866001078777,0.0,0.6900004352629184,0.4939571438666667,315.7182792196458,489.6866001078777,0.0,0.6790380915006001,315.7182792196458,489.6866001078777,0.0
ablate_A1_p7_id045_tv005,1,2026-03-04 04:13:02,60,..\ablate_A1_p7_id045_tv005\full_eval\epoch_0060\summary.json,0.689244296103716,0.48972012698333334,304.414080659088,467.2558836595762,0.0,0.6748146489262581,304.414080659088,467.2558836595762,0.0,0.689244296103716,0.48972012698333334,304.414080659088,467.2558836595762,0.0,0.6748146489262581,304.414080659088,467.2558836595762,0.0
ablate_A2_p11_id045_tv005,1,2026-03-04 05:53:25,60,..\ablate_A2_p11_id045_tv005\full_eval\epoch_0060\summary.json,0.6887425909936429,0.4841050721166667,301.9908537370726,464.10522917623064,0.0,0.6803647354245187,301.9908537370726,464.10522917623064,0.0,0.6887425909936429,0.4841050721166667,301.9908537370726,464.10522917623064,0.0,0.6803647354245187,301.9908537370726,464.10522917623064,0.0
ablate_A3_p5_id030_tv005,1,2026-03-04 07:36:26,60,..\ablate_A3_p5_id030_tv005\full_eval\epoch_0060\summary.json,0.6912175864974657,0.5047980937500001,317.32324863199426,495.4050981167279,0.0,0.6821408346295358,317.32324863199426,495.4050981167279,0.0,0.6912175864974657,0.5047980937500001,317.32324863199426,495.4050981167279,0.0,0.6821408346295358,317.32324863199426,495.4050981167279,0.0
ablate_A4_p5_id070_tv005,1,2026-03-04 09:19:48,60,..\ablate_A4_p5_id070_tv005\full_eval\epoch_0060\summary.json,0.6877512326836586,0.48253961836666664,316.9367386238072,487.7933393310908,0.0,0.6751083627343177,316.9367386238072,487.7933393310908,0.0,0.6877512326836586,0.48253961836666664,316.9367386238072,487.7933393310908,0.0,0.6751083627343177,316.9367386238072,487.7933393310908,0.0
ablate_A5_p5_id045_tv003,1,2026-03-04 11:05:40,60,..\ablate_A5_p5_id045_tv003\full_eval\epoch_0060\summary.json,0.6897283313175042,0.4978160808666667,315.75341344229423,490.80804681942925,0.0,0.6786251614491144,315.75341344229423,490.80804681942925,0.0,0.6897283313175042,0.4978160808666667,315.75341344229423,490.80804681942925,0.0,0.6786251614491144,315.75341344229423,490.80804681942925,0.0
ablate_M1-Aggressive-Fine,3,2026-03-07 08:09:29,120,..\ablate_M1-Aggressive-Fine\full_eval\epoch_0120\summary.json,0.7169979644318423,0.5979536700666667,308.54567346957003,500.1326649563108,0.5616666666666666,0.7160460904240609,308.54567346957003,500.1326649563108,0.34166666666666673,0.7129639213449425,0.5866211973777777,312.4611374480627,502.91090658708544,0.5072222222222221,0.7085665442877346,312.4611374480627,502.91090658708544,0.2333333333333333
ablate_M2-Smooth-Impasto,3,2026-03-07 13:56:39,120,..\ablate_M2-Smooth-Impasto\full_eval\epoch_0120\summary.json,0.706567041426897,0.5789611191,310.49902907170895,498.08332316119163,0.5283333333333333,0.7031383991241456,310.49902907170895,498.08332316119163,0.25833333333333336,0.7071045697397654,0.5710911139888889,310.74026513385,496.53947373254005,0.5011111111111112,0.6991676570640669,310.74026513385,496.53947373254005,0.23055555555555554
adamix,1,2026-02-25 13:18:14,100,..\adamix\full_eval\epoch_0100\summary.json,0.643629070520401,0.3559130565266667,288.7291444850808,399.44900924155417,0.0,0.6114635802805424,288.7291444850808,399.44900924155417,0.0,0.643629070520401,0.3559130565266667,288.7291444850808,399.44900924155417,0.0,0.6114635802805424,288.7291444850808,399.44900924155417,0.0
decoder-1,2,2026-03-05 16:54:20,60,..\decoder-1\full_eval\epoch_0060\summary.json,0.0,0.5151869417,306.49401069224473,478.52100781017,0.0,0.0,306.49401069224473,478.52100781017,0.0,0.0,0.5099718326583333,304.82765868537416,474.6643429423883,0.0,0.0,304.82765868537416,474.6643429423883,0.0
decoder-A-anchor-nohf,2,2026-03-06 01:30:41,80,..\decoder-A-anchor-nohf\full_eval\epoch_0080\summary.json,0.0,0.44105202974999996,286.3265010116002,422.13585981355556,0.32666666666666677,0.0,286.3265010116002,422.13585981355556,0.2333333333333333,0.0,0.44307497127500006,288.4153927448207,427.1274749380435,0.3133333333333334,0.0,288.4153927448207,427.1274749380435,0.2375
decoder-B-hf-strict-id,2,2026-03-06 07:07:58,80,..\decoder-B-hf-strict-id\full_eval\epoch_0080\summary.json,0.7045183711747328,0.5291853739833333,309.34440022095265,485.01149959119573,0.44333333333333336,0.6902633485694727,309.34440022095265,485.01149959119573,0.175,0.7017791309952736,0.5210214814583334,306.41674982919056,478.268949897232,0.43333333333333335,0.6874778289347887,306.41674982919056,478.268949897232,0.16249999999999998
decoder-C-relaxed-id-nohf,2,2026-03-06 10:15:00,80,..\decoder-C-relaxed-id-nohf\full_eval\epoch_0080\summary.json,0.6795456480483214,0.46993829153333333,290.29125319718975,440.07883169581544,0.37333333333333335,0.6716089278459548,290.29125319718975,440.07883169581544,0.25833333333333336,0.6763031689574321,0.4676946750833333,289.4480055410462,437.33420962937873,0.36000000000000004,0.666667853295803,289.4480055410462,437.33420962937873,0.25833333333333336
decoder-D-sweetspot,2,2026-03-06 14:19:46,80,..\decoder-D-sweetspot\full_eval\epoch_0080\summary.json,0.7198140979806581,0.5810241669833334,311.2447422885891,501.03747243904536,0.4883333333333334,0.711875548462073,311.2447422885891,501.03747243904536,0.17500000000000002,0.7160697742551565,0.5657120251250001,314.3627510810048,503.01942166436305,0.4741666666666667,0.7075064924856027,314.3627510810048,503.01942166436305,0.15833333333333333
decoder-E-extreme-brush,2,2026-03-06 18:15:03,80,..\decoder-E-extreme-brush\full_eval\epoch_0080\summary.json,0.7063964407642682,0.5439834172166667,301.68285502406565,476.3628848037388,0.4766666666666667,0.6929791549841562,301.68285502406565,476.3628848037388,0.2,0.7061186468352874,0.5374032148083333,301.78145850918656,474.99393311143524,0.4833333333333334,0.6887557019790014,301.78145850918656,474.99393311143524,0.2
decoder-H-MSCTM,1,2026-03-07 17:31:54,40,..\decoder-H-MSCTM\full_eval\epoch_0040\summary.json,0.7077561626334985,0.5647110991833333,317.46306626664864,507.4846095773614,0.45,0.7003579785426457,317.46306626664864,507.4846095773614,0.18333333333333335,0.7077561626334985,0.5647110991833333,317.46306626664864,507.4846095773614,0.45,0.7003579785426457,317.46306626664864,507.4846095773614,0.18333333333333335
delta_A0_base_p5_id045_tv005,1,2026-03-04 15:49:08,60,..\delta_A0_base_p5_id045_tv005\full_eval\epoch_0060\summary.json,0.6829903468489648,0.4847932419666667,304.44179756825844,467.2688798649921,0.0,0.6670000796516737,304.44179756825844,467.2688798649921,0.0,0.6829903468489648,0.4847932419666667,304.44179756825844,467.2688798649921,0.0,0.6670000796516737,304.44179756825844,467.2688798649921,0.0
delta_A1_p7_id045_tv005,1,2026-03-04 17:42:31,60,..\delta_A1_p7_id045_tv005\full_eval\epoch_0060\summary.json,0.6847814785937469,0.47651008631666664,300.13071727696644,456.9635034867193,0.0,0.6741910174489021,300.13071727696644,456.9635034867193,0.0,0.6847814785937469,0.47651008631666664,300.13071727696644,456.9635034867193,0.0,0.6741910174489021,300.13071727696644,456.9635034867193,0.0
dict,1,2026-02-25 20:43:23,50,..\dict\full_eval\epoch_0050\summary.json,0.6535995877285798,0.36585850696666666,288.78968390842124,403.2404638957552,0.0,0.6220811940729618,288.78968390842124,403.2404638957552,0.0,0.6535995877285798,0.36585850696666666,288.78968390842124,403.2404638957552,0.0,0.6220811940729618,288.78968390842124,403.2404638957552,0.0
exp_1_control,1,2026-02-26 23:29:37,100,..\exp_1_control\full_eval\epoch_0100\summary.json,0.6502712479233742,0.3731396070833333,290.7709695258771,405.2762802982277,0.0,0.6209399672845999,290.7709695258771,405.2762802982277,0.0,0.6502712479233742,0.3731396070833333,290.7709695258771,405.2762802982277,0.0,0.6209399672845999,290.7709695258771,405.2762802982277,0.0
exp_2_zero_id,1,2026-02-27 01:44:52,100,..\exp_2_zero_id\full_eval\epoch_0100\summary.json,0.6509758176406225,0.38921050165000004,289.16228737229864,412.34168692380797,0.0,0.6282008486489454,289.16228737229864,412.34168692380797,0.0,0.6509758176406225,0.38921050165000004,289.16228737229864,412.34168692380797,0.0,0.6282008486489454,289.16228737229864,412.34168692380797,0.0
exp_3_macro_strokes,1,2026-02-27 04:26:06,100,..\exp_3_macro_strokes\full_eval\epoch_0100\summary.json,0.648008402188619,0.35784621953333334,288.71370112725276,398.9806768780296,0.0,0.6156088327368101,288.71370112725276,398.9806768780296,0.0,0.648008402188619,0.35784621953333334,288.71370112725276,398.9806768780296,0.0,0.6156088327368101,288.71370112725276,398.9806768780296,0.0
exp_4_zero_tv,1,2026-02-27 06:42:11,100,..\exp_4_zero_tv\full_eval\epoch_0100\summary.json,0.6493961105744044,0.3750534805833333,291.15313972862305,407.37692752108853,0.0,0.6187316596508026,291.15313972862305,407.37692752108853,0.0,0.6493961105744044,0.3750534805833333,291.15313972862305,407.37692752108853,0.0,0.6187316596508026,291.15313972862305,407.37692752108853,0.0
exp_5_signal_overdrive,1,2026-02-27 08:57:38,100,..\exp_5_signal_overdrive\full_eval\epoch_0100\summary.json,0.6548233059048654,0.3927676343333333,295.4506486552146,421.8789311142484,0.0,0.6273086316883565,295.4506486552146,421.8789311142484,0.0,0.6548233059048654,0.3927676343333333,295.4506486552146,421.8789311142484,0.0,0.6273086316883565,295.4506486552146,421.8789311142484,0.0
