target,split,style,src_path,dst_path,sha1
cezanne,overfit50A,cezanne,G:\GitHub\Latent_Style\style_data\overfit50\cezanne\00057.jpg,G:\GitHub\Latent_Style\Related_Works\runs\cut_5x5\datasets\to_cezanne\overfit50A\cezanne__00057.jpg,04e8e8f003b1b8b4d13062a54e88a07ae69ac5f0
cezanne,overfit50A,cezanne,G:\GitHub\Latent_Style\style_data\overfit50\cezanne\00058.jpg,G:\GitHub\Latent_Style\Related_Works\runs\cut_5x5\datasets\to_cezanne\overfit50A\cezanne__00058.jpg,d4bd3750c8766f7912511cd7d3c091e70a64e428
cezanne,overfit50A,cezanne,G:\GitHub\Latent_Style\style_data\overfit50\cezanne\00062.jpg,G:\GitHub\Latent_Style\Related_Works\runs\cut_5x5\datasets\to_cezanne\overfit50A\cezanne__00062.jpg,b0ff510221255b337524d4cbbe28f49a279844e7
cezanne,overfit50A,cezanne,G:\GitHub\Latent_Style\style_data\overfit50\cezanne\00104.jpg,G:\GitHub\Latent_Style\Related_Works\runs\cut_5x5\datasets\to_cezanne\overfit50A\cezanne__00104.jpg,95d0a52deb8e4852d00a69dba7ebdf281054a02f
cezanne,overfit50A,cezanne,G:\GitHub\Latent_Style\style_data\overfit50\cezanne\00123.jpg,G:\GitHub\Latent_Style\Related_Works\runs\cut_5x5\datasets\to_cezanne\overfit50A\cezanne__00123.jpg,a974876047331b447466018c80a01455c0602ba2
cezanne,overfit50A,cezanne,G:\GitHub\Latent_Style\style_data\overfit50\cezanne\00155.jpg,G:\GitHub\Latent_Style\Related_Works\runs\cut_5x5\datasets\to_cezanne\overfit50A\cezanne__00155.jpg,5b9c12e00aa43385a7ee0b8818cb3c66152a8bfb
cezanne,overfit50A,cezanne,G:\GitHub\Latent_Style\style_data\overfit50\cezanne\00158.jpg,G:\GitHub\Latent_Style\Related_Works\runs\cut_5x5\datasets\to_cezanne\overfit50A\cezanne__00158.jpg,3504dbcfe6b0395d30041b1376d9177966c88578
cezanne,overfit50A,cezanne,G:\GitHub\Latent_Style\style_data\overfit50\cezanne\00199.jpg,G:\GitHub\Latent_Style\Related_Works\runs\cut_5x5\datasets\to_cezanne\overfit50A\cezanne__00199.jpg,10aa2f790844a3e57b87c390d36eeedcb325dd2a
cezanne,overfit50A,cezanne,G:\GitHub\Latent_Style\style_data\overfit50\cezanne\00201.jpg,G:\GitHub\Latent_Style\Related_Works\runs\cut_5x5\datasets\to_cezanne\overfit50A\cezanne__00201.jpg,1e0d35a57bb218d8a7f183aa0af69a51f7393ae3
cezanne,overfit50A,cezanne,G:\GitHub\Latent_Style\style_data\overfit50\cezanne\00204.jpg,G:\GitHub\Latent_Style\Related_Works\runs\cut_5x5\datasets\to_cezanne\overfit50A\cezanne__00204.jpg,c109603d85962a7db741948ad9705c6f47571632
cezanne,overfit50A,cezanne,G:\GitHub\Latent_Style\style_data\overfit50\cezanne\00212.jpg,G:\GitHub\Latent_Style\Related_Works\runs\cut_5x5\datasets\to_cezanne\overfit50A\cezanne__00212.jpg,3266bd44371dfa9ed269671086f5e601d08b0c1d
cezanne,overfit50A,cezanne,G:\GitHub\Latent_Style\style_data\overfit50\cezanne\00219.jpg,G:\GitHub\Latent_Style\Related_Works\runs\cut_5x5\datasets\to_cezanne\overfit50A\cezanne__00219.jpg,39b8daad1972a5534b8e10d457f0b59546b0a1ce
cezanne,overfit50A,cezanne,G:\GitHub\Latent_Style\style_data\overfit50\cezanne\00223.jpg,G:\GitHub\Latent_Style\Related_Works\runs\cut_5x5\datasets\to_cezanne\overfit50A\cezanne__00223.jpg,f659c48868121c87644dd28aa604014ca42c33b2
cezanne,overfit50A,cezanne,G:\GitHub\Latent_Style\style_data\overfit50\cezanne\00227.jpg,G:\GitHub\Latent_Style\Related_Works\runs\cut_5x5\datasets\to_cezanne\overfit50A\cezanne__00227.jpg,a4863f9292e97e75010f0f021b8b8a584dd09cca
cezanne,overfit50A,cezanne,G:\GitHub\Latent_Style\style_data\overfit50\cezanne\00251.jpg,G:\GitHub\Latent_Style\Related_Works\runs\cut_5x5\datasets\to_cezanne\overfit50A\cezanne__00251.jpg,8c7eaf9f1f96df869218b919ae57e02c5d5f66e3
