src_style,tgt_style,src_image,gen_image,content_lpips,style_lpips,clip_dir,clip_style,clip_content,pred_style,class_correct
Hayao,Hayao,0.jpg,Hayao_0_to_Hayao.jpg,0.0021819957,0.7646274566650391,0.08415902405977249,0.8650062680244446,0.9980813,N/A,N/A
Hayao,cezanne,0.jpg,Hayao_0_to_cezanne.jpg,0.33248037,0.7918303608894348,0.2919909358024597,0.5053073167800903,0.86160654,N/A,N/A
Hayao,monet,0.jpg,Hayao_0_to_monet.jpg,0.30891618,0.8284713625907898,0.3801177144050598,0.523871660232544,0.8663181,N/A,N/A
Hayao,photo,0.jpg,Hayao_0_to_photo.jpg,0.3055919,0.8566896319389343,0.35130199790000916,0.6052603721618652,0.8968224,N/A,N/A
Hayao,vangogh,0.jpg,Hayao_0_to_vangogh.jpg,0.32405543,0.8051816821098328,0.313673198223114,0.5650238394737244,0.8917427,N/A,N/A
Hayao,Hayao,1000.jpg,Hayao_1000_to_Hayao.jpg,0.003191204,0.7456204295158386,0.04940881207585335,0.8662935495376587,0.9976907,N/A,N/A
Hayao,cezanne,1000.jpg,Hayao_1000_to_cezanne.jpg,0.32174948,0.7722791433334351,0.44069206714630127,0.5637093782424927,0.83991235,N/A,N/A
Hayao,monet,1000.jpg,Hayao_1000_to_monet.jpg,0.33643702,0.7938256859779358,0.46930989623069763,0.5431744456291199,0.8437008,N/A,N/A
Hayao,photo,1000.jpg,Hayao_1000_to_photo.jpg,0.31621277,0.8173155188560486,0.4658213257789612,0.5926453471183777,0.900304,N/A,N/A
Hayao,vangogh,1000.jpg,Hayao_1000_to_vangogh.jpg,0.29195243,0.7849653363227844,0.3859858512878418,0.5769274830818176,0.8972953,N/A,N/A
Hayao,Hayao,1001.jpg,Hayao_1001_to_Hayao.jpg,0.0023570736,0.7298858761787415,-0.10847847908735275,0.8831571340560913,0.99961007,N/A,N/A
Hayao,cezanne,1001.jpg,Hayao_1001_to_cezanne.jpg,0.34150332,0.7473804950714111,0.27510321140289307,0.5100362300872803,0.89739424,N/A,N/A
Hayao,monet,1001.jpg,Hayao_1001_to_monet.jpg,0.34999007,0.7687937021255493,0.2669476270675659,0.4327252507209778,0.8419659,N/A,N/A
Hayao,photo,1001.jpg,Hayao_1001_to_photo.jpg,0.33467382,0.7702909111976624,0.2913748025894165,0.49588534235954285,0.9073913,N/A,N/A
Hayao,vangogh,1001.jpg,Hayao_1001_to_vangogh.jpg,0.35384157,0.8097548484802246,0.2916579246520996,0.5449614524841309,0.9012057,N/A,N/A
Hayao,Hayao,1006.jpg,Hayao_1006_to_Hayao.jpg,0.00257842,0.7352359890937805,0.2088472694158554,0.8836148977279663,0.99941385,N/A,N/A
Hayao,cezanne,1006.jpg,Hayao_1006_to_cezanne.jpg,0.34552318,0.7468319535255432,0.39520177245140076,0.5231724977493286,0.8721846,N/A,N/A
Hayao,monet,1006.jpg,Hayao_1006_to_monet.jpg,0.33516908,0.7720414996147156,0.35772818326950073,0.45073366165161133,0.87710094,N/A,N/A
Hayao,photo,1006.jpg,Hayao_1006_to_photo.jpg,0.3014789,0.7878533005714417,0.3337596654891968,0.492025226354599,0.9137162,N/A,N/A
Hayao,vangogh,1006.jpg,Hayao_1006_to_vangogh.jpg,0.32347882,0.7856464385986328,0.42028605937957764,0.5685454607009888,0.9254068,N/A,N/A
Hayao,Hayao,1007.jpg,Hayao_1007_to_Hayao.jpg,0.0027708823,0.7422534823417664,0.1079394668340683,0.8557826280593872,0.99829227,N/A,N/A
Hayao,cezanne,1007.jpg,Hayao_1007_to_cezanne.jpg,0.30891362,0.7707284688949585,0.5023010969161987,0.5716097354888916,0.76875883,N/A,N/A
