epoch,qedge_clip_style,qedge_lpips,dualpath_clip_style,dualpath_lpips,delta_clip_style_dual_minus_qedge,delta_lpips_dual_minus_qedge
epoch_0001,0.704748,0.451946,0.692667,0.403708,-0.012081,-0.048239
epoch_0002,0.705530,0.469768,0.691928,0.421798,-0.013602,-0.047970
epoch_0003,0.706243,0.478940,0.691815,0.430633,-0.014428,-0.048307
epoch_0004,0.707284,0.487645,0.692111,0.434822,-0.015173,-0.052824
epoch_0005,0.708127,0.494249,0.691746,0.434779,-0.016382,-0.059469
epoch_0006,0.709273,0.498950,0.692151,0.437677,-0.017122,-0.061273
epoch_0007,0.710248,0.502293,0.692700,0.438919,-0.017547,-0.063373
epoch_0008,0.710085,0.503484,0.692630,0.437904,-0.017455,-0.065580
epoch_0009,0.710326,0.505369,0.692748,0.438654,-0.017577,-0.066715
epoch_0010,0.710381,0.506670,0.692711,0.439933,-0.017670,-0.066737
