candidate_id,block,skip_routing_mode,skip_fusion_mode,w_kinetic,w_cycle,terminal_swd_weight,w_color,w_low_freq,w_nce,w_repulsive,low_freq_kernel_size,swd_use_high_freq,swd_hf_weight_ratio,swd_patch_sizes,swd_num_projections,semantic_swd_num_projections,style_attn_temperature,semantic_attn_temperature,base_dim,num_res_blocks,batch_size,learning_rate,virtual_length_multiplier,num_epochs,save_interval,risk_level,expected_outcome,priority_note,matches_existing_core_config,duplicate_core_within_plan,short_name,run_order_block
E001,A_dense_frontier,normalized,add_proj,2.0,0.5,10.0,0.0,0.0,0.0,0.0,7,False,1.0,3|5|7|15,64,64,0.08,0.12,64,4,108,0.0002,1.0,8,1,low,find smoother Pareto optimum between style and content,fill missing K/C/W interpolation around current Pareto frontier; Col=0,False,False,norm_K2_C0.5_W10_Col0_LF0_NCE0_HF0,1
E002,A_dense_frontier,normalized,add_proj,2.0,0.5,12.5,0.0,0.0,0.0,0.0,7,False,1.0,3|5|7|15,64,64,0.08,0.12,64,4,108,0.0002,1.0,8,1,low,find smoother Pareto optimum between style and content,fill missing K/C/W interpolation around current Pareto frontier; Col=0,False,False,norm_K2_C0.5_W12.5_Col0_LF0_NCE0_HF0,1
E003,A_dense_frontier,normalized,add_proj,2.0,0.5,15.0,0.0,0.0,0.0,0.0,7,False,1.0,3|5|7|15,64,64,0.08,0.12,64,4,108,0.0002,1.0,8,1,medium,find smoother Pareto optimum between style and content,fill missing K/C/W interpolation around current Pareto frontier; Col=0,False,False,norm_K2_C0.5_W15_Col0_LF0_NCE0_HF0,1
E004,A_dense_frontier,normalized,add_proj,2.0,1.0,10.0,0.0,0.0,0.0,0.0,7,False,1.0,3|5|7|15,64,64,0.08,0.12,64,4,108,0.0002,1.0,8,1,low,find smoother Pareto optimum between style and content,fill missing K/C/W interpolation around current Pareto frontier; Col=0,False,False,norm_K2_C1_W10_Col0_LF0_NCE0_HF0,1
E005,A_dense_frontier,normalized,add_proj,2.0,1.0,12.5,0.0,0.0,0.0,0.0,7,False,1.0,3|5|7|15,64,64,0.08,0.12,64,4,108,0.0002,1.0,8,1,low,find smoother Pareto optimum between style and content,fill missing K/C/W interpolation around current Pareto frontier; Col=0,False,False,norm_K2_C1_W12.5_Col0_LF0_NCE0_HF0,1
E006,A_dense_frontier,normalized,add_proj,2.0,1.0,15.0,0.0,0.0,0.0,0.0,7,False,1.0,3|5|7|15,64,64,0.08,0.12,64,4,108,0.0002,1.0,8,1,medium,find smoother Pareto optimum between style and content,fill missing K/C/W interpolation around current Pareto frontier; Col=0,False,True,norm_K2_C1_W15_Col0_LF0_NCE0_HF0,1
E007,A_dense_frontier,normalized,add_proj,2.0,1.5,10.0,0.0,0.0,0.0,0.0,7,False,1.0,3|5|7|15,64,64,0.08,0.12,64,4,108,0.0002,1.0,8,1,low,find smoother Pareto optimum between style and content,fill missing K/C/W interpolation around current Pareto frontier; Col=0,False,False,norm_K2_C1.5_W10_Col0_LF0_NCE0_HF0,1
E008,A_dense_frontier,normalized,add_proj,2.0,1.5,12.5,0.0,0.0,0.0,0.0,7,False,1.0,3|5|7|15,64,64,0.08,0.12,64,4,108,0.0002,1.0,8,1,low,find smoother Pareto optimum between style and content,fill missing K/C/W interpolation around current Pareto frontier; Col=0,False,False,norm_K2_C1.5_W12.5_Col0_LF0_NCE0_HF0,1
E009,A_dense_frontier,normalized,add_proj,2.0,1.5,15.0,0.0,0.0,0.0,0.0,7,False,1.0,3|5|7|15,64,64,0.08,0.12,64,4,108,0.0002,1.0,8,1,medium,find smoother Pareto optimum between style and content,fill missing K/C/W interpolation around current Pareto frontier; Col=0,False,False,norm_K2_C1.5_W15_Col0_LF0_NCE0_HF0,1
E010,A_dense_frontier,normalized,add_proj,3.0,0.5,10.0,0.0,0.0,0.0,0.0,7,False,1.0,3|5|7|15,64,64,0.08,0.12,64,4,108,0.0002,1.0,8,1,low,find smoother Pareto optimum between style and content,fill missing K/C/W interpolation around current Pareto frontier; Col=0,False,False,norm_K3_C0.5_W10_Col0_LF0_NCE0_HF0,1
