experiment_id,epoch,epoch_num,k_value,recipe_id,description,content_weights,target_weights,balance_target_styles_per_batch,summary_path,checkpoint,all_clip_style,all_clip_content,all_content_lpips,transfer_clip_style,transfer_clip_content,transfer_content_lpips,photo_clip_style,photo_clip_content,photo_content_lpips,identity_clip_style,identity_clip_content,identity_content_lpips,score_ec_all,score_65_35_all,score_ec_transfer,score_65_35_transfer,score_ec_photo,score_65_35_photo
K1_r00_balanced_default,epoch_0001,1,1.0,R00_balanced_default,Original balanced target sampler from base config.,,,True,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r00_balanced_default\full_eval\epoch_0001\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r00_balanced_default\epoch_0001.pt,0.7035196035703022,0.8390958239599999,0.42717730256,0.674639656841755,0.8353307415166666,0.4352980873333333,0.6572267398238182,0.78758403375,0.4744249211666667,0.8190393904844921,0.8541561537333333,0.39469416346666664,0.4029919970190599,0.6577756864246964,0.3809703045793227,0.6361614463804741,0.3454219955942779,0.6111486584771485
K1_r00_balanced_default,epoch_0002,2,1.0,R00_balanced_default,Original balanced target sampler from base config.,,,True,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r00_balanced_default\full_eval\epoch_0002\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r00_balanced_default\epoch_0002.pt,0.703192000945409,0.84113255092,0.42272733834666665,0.6741109819213549,0.8363520835166666,0.43079060105,0.654917073994875,0.8018662858333332,0.4552793751666667,0.819516077041626,0.8602544205333335,0.39047428753333324,0.40593351803908956,0.6591202321931826,0.38371030684504875,0.6373954278813807,0.35674683776050664,0.6163483167883353
K1_r00_balanced_default,epoch_0003,3,1.0,R00_balanced_default,Original balanced target sampler from base config.,,,True,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r00_balanced_default\full_eval\epoch_0003\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r00_balanced_default\epoch_0003.pt,0.7060842641194661,0.8373556124666667,0.4237331203333333,0.677822347978751,0.83187906275,0.4319835058333334,0.6573898690442245,0.7984930186666668,0.4574522914166666,0.8191319286823273,0.8592618113333333,0.39073157833333333,0.40689297566585925,0.6606481795609863,0.38501427376670844,0.6393902991445215,0.3566653670958416,0.6171951128829126
K1_r00_balanced_default,epoch_0004,4,1.0,R00_balanced_default,Original balanced target sampler from base config.,,,True,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r00_balanced_default\full_eval\epoch_0004\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r00_balanced_default\epoch_0004.pt,0.7081232137680056,0.8325458469333334,0.42616691197333334,0.6805769313375155,0.8268341320499999,0.43400426664999997,0.6607389383018017,0.79170078875,0.4649014304166667,0.8183083434899647,0.8553927064666667,0.3948174932666666,0.406344530459862,0.6611216697585369,0.38520363935346974,0.6404735120418852,0.3535604607533044,0.6167648092503377
K1_r00_balanced_default,epoch_0005,5,1.0,R00_balanced_default,Original balanced target sampler from base config.,,,True,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r00_balanced_default\full_eval\epoch_0005\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r00_balanced_default\epoch_0005.pt,0.7105774656534194,0.82135594252,0.4423938884,0.6843250079452992,0.8154700150166668,0.4505500852666667,0.667069168885549,0.7790509680833334,0.4827811873333333,0.8155872964859009,0.8448996525333332,0.4097691009333334,0.3962223376135857,0.6570374917347226,0.3760023172654323,0.6371187253211111,0.34502072349752383,0.6146215442089402
K1_r00_balanced_default,epoch_0006,6,1.0,R00_balanced_default,Original balanced target sampler from base config.,,,True,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r00_balanced_default\full_eval\epoch_0006\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r00_balanced_default\epoch_0006.pt,0.7139864968458811,0.812631368,0.44959631438666664,0.6885439748565356,0.8062122263999999,0.4583707934,0.6710070364177226,0.7673592487500001,0.4908713469166667,0.8157565848032634,0.8383079344000001,0.41449839833333335,0.3929807993421256,0.6567325129144894,0.37293552681075576,0.6371238059667482,0.3416289086607943,0.6143496022506864
K1_r00_balanced_default,epoch_0007,7,1.0,R00_balanced_default,Original balanced target sampler from base config.,,,True,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r00_balanced_default\full_eval\epoch_0007\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r00_balanced_default\epoch_0007.pt,0.7154792241255443,0.8091849916533335,0.45050537709333327,0.6904635274410247,0.8025417228166667,0.4599017141499999,0.6716701681415239,0.7656732119999999,0.486654599,0.815542010863622,0.8357580669999999,0.4129200288666667,0.3931519864584205,0.6573846136989372,0.3729181676128419,0.6378356928841661,0.344798791804348,0.6162564996419906
K1_r00_balanced_default,epoch_0008,8,1.0,R00_balanced_default,Original balanced target sampler from base config.,,,True,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r00_balanced_default\full_eval\epoch_0008\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r00_balanced_default\epoch_0008.pt,0.7161262236833571,0.7983647554,0.4605040954,0.6918478428820769,0.79169388355,0.4700672647166667,0.6725038136045138,0.7590614128333333,0.49305298791666663,0.8132397468884787,0.8250482428,0.42225141813333333,0.38634716485383475,0.6543056120041821,0.3666328197783728,0.6351775552225166,0.34092379892145525,0.6145589330721006
K1_r01_uniform_unbalanced,epoch_0001,1,1.0,R01_uniform_unbalanced,"Uniform content and target weights, unbalanced sampler.","1,1,1,1,1","1,1,1,1,1",False,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r01_uniform_unbalanced\full_eval\epoch_0001\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r01_uniform_unbalanced\epoch_0001.pt,0.6980126713911692,0.8314255859066667,0.42905101760000003,0.6692872741818428,0.8277698860000001,0.43631446883333336,0.6458066537976265,0.7842982281666666,0.44785324441666663,0.812914260228475,0.8460483855333333,0.39999721266666666,0.39852962443309364,0.65354038024426,0.3772675526502825,0.632326664126531,0.35658004862848847,0.6130256894226239
K1_r01_uniform_unbalanced,epoch_0002,2,1.0,R01_uniform_unbalanced,"Uniform content and target weights, unbalanced sampler.","1,1,1,1,1","1,1,1,1,1",False,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r01_uniform_unbalanced\full_eval\epoch_0002\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r01_uniform_unbalanced\epoch_0002.pt,0.7032122289339702,0.8264034884,0.43505020872000005,0.6752167066931725,0.82162558945,0.4428383468,0.6532963405052821,0.7801602930833332,0.45062045900000003,0.8151943178971608,0.8455150842,0.4038976564,0.39727960196178996,0.6548203757550806,0.3762048565694275,0.6338974379705621,0.35890764368377154,0.6169254606784333
