experiment_id,dataset,method,family,sub_family,batch,epoch,transfer_clip_style,transfer_lpips,allpairs_clip_style,allpairs_lpips,id_clip_style,id_lpips,delta_idt_transfer,delta_idt_full,epoch_time_s,train_wall_s,train_wall_min,infer_ms_per_img,eval_wall_s,cuda_gb,location,status,solver,tokenizer,prediction,kinetic,proximal,attention,notes
aaai2027_inmortal_k_manifold_seed42_b16/epoch_0001,distinct5-512/full,LBM,K_manifold,k manifold,16,0001,0.677943,0.334633,0.709035,0.327601,,,,,186.030692,186.030692,3.1,,,8.087999,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,manifold_adaptive,off,SemanticCrossAttn,
aaai2027_inmortal_k_manifold_seed42_b16/epoch_0002,distinct5-512/full,LBM,K_manifold,k manifold,16,0002,0.673375,0.326337,0.706199,0.318812,,,,,183.816814,369.847507,6.2,,,8.087999,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,manifold_adaptive,off,SemanticCrossAttn,
aaai2027_inmortal_k_manifold_seed42_b16/epoch_0003,distinct5-512/full,LBM,K_manifold,k manifold,16,0003,0.676985,0.331599,0.709171,0.32407,,,,,183.992953,553.84046,9.2,,,8.087999,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,manifold_adaptive,off,SemanticCrossAttn,
aaai2027_inmortal_k_manifold_seed42_b16/epoch_0004,distinct5-512/full,LBM,K_manifold,k manifold,16,0004,0.671931,0.349266,0.704285,0.341789,,,,,184.912508,738.752968,12.3,,,8.087999,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,manifold_adaptive,off,SemanticCrossAttn,
aaai2027_inmortal_k_manifold_seed42_b16/epoch_0005,distinct5-512/full,LBM,K_manifold,k manifold,16,0005,0.676727,0.360248,0.708104,0.349532,,,,,387.10149,1125.854458,18.8,,,8.084553,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,manifold_adaptive,off,SemanticCrossAttn,
aaai2027_inmortal_k_manifold_seed42_b16/epoch_0006,distinct5-512/full,LBM,K_manifold,k manifold,16,0006,0.678892,0.334944,0.710632,0.326083,,,,,264.289457,1390.143915,23.2,,,8.041477,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,manifold_adaptive,off,SemanticCrossAttn,
aaai2027_inmortal_k_manifold_seed42_b16/epoch_0007,distinct5-512/full,LBM,K_manifold,k manifold,16,0007,0.677624,0.337337,0.709584,0.328074,,,,,296.863189,1687.007104,28.1,,,8.041477,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,manifold_adaptive,off,SemanticCrossAttn,
aaai2027_inmortal_k_manifold_seed42_b16/epoch_0008,distinct5-512/full,LBM,K_manifold,k manifold,16,0008,0.677757,0.349298,0.709114,0.339425,,,,,258.022615,1945.029719,32.4,,,8.041477,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,manifold_adaptive,off,SemanticCrossAttn,
aaai2027_inmortal_k_spatial_seed42_b16/epoch_0001,distinct5-512/full,LBM,K_spatial,k spatial,16,0001,0.678213,0.342516,0.709667,0.3344,,,,,187.600927,187.600927,3.1,,,8.087511,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,spatial_lap,off,SemanticCrossAttn,
aaai2027_inmortal_k_spatial_seed42_b16/epoch_0002,distinct5-512/full,LBM,K_spatial,k spatial,16,0002,0.674225,0.324843,0.706681,0.31788,,,,,184.041839,371.642766,6.2,,,8.087511,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,spatial_lap,off,SemanticCrossAttn,
aaai2027_inmortal_k_spatial_seed42_b16/epoch_0003,distinct5-512/full,LBM,K_spatial,k spatial,16,0003,0.675834,0.343355,0.707539,0.336441,,,,,184.203039,555.845805,9.3,,,8.087511,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,spatial_lap,off,SemanticCrossAttn,
aaai2027_inmortal_k_spatial_seed42_b16/epoch_0004,distinct5-512/full,LBM,K_spatial,k spatial,16,0004,0.669376,0.34848,0.701582,0.342299,,,,,184.16384,740.009645,12.3,,,8.087511,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,spatial_lap,off,SemanticCrossAttn,
aaai2027_inmortal_k_spatial_seed42_b16/epoch_0005,distinct5-512/full,LBM,K_spatial,k spatial,16,0005,0.675966,0.369134,0.706088,0.359561,,,,,183.664233,923.673878,15.4,,,8.084065,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,spatial_lap,off,SemanticCrossAttn,
aaai2027_inmortal_k_spatial_seed42_b16/epoch_0006,distinct5-512/full,LBM,K_spatial,k spatial,16,0006,0.678654,0.350464,0.709439,0.341618,,,,,183.465892,1107.13977,18.5,,,8.040988,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,spatial_lap,off,SemanticCrossAttn,
aaai2027_inmortal_k_spatial_seed42_b16/epoch_0007,distinct5-512/full,LBM,K_spatial,k spatial,16,0007,0.677315,0.346872,0.708267,0.33853,,,,,184.27377,1291.41354,21.5,,,8.040988,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,spatial_lap,off,SemanticCrossAttn,
aaai2027_inmortal_k_spatial_seed42_b16/epoch_0008,distinct5-512/full,LBM,K_spatial,k spatial,16,0008,0.678124,0.364165,0.708014,0.355048,,,,,184.35659,1475.770129,24.6,,,8.040988,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,spatial_lap,off,SemanticCrossAttn,
aaai2027_inmortal_k_spectral_seed42_b12/epoch_0001,distinct5-512/full,LBM,K_spectral_b12,k spectral b12,12,0001,0.677631,0.33732,0.709449,0.32783,,,,,225.804667,225.804667,3.8,,,6.091612,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,spectral_orthogonal,off,SemanticCrossAttn,
aaai2027_inmortal_k_spectral_seed42_b12/epoch_0002,distinct5-512/full,LBM,K_spectral_b12,k spectral b12,12,0002,0.678779,0.363693,0.710138,0.352158,,,,,199.891317,425.695984,7.1,,,6.08917,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,spectral_orthogonal,off,SemanticCrossAttn,
aaai2027_inmortal_k_spectral_seed42_b12/epoch_0003,distinct5-512/full,LBM,K_spectral_b12,k spectral b12,12,0003,0.677551,0.35834,0.708653,0.348221,,,,,,,,,,,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,spectral_orthogonal,off,SemanticCrossAttn,
aaai2027_inmortal_k_spectral_seed42_b12/epoch_0004,distinct5-512/full,LBM,K_spectral_b12,k spectral b12,12,0004,0.67396,0.341721,0.706208,0.333426,,,,,,,,,,,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,spectral_orthogonal,off,SemanticCrossAttn,
aaai2027_inmortal_k_spectral_seed42_b12/epoch_0005,distinct5-512/full,LBM,K_spectral_b12,k spectral b12,12,0005,0.678279,0.330843,0.709796,0.323327,,,,,,,,,,,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,spectral_orthogonal,off,SemanticCrossAttn,
aaai2027_inmortal_k_spectral_seed42_b12/epoch_0006,distinct5-512/full,LBM,K_spectral_b12,k spectral b12,12,0006,0.677299,0.322865,0.709053,0.315566,,,,,,,,,,,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,spectral_orthogonal,off,SemanticCrossAttn,
aaai2027_inmortal_xpred_bary_seed42_b16/epoch_0001,distinct5-512/full,LBM,XPred_Barycenter,xpred barycenter,16,0001,0.699748,0.748469,0.701053,0.744721,,,,,111.001864,111.001864,1.9,,,2.901277,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,off,off,SemanticCrossAttn,
aaai2027_inmortal_xpred_bary_seed42_b16/epoch_0002,distinct5-512/full,LBM,XPred_Barycenter,xpred barycenter,16,0002,0.710779,0.725787,0.712318,0.720701,,,,,108.167579,219.169443,3.7,,,2.901277,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,off,off,SemanticCrossAttn,
