experiment_id,eval_dir,latest_eval_epoch,train_dir,eval_root,ablation_name,axis,notes,num_epochs,save_interval,batch_size,learning_rate,semantic_attn_temperature,terminal_swd_weight,w_kinetic,w_cycle,w_repulsive,w_low_freq,low_freq_kernel_size,semantic_swd_num_projections,swd_use_high_freq,all_clip_style,all_clip_content,all_content_lpips,transfer_clip_style,transfer_clip_content,transfer_content_lpips,photo_to_art_clip_style,photo_to_art_clip_content,photo_to_art_content_lpips,identity_clip_style,identity_clip_content,identity_content_lpips
o10_l1,o10l1,single,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10_l1,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10l1,g0_local_sweep_swd16_k015,local_sweep,Local sweep point L1: slightly reduced full-band SWD tension with same kinetic damping as softbackoff.,10,10,32,0.0002,0.08,16.0,0.15,0.0,0.0,0.0,5,64,False,0.7121928152640661,0.7094089329200002,0.5728206513066667,0.6969902212917806,0.7034726916,0.5813664321166666,0.6902435104052226,0.6938926670000001,0.6069986778333333,0.7730031911532084,0.7331538982000001,0.5386375280666666
o10_l2,o10l2,single,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10_l2,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10l2,g0_local_sweep_swd20_k025,local_sweep,Local sweep point L2: keep softbackoff SWD tension and increase kinetic damping.,10,10,32,0.0002,0.08,20.0,0.25,0.0,0.0,0.0,5,64,False,0.7148743069966633,0.7224355612933331,0.5566599489866667,0.6984742624560991,0.7161313981,0.5655459084833333,0.6855527728796005,0.6939865382499999,0.58664351175,0.7804744851589203,0.7476522140666666,0.5211161110000001
o10_l3,o10l3,single,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10_l3,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10l3,g0_local_sweep_swd16_k025,local_sweep,Local sweep point L3: jointly ease SWD tension and increase kinetic damping.,10,10,32,0.0002,0.08,16.0,0.25,0.0,0.0,0.0,5,64,False,0.7142888608773549,0.7298830116799999,0.5433409435600001,0.6973229417204857,0.7239367406666667,0.5529436432166667,0.6928105413913728,0.7158145350833334,0.5745031076666667,0.7821525375048319,0.7536680957333333,0.5049301449333334
o10_l4,o10l4,single,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10_l4,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10l4,g0_local_sweep_swd14_k025,local_sweep,Local sweep point L4: reduce SWD tension further while keeping stronger kinetic damping.,10,10,32,0.0002,0.08,14.0,0.25,0.0,0.0,0.0,5,64,False,0.7134044717152913,0.7373203097599998,0.5388705310799999,0.6955798854430517,0.7317563581833333,0.5476621463666667,0.6897268931070963,0.7129092439166667,0.5675062392500001,0.78470281680425,0.7595761160666668,0.5037040699333333
o10_l5,o10l5,single,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10_l5,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10l5,g0_local_sweep_swd16_k030,local_sweep,Local sweep point L5: keep L3 tension and raise kinetic damping slightly.,10,10,32,0.0002,0.08,16.0,0.3,0.0,0.0,0.0,5,64,False,0.7145686383644739,0.7391433095466666,0.5350653522,0.6965926137069861,0.7329851146333334,0.5441555655666667,0.6877492288748422,0.7202165133333334,0.5645495636666668,0.7864727369944255,0.7637760892,0.49870449873333333
o10_m1,o10m1,single,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10_m1,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10m1,g0_blackdot_m1_softbalance10,blackdot_mitigation,"Reduce SWD tension, add moderate kinetic/cycle damping, and soften semantic attention.",10,10,32,0.0002,0.12,12.0,0.4,0.15,0.0,0.0,5,64,False,0.7033525527715682,0.7980351086399999,0.4649633006800001,0.6789814636607965,0.7920050756999999,0.47634265969999995,0.6612482547760009,0.7817875115833334,0.5022843871666667,0.8008369092146556,0.8221552404000001,0.4194458646
o10_m2,o10m2,single,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10_m2,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10m2,g0_blackdot_m2_damped10,blackdot_mitigation,More conservative damping sweep to suppress endpoint spikes and reduce dark artifact risk.,10,10,32,0.0002,0.12,10.0,0.45,0.2,0.0,0.0,5,64,False,0.699859430551529,0.8349774684933332,0.42859654876000003,0.6712964095671972,0.8280335778166666,0.44156349961666663,0.6499981929858526,0.8085031219166665,0.47065804324999994,0.8141115144888559,0.8627530311999999,0.37672874533333334
o10_m3,o10m3,single,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10_m3,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10m3,g0_blackdot_m3_stylekeep10,blackdot_mitigation,Keep style pressure higher while softening attention and adding only light topology damping.,10,10,32,0.0002,0.12,14.0,0.4,0.1,0.0,0.0,5,64,False,0.7103085473775863,0.7784738613333333,0.48847257566666663,0.6879547205070655,0.7718131621833333,0.49912003326666665,0.6748285373051961,0.7620298433333332,0.5158973065000001,0.7997238548596701,0.8051166579333333,0.4458827452666666
o20_d1,o20d1,single,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20_d1,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20d1,g0_damping_cycle20,damping_axes,20-epoch full-band run from L5 with light cycle damping.,20,10,32,0.0002,0.08,16.0,0.3,0.2,0.0,0.0,5,64,False,0.7134965398311616,0.7346359788666667,0.5548078040266666,0.6959513086080552,0.7287598048999999,0.56406014565,0.6840842430790266,0.7217049341666668,0.5847712051666667,0.783677464723587,0.7581406747333334,0.5177984375333334
o20_d2,o20d2,single,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20_d2,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20d2,g0_damping_repulsive20,damping_axes,20-epoch full-band run from L5 with light repulsive damping.,20,10,32,0.0002,0.08,16.0,0.3,0.0,0.2,0.0,5,64,False,0.7147357421318691,0.7254420701466665,0.5502553683333334,0.6985667718946934,0.7193594156166667,0.55941198,0.6893334865570068,0.7129939445,0.5820484331666667,0.7794116230805714,0.7497726882666667,0.5136289216666666
o20_d3,o20d3,single,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20_d3,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20d3,g0_damping_hybrid20,damping_axes,20-epoch full-band run from L5 with light cycle plus repulsive damping.,20,10,32,0.0002,0.08,16.0,0.3,0.15,0.15,0.0,5,64,False,0.7156742614110311,0.7363044179333335,0.5435364840933333,0.698373916943868,0.7301672403666666,0.5521082371666667,0.6874847213427225,0.7123606340833333,0.5713772696666667,0.7848756392796834,0.7608531282000002,0.5092494718
o20_k3_p135,o20k3p135,single,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20_k3_p135,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20k3p135,g0_kernel3_patch135_hf20,kernel_patch_tune,Smaller low-frequency kernel with tighter SWD patch bank to let global color move more freely while keeping texture local.,20,10,32,0.0002,0.08,10.0,0.3,1.5,0.0,1.0,3,64,True,0.6969951929648718,0.7854450418266665,0.4458509098,0.6740492617587248,0.78149165005,0.4496153193333334,0.6473119815190633,0.7919199222499999,0.4475824240833333,0.7887789177894592,0.8012586089333334,0.43079327166666664
o20_m2_inplace,full_eval,epoch_0020,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20_m2_inplace,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20_m2_inplace\full_eval,g0_blackdot_m2_damped20_inplace,blackdot_mitigation,20-epoch in-place full-eval confirmation run for the M2 black-dot mitigation setting.,20,10,32,0.0002,0.12,10.0,0.45,0.2,0.0,0.0,5,64,False,0.7052499622106552,0.8095409591333333,0.45028329712000004,0.6791022640963394,0.8029189137499999,0.4632232797833333,0.6587649022539457,0.7924723119166667,0.48087186041666663,0.8098407546679178,0.8360291406666667,0.3985233664666667
