run_name,clip_style,content_lpips,selection,family,train_batch,train_epochs,checkpoint_count,evaluated_count,missing_eval_count,missing_eval_epochs,selected_full_clip_style,selected_full_content_lpips,best_style_epoch,best_style_clip_style,best_style_content_lpips,final_epoch,final_clip_style,final_content_lpips,curve_csv,output_subdir_used,run_dir,note_path
aaai2027_inmortal_k_manifold_seed42_b16,0.678891909221808,0.33494376191666664,epoch_0006,K_manifold,16,8,8,8,0,,0.7106324651241301,0.32608344249866666,epoch_0006,0.678891909221808,0.33494376191666664,epoch_0008,0.6777571429808934,0.3492977732666666,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_k_manifold_seed42_b16/full_eval_fast_snapshot/clip_lpips_curve.csv,full_eval_fast_snapshot,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_k_manifold_seed42_b16,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-k-manifold.md
aaai2027_inmortal_k_spatial_seed42_b16,0.6786541855335236,0.3504637836833333,epoch_0006,K_spatial,16,8,8,8,0,,0.7094390772183736,0.3416176034453333,epoch_0006,0.6786541855335236,0.3504637836833333,epoch_0008,0.6781236319740612,0.3641648479333333,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_k_spatial_seed42_b16/full_eval_fast_snapshot/clip_lpips_curve.csv,full_eval_fast_snapshot,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_k_spatial_seed42_b16,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-k-spatial.md
aaai2027_inmortal_k_spectral_seed42_b12,0.6787789503733317,0.36369265289999997,epoch_0002,K_spectral_b12,12,8,6,6,0,,0.7101381069819133,0.35215781272,epoch_0002,0.6787789503733317,0.36369265289999997,epoch_0006,0.6772989865144095,0.3228654636666667,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_k_spectral_seed42_b12/full_eval_fast_snapshot/clip_lpips_curve.csv,full_eval_fast_snapshot,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_k_spectral_seed42_b12,
aaai2027_inmortal_xpred_bary_seed42_b16,0.7255213912328086,0.6148921626666667,epoch_0005,XPred_Barycenter,16,8,8,8,0,,0.7319036454359691,0.6074068650666666,epoch_0005,0.7255213912328086,0.6148921626666667,epoch_0008,0.7211028428872426,0.5715240897,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_bary_seed42_b16/full_eval_fast_snapshot/clip_lpips_curve.csv,full_eval_fast_snapshot,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_bary_seed42_b16,
aaai2027_inmortal_xpred_bary_seed42_b40,0.7244275605678558,0.7177498116000002,epoch_0007,XPred_Barycenter,40,8,8,8,0,,0.7270740979512531,0.7105842592933334,epoch_0006,0.7249900730450948,0.7241619654833334,epoch_0008,0.7195666846632959,0.7121357608,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_bary_seed42_b40/full_eval_fast_snapshot/clip_lpips_curve.csv,full_eval_fast_snapshot,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_bary_seed42_b40,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-barycenter.md
aaai2027_inmortal_xpred_kmanifold_pattn_aniso_seed42_b16,0.7135675243536631,0.5931096112833334,epoch_0001,XPred_Kmanifold_Pattn_Aniso,16,8,8,8,0,,0.7184169642925262,0.5878224420266667,epoch_0001,0.7135675243536631,0.5931096112833334,epoch_0008,0.6877221467097602,0.7185628360166667,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_aniso_seed42_b16/full_eval_fast_snapshot/clip_lpips_curve.csv,full_eval_fast_snapshot,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_aniso_seed42_b16,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pattn-aniso.md
aaai2027_inmortal_xpred_kmanifold_pattn_anisostokes_queue_from_pattn_seed42_b8a2,0.7102169366677601,0.46031463221666663,epoch_0013,XPred_plus_Kmanifold_plus_Pattn_then_AnisoStokesQueue,8,16,5,5,0,,0.7303320403099061,0.45594069648,epoch_0013,0.7102169366677601,0.46031463221666663,epoch_0016,0.6933723151683807,0.5953889503,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_anisostokes_queue_from_pattn_seed42_b8a2/full_eval/clip_lpips_curve.csv,full_eval,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_anisostokes_queue_from_pattn_seed42_b8a2,
aaai2027_inmortal_xpred_kmanifold_pattn_queue_seed42_b16,0.7278445690870285,0.6358575434166667,epoch_0006,XPred_plus_Kmanifold_plus_Pattn_plus_Queue,16,8,8,8,0,,0.7326863305568695,0.6270424386533333,epoch_0006,0.7278445690870285,0.6358575434166667,epoch_0008,0.7239646378159522,0.61380817225,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_queue_seed42_b16/full_eval/clip_lpips_curve.csv,full_eval,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_queue_seed42_b16,
aaai2027_inmortal_xpred_kmanifold_pattn_seed42_b16,0.7288531258702278,0.6370331159333334,epoch_0006,XPred_Kmanifold_Pattn_base,16,8,8,8,0,,0.7338316518465678,0.62782097084,epoch_0006,0.7288531258702278,0.6370331159333334,epoch_0008,0.7257040363550185,0.6120510329833333,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_seed42_b16/full_eval_fast_snapshot/clip_lpips_curve.csv,full_eval_fast_snapshot,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_seed42_b16,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pattn.md
aaai2027_inmortal_xpred_kmanifold_pattn_seed42_b16_e12_continue,0.7289178653558095,0.6210744250833334,epoch_0011,XPred_Kmanifold_Pattn_longer,16,12,4,4,0,,0.7351596157550813,0.611331816,epoch_0012,0.7295458949605624,0.6299077491499999,epoch_0012,0.7295458949605624,0.6299077491499999,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_seed42_b16_e12_continue/full_eval_fast_snapshot/clip_lpips_curve.csv,full_eval_fast_snapshot,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_seed42_b16_e12_continue,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pattn-longer.md
aaai2027_inmortal_xpred_kmanifold_pattn_stokes002_from_pattn_seed42_b16,0.730672041674455,0.6182822015833332,epoch_0013,XPred_Kmanifold_Pattn_Stokes002_finetune,16,16,5,5,0,,0.737215175628662,0.6069087232,epoch_0013,0.730672041674455,0.6182822015833332,epoch_0016,0.7201040722926457,0.6384988835833333,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_stokes002_from_pattn_seed42_b16/full_eval_fast_snapshot/clip_lpips_curve.csv,full_eval_fast_snapshot,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_stokes002_from_pattn_seed42_b16,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pattn-stokes002-from-pattn.md
aaai2027_inmortal_xpred_kmanifold_pattn_stokes003_from_pattn_seed42_b4a2,0.71517462293307,0.58763954205,epoch_0012,XPred_plus_Kmanifold_plus_Pattn_then_Stokes003_b4a2,4,16,1,1,0,,0.7231951525211335,0.5787668240133333,epoch_0012,0.71517462293307,0.58763954205,epoch_0012,0.71517462293307,0.58763954205,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_stokes003_from_pattn_seed42_b4a2/full_eval_fast_snapshot/clip_lpips_curve.csv,full_eval_fast_snapshot,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_stokes003_from_pattn_seed42_b4a2,
aaai2027_inmortal_xpred_kmanifold_pattn_stokes_from_pattn_seed42_b16,0.7274343500534693,0.6032513947166667,epoch_0013,XPred_Kmanifold_Pattn_Stokes_finetune,16,16,5,5,0,,0.7355936773618064,0.5915051698266667,epoch_0013,0.7274343500534693,0.6032513947166667,epoch_0016,0.716856732070446,0.6196111495500001,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_stokes_from_pattn_seed42_b16/full_eval_fast_snapshot/clip_lpips_curve.csv,full_eval_fast_snapshot,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_stokes_from_pattn_seed42_b16,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pattn-stokes-from-pattn.md
aaai2027_inmortal_xpred_kmanifold_pattn_stokes_seed42_b16,0.7192763841152191,0.6221591451833334,epoch_0003,XPred_Kmanifold_Pattn_Stokes_base,16,8,8,8,0,,0.7256521624724069,0.6138432296666667,epoch_0003,0.7192763841152191,0.6221591451833334,epoch_0008,0.7104923916856447,0.5606523192,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_stokes_seed42_b16/full_eval_fast_snapshot/clip_lpips_curve.csv,full_eval_fast_snapshot,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_stokes_seed42_b16,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pattn-stokes.md
aaai2027_inmortal_xpred_kmanifold_pattn_stokes_seed42_b16_e12_continue,0.7111518693963687,0.5653205801999999,epoch_0009,XPred_Kmanifold_Pattn_Stokes_longer,16,12,4,4,0,,0.7218620393276215,0.5553514326266666,epoch_0012,0.7139981994032859,0.5695970103166667,epoch_0012,0.7139981994032859,0.5695970103166667,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_stokes_seed42_b16_e12_continue/full_eval_fast_snapshot/clip_lpips_curve.csv,full_eval_fast_snapshot,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_stokes_seed42_b16_e12_continue,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pattn-stokes-longer.md
aaai2027_inmortal_xpred_kmanifold_phighpass_seed42_b32,0.6657207583387692,0.7877514536166667,epoch_0006,XPred_Kmanifold_Phighpass,32,8,8,8,0,,0.6657259664535522,0.7829053158799999,epoch_0006,0.6657207583387692,0.7877514536166667,epoch_0008,0.6644489860037962,0.7879400234833334,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_phighpass_seed42_b32/full_eval_fast_snapshot/clip_lpips_curve.csv,full_eval_fast_snapshot,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_phighpass_seed42_b32,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-phighpass.md
