experiment,transfer_clip_style,transfer_content_lpips,full_clip_style,full_content_lpips,selection,train_batch,train_epochs,status,family,reading,evidence_path
inmortal_k_spatial_seed42_b16,0.6614539421101412,0.35037601128333334,0.6923959741195043,0.34151635038666667,epoch_0006,16,8,completed,K_spatial,"Negative-to-neutral kinetic-only packet. Stable, but did not lift the style ceiling.",SchrodingerBridge/docs/experiments/2026-06-07-inmortal-k-spatial.md
inmortal_k_manifold_seed42_b16,0.6628769354025523,0.33486976105,0.6948679809570312,0.32601493308,epoch_0006,16,8,completed,K_manifold,"Slightly stronger content-preserving kinetic packet. Better than K_spatial, but still not a style-ceiling solution by itself.",SchrodingerBridge/docs/experiments/2026-06-07-inmortal-k-manifold.md
inmortal_xpred_bary_seed42_b40,0.7161263772845268,0.7175771549333334,0.7186682052612305,0.7104419553733333,epoch_0007,40,8,completed,XPred_Barycenter,"Strong style-ceiling packet. Reaches near-target style, but content damage remains catastrophic.",SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-barycenter.md
inmortal_xpred_kmanifold_seed42_b32,0.7259045845270157,0.6863445074166666,0.7284026646614075,0.6789783859999998,epoch_0007,32,8,completed,XPred_Kmanifold,"Snapshot-matched repaired x-pred packet. Clearly stronger than XPred_Barycenter on both style and LPIPS, but still far from the LPIPS target band.",SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold.md
inmortal_xpred_phighpass_seed42_b28,0.6802587313453358,0.7747667141333333,0.6804589060942332,0.7702966324399999,epoch_0006,28,8,completed,XPred_Phighpass,"Snapshot-matched proximal-only repair attempt. Clean negative result: weaker than XPred_Barycenter and much weaker than XPred_Kmanifold on both style and LPIPS.",SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-phighpass.md
inmortal_xpred_kmanifold_phighpass_seed42_b32,0.6657207583387692,0.7877514536166667,0.6657259664535522,0.7829053158799999,epoch_0006,32,8,completed,XPred_Kmanifold_Phighpass,"Snapshot-matched combo repair attempt. Strong negative result: adding the current high-pass residual branch on top of Kmanifold degrades both style and LPIPS.",SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-phighpass.md
inmortal_xpred_kmanifold_pmod_seed42_b32,0.7153414665659269,0.7305125110666666,0.7161307516098023,0.7244021004666666,epoch_0007,32,8,completed,XPred_Kmanifold_Pmod,"Snapshot-matched modulation repair attempt. Better than the high-pass residual family, but still worse than XPred_Kmanifold on both style and LPIPS.",SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pmod.md
inmortal_xpred_kmanifold_pattn_seed42_b16,0.7288531258702278,0.6370331159333334,0.7338316518465678,0.62782097084,epoch_0006,16,8,completed,XPred_Kmanifold_Pattn_base,"First promoted cross-attention proximal frontier. Beats XPred_Kmanifold on both style and LPIPS.",SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pattn.md
inmortal_xpred_kmanifold_pattn_seed42_b16_e12_continue,0.7289178653558095,0.6210744250833334,0.7351596157550813,0.611331816,epoch_0011,16,12,completed,XPred_Kmanifold_Pattn_longer,"Longer-training continuation of the promoted Pattn family. Keeps style flat and further improves LPIPS.",SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pattn-longer.md
inmortal_xpred_kmanifold_pattn_stokes_from_pattn_seed42_b16,0.7274343500534693,0.6032513947166667,0.7355936773618064,0.5915051698266667,epoch_0013,16,16,completed,XPred_Kmanifold_Pattn_Stokes_finetune,"Late weak-Stokes fine-tune from the promoted Pattn continuation. Keeps style within the promoted band while improving LPIPS enough to become the new selected frontier.",SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pattn-stokes-from-pattn.md
inmortal_xpred_kmanifold_pattn_stokes002_from_pattn_seed42_b16,0.7306720416744552,0.6182822015833332,0.7372151756286620,0.6069087232000000,epoch_0013,16,16,completed,XPred_Kmanifold_Pattn_Stokes002_finetune,"Late weaker-Stokes fine-tune from the promoted Pattn continuation. Raises the raw style frontier above the 0.05 packet, but gives back part of its LPIPS gain.",SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pattn-stokes002-from-pattn.md
inmortal_xpred_kmanifold_pattn_aniso_seed42_b16,0.7135675243536631,0.5931096112833334,0.7184169642925262,0.5878224420266667,epoch_0001,16,8,completed,XPred_Kmanifold_Pattn_Aniso,"Lower-LPIPS early tradeoff, but not a promoted frontier because style drops too far and later epochs degrade.",SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pattn-aniso.md
inmortal_xpred_kmanifold_pattn_stokes_seed42_b16,0.7192763841152191,0.6221591451833334,0.7256521624724069,0.6138432296666667,epoch_0003,16,8,completed,XPred_Kmanifold_Pattn_Stokes_base,"Cleaner LPIPS-oriented tradeoff than Aniso, but still not a promoted frontier over the Pattn continuation.",SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pattn-stokes.md
inmortal_xpred_kmanifold_pattn_stokes_seed42_b16_e12_continue,0.7111518693963687,0.5653205801999999,0.7218620393276215,0.5553514326266666,epoch_0009,16,12,completed,XPred_Kmanifold_Pattn_Stokes_longer,"Longer-training continuation of the Stokes tradeoff family. Keeps pushing LPIPS down, but style drops enough that it remains an alternative tradeoff rather than the promoted frontier.",SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pattn-stokes-longer.md
