dataset,method,label,run,step,scope,count,ref_count,clip_style,summary_content_lpips,aggregate_art_fid,aggregate_art_fid_fid,aggregate_art_fid_content_lpips,elapsed_sec,summary_path
distinct5_512,No-op,unchanged,No-op,0,full,750,150,0.6801226128737131,0.0,1.0012583908589932,0.0012583908589931525,0.0,63.172,I:\Github\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\no_op_identity_5x5\summary.json
distinct5_512,No-op,unchanged,No-op,0,transfer,600,150,0.6399208252628644,0.0,1.0010985648530095,0.0010985648530095204,0.0,52.634,I:\Github\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\no_op_identity_5x5\summary.json
distinct5_512,SaMAM,best style,SaMAM-2000,2000,full,750,150,0.5833460243542989,0.36215300556023916,152.2123439756121,118.74986367096437,0.2710857391357422,54.817,I:\Github\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag\eval_curve\step_002000\summary.json
distinct5_512,SaMAM,best style,SaMAM-2000,2000,transfer,600,150,0.5545786788066228,0.3691024965047836,154.25894735281716,119.85407723584393,0.2764066457748413,46.282,I:\Github\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag\eval_curve\step_002000\summary.json
distinct5_512,SaMAM,best LPIPS,SaMAM-2250,2250,full,750,150,0.5810966821114222,0.35382040921847024,146.07096815798894,114.06197350041356,0.26949819922447205,55.001,I:\Github\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag\eval_curve\step_002250\summary.json
distinct5_512,SaMAM,best LPIPS,SaMAM-2250,2250,transfer,600,150,0.5522515382866064,0.3604523678372304,148.20585228085082,115.22282856112793,0.27518710494041443,47.32,I:\Github\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag\eval_curve\step_002250\summary.json
distinct5_512,LANCET,best LPIPS,LANCET-F-e1,1,full,750,150,0.696914507508278,0.31864464036,122.63254700962189,92.61727192582305,0.309935063123703,40.472,I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_f_annealed_prototype_ot_queue_e3_b44_remote\full_eval\epoch_0001\summary.json
distinct5_512,LANCET,best LPIPS,LANCET-F-e1,1,transfer,600,150,0.6643604030708471,0.3245282069166667,126.8257137813018,95.07419973534797,0.32008087635040283,35.519,I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_f_annealed_prototype_ot_queue_e3_b44_remote\full_eval\epoch_0001\summary.json
distinct5_512,LANCET,best style,LANCET-K-e1,1,full,750,150,0.7009949656327565,0.36229389774666665,157.1687499147529,112.52361103288379,0.3844586908817291,40.72,I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote\full_eval\epoch_0001\summary.json
distinct5_512,LANCET,best style,LANCET-K-e1,1,transfer,600,150,0.6711669415235519,0.3722808781833334,161.95765747448172,114.79748097321135,0.39862850308418274,35.709,I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote\full_eval\epoch_0001\summary.json
