scope,family,label,step_or_epoch,clip_style,content_lpips,one_minus_lpips,train_min,note
full,SaMAM,SaMAM 250,250,0.5479905153512955,0.60062504418691,0.39937495581309,53.18766666666667,"cumulative train wall, eval excluded"
full,SaMAM,SaMAM 500,500,0.5629966173171997,0.5424447286427021,0.4575552713572979,104.75783333333334,"cumulative train wall, eval excluded"
full,SaMAM,SaMAM 750,750,0.5657316401004792,0.5359654448231062,0.46403455517689385,157.88383333333334,"cumulative train wall, eval excluded"
full,SaMAM,SaMAM 1000,1000,0.5659095385869344,0.460542116244634,0.5394578837553661,208.7205,"cumulative train wall, eval excluded"
full,SaMAM,SaMAM 1250,1250,0.5780386782089869,0.4429448606769244,0.5570551393230756,259.0808333333333,"cumulative train wall, eval excluded"
full,SaMAM,SaMAM 1500,1500,0.5805252346197765,0.4128264354666074,0.5871735645333926,309.50316666666663,"cumulative train wall, eval excluded"
full,SaMAM,SaMAM 1750,1750,0.5776164135138194,0.37724381402134893,0.622756185978651,360.305,"cumulative train wall, eval excluded"
full,SaMAM,SaMAM 2000,2000,0.5833460243542989,0.36215300556023916,0.6378469944397609,409.5826666666666,"cumulative train wall, eval excluded"
full,SaMAM,SaMAM 2250,2250,0.5810966821114222,0.35382040921847024,0.6461795907815298,458.55033333333336,"cumulative train wall, eval excluded; 2250 segment train wall 2938.06s"
full,Reference,No-op 5x5,0,0.6801226128737131,0.0,1.0,0.0,unchanged source image copied to every target; transfer-only clip_style=0.6399208252628644
full,LANCET,Baseline e1,1,0.6869580874443055,0.44675554204,0.55324445796,1.1794177412986755,baseline fast point
full,LANCET,Baseline e8,8,0.687648866891861,0.45274286515999995,0.54725713484,8.437051471074422,baseline best style
full,LANCET,C e2,2,0.6906585683425267,0.4225928860933334,0.5774071139066665,2.2611765027046205,content-guided spatial
full,LANCET,D e1,1,0.6897613146305084,0.41559896694666665,0.5844010330533334,1.2016290187835694,VQ + spatial
full,LANCET,E e1,1,0.697346945643425,0.3581669207866666,0.6418330792133333,1.1972770055135091,prototype queue style point
full,LANCET,E e3,3,0.6934616965850193,0.33308632712,0.66691367288,3.2897186716397604,prototype queue LPIPS point
full,LANCET,F e1,1,0.696914507508278,0.31864464036,0.6813553596399999,1.2161138296127318,current LPIPS best
full,LANCET,H e1,1,0.6973625582059225,0.32133288292,0.67866711708,1.2206843336423239,balanced LPIPS point
full,LANCET,H e2,2,0.6993825696706771,0.34840661536,0.6515933846399999,2.2656476815541584,balanced style point
full,LANCET,J e1,1,0.6976529497305551,0.33227413865333333,0.6677258613466667,1.2228810032208761,aux hard SWD
full,LANCET,K e1,1,0.7009949656327565,0.36229389774666665,0.6377061022533334,1.207699982325236,current style best
full,LANCET,L e1,1,0.6977771087487539,0.3397095243333333,0.6602904756666668,1.217203680674235,K router + F schedule
full,LANCET,M e1,1,0.6987261127630869,0.34654294562666665,0.6534570543733333,1.2214229702949524,style-gated router
transfer,LANCET,Baseline e1,1,0.6582108319799105,0.45806865981666667,0.5419313401833333,1.1794177412986755,transfer-only from summary.analysis.style_transfer_ability
transfer,LANCET,Baseline e8,8,0.6602280591924985,0.46489553474999995,0.5351044652500001,8.437051471074422,transfer-only from summary.analysis.style_transfer_ability
transfer,LANCET,C e2,2,0.6602633555233479,0.43231252926666663,0.5676874707333334,2.2611765027046205,transfer-only from summary.analysis.style_transfer_ability
transfer,LANCET,D e1,1,0.6606688737869263,0.4229966518000001,0.5770033481999999,1.2016290187835694,transfer-only from summary.analysis.style_transfer_ability
transfer,LANCET,E e1,1,0.6662675188481808,0.36658445386666666,0.6334155461333333,1.1972770055135091,transfer-only from summary.analysis.style_transfer_ability
transfer,LANCET,E e3,3,0.6624443233509858,0.34031151425,0.65968848575,3.2897186716397604,transfer-only from summary.analysis.style_transfer_ability
transfer,LANCET,F e1,1,0.6643604030708471,0.3245282069166667,0.6754717930833334,1.2161138296127318,transfer-only from summary.analysis.style_transfer_ability
transfer,LANCET,H e1,1,0.6652551526824633,0.32810514738333335,0.6718948526166666,1.2206843336423239,transfer-only from summary.analysis.style_transfer_ability
transfer,LANCET,H e2,2,0.6683948844174543,0.3561050486333333,0.6438949513666667,2.2656476815541584,transfer-only from summary.analysis.style_transfer_ability
transfer,LANCET,J e1,1,0.6653021774689355,0.33844542850000003,0.6615545715,1.2228810032208761,transfer-only from summary.analysis.style_transfer_ability
transfer,LANCET,K e1,1,0.6711669415235519,0.3722808781833334,0.6277191218166667,1.207699982325236,transfer-only from summary.analysis.style_transfer_ability
transfer,LANCET,L e1,1,0.6664959508180618,0.3486098664333333,0.6513901335666668,1.217203680674235,transfer-only from summary.analysis.style_transfer_ability
transfer,LANCET,M e1,1,0.666890822649002,0.3553380283,0.6446619717,1.2214229702949524,transfer-only from summary.analysis.style_transfer_ability
transfer,SaMAM,SaMAM 250,250,0.5384821421901385,0.6031061978948197,0.3968938021051803,53.18766666666667,transfer-only from per-image metrics.csv
