kind,dir,path,linked_train_dir,linked_eval_dir,suite,ablation_name,axis,notes,epochs,batch_size,learning_rate,terminal_swd_weight,w_kinetic,w_cycle,w_repulsive,w_low_freq,swd_use_high_freq,checkpoint_count,latest_checkpoint,checkpoint,style_transfer_clip_style,style_transfer_clip_content,style_transfer_lpips,photo_to_art_clip_style,photo_to_art_clip_content,photo_to_art_lpips,debug_loss,debug_terminal_swd,debug_kinetic,debug_dec_out_grad_swd,debug_attn_top1,debug_attn_entropy_norm,debug_darkest_sample,debug_darkest_ratio
train,o10_l1,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10_l1,o10_l1,,,g0_local_sweep_swd16_k015,local_sweep,Local sweep point L1: slightly reduced full-band SWD tension with same kinetic damping as softbackoff.,10,32,0.0002,16.0,0.15,0.0,0.0,0.0,False,1,epoch_0010.pt,,,,,,,,,,,,,,,
train,o10_l2,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10_l2,o10_l2,,,g0_local_sweep_swd20_k025,local_sweep,Local sweep point L2: keep softbackoff SWD tension and increase kinetic damping.,10,32,0.0002,20.0,0.25,0.0,0.0,0.0,False,1,epoch_0010.pt,,,,,,,,,,,,,,,
train,o10_l3,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10_l3,o10_l3,,,g0_local_sweep_swd16_k025,local_sweep,Local sweep point L3: jointly ease SWD tension and increase kinetic damping.,10,32,0.0002,16.0,0.25,0.0,0.0,0.0,False,1,epoch_0010.pt,,,,,,,,,,,,,,,
train,o10_l4,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10_l4,o10_l4,,,g0_local_sweep_swd14_k025,local_sweep,Local sweep point L4: reduce SWD tension further while keeping stronger kinetic damping.,10,32,0.0002,14.0,0.25,0.0,0.0,0.0,False,1,epoch_0010.pt,,,,,,,,,,,,,,,
train,o10_l5,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10_l5,o10_l5,,,g0_local_sweep_swd16_k030,local_sweep,Local sweep point L5: keep L3 tension and raise kinetic damping slightly.,10,32,0.0002,16.0,0.3,0.0,0.0,0.0,False,1,epoch_0010.pt,,,,,,,,,,,,,,,
train,o10_m1,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10_m1,o10_m1,,,g0_blackdot_m1_softbalance10,blackdot_mitigation,"Reduce SWD tension, add moderate kinetic/cycle damping, and soften semantic attention.",10,32,0.0002,12.0,0.4,0.15,0.0,0.0,False,1,epoch_0010.pt,,,,,,,,,,,,,,,
train,o10_m2,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10_m2,o10_m2,,,g0_blackdot_m2_damped10,blackdot_mitigation,More conservative damping sweep to suppress endpoint spikes and reduce dark artifact risk.,10,32,0.0002,10.0,0.45,0.2,0.0,0.0,False,1,epoch_0010.pt,,,,,,,,,,,,,,,
train,o10_m3,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10_m3,o10_m3,,,g0_blackdot_m3_stylekeep10,blackdot_mitigation,Keep style pressure higher while softening attention and adding only light topology damping.,10,32,0.0002,14.0,0.4,0.1,0.0,0.0,False,1,epoch_0010.pt,,,,,,,,,,,,,,,
train,o10_off,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10_off,o10_off,,,g0_off_manifold_explosion10,destructive_fullband,10-epoch off-manifold validation with full-band semantic SWD and minimal kinetic damping.,10,32,0.0002,50.0,0.05,0.0,0.0,0.0,False,1,epoch_0010.pt,,,,,,,,,,,,,,,
train,o10_probe_base,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10_probe_base,o10_probe_base,,,g0_probe_fullband_stable10,numeric_probe,Full-band SWD control under finite-value guards.,10,32,0.0002,16.0,0.3,0.0,0.0,0.0,False,1,epoch_0010.pt,,,,,,,,,,,,,,,
train,o10_probe_cycle,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10_probe_cycle,o10_probe_cycle,,,g0_probe_cycle10,numeric_probe,Probe cycle-loss stability under finite-value guards.,10,32,0.0002,16.0,0.3,0.2,0.0,0.0,False,1,epoch_0010.pt,,,,,,,,,,,,,,,
train,o10_probe_nce,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10_probe_nce,o10_probe_nce,,,g0_probe_nce10,numeric_probe,Probe PatchNCE stability under finite-value guards.,10,32,0.0002,16.0,0.3,0.0,0.0,0.0,False,1,epoch_0010.pt,,,,,,,,,,,,,,,
train,o10_probe_repulsive,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10_probe_repulsive,o10_probe_repulsive,,,g0_probe_repulsive10,numeric_probe,Probe repulsive-loss stability under finite-value guards.,10,32,0.0002,16.0,0.3,0.0,0.2,0.0,False,1,epoch_0010.pt,,,,,,,,,,,,,,,
train,o10_soft,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10_soft,o10_soft,,,g0_off_manifold_softbackoff10,destructive_fullband_softbackoff,10-epoch softer full-band SWD validation with reduced tension and slightly stronger kinetic damping.,10,32,0.0002,20.0,0.15,0.0,0.0,0.0,False,1,epoch_0010.pt,,,,,,,,,,,,,,,
eval,o10e,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10e,o10_off,o10e,,,,,,,,,,,,,,,,o10_off\epoch_0010.pt,0.698244248429934,0.6784242064333333,0.6268637182333334,0.6920842091242472,0.6663329203333335,0.6645769585000001,,,,,,,,
eval,o10l1,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10l1,o10_l1,o10l1,,,,,,,,,,,,,,,,o10_l1\epoch_0010.pt,0.6969902212917806,0.7034726916,0.5813664321166666,0.6902435104052226,0.6938926670000001,0.6069986778333333,,,,,,,,
eval,o10l2,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10l2,o10_l2,o10l2,,,,,,,,,,,,,,,,o10_l2\epoch_0010.pt,0.6984742624560991,0.7161313981,0.5655459084833333,0.6855527728796005,0.6939865382499999,0.58664351175,,,,,,,,
eval,o10l3,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10l3,o10_l3,o10l3,,,,,,,,,,,,,,,,o10_l3\epoch_0010.pt,0.6973229417204857,0.7239367406666667,0.5529436432166667,0.6928105413913728,0.7158145350833334,0.5745031076666667,,,,,,,,
eval,o10l4,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10l4,o10_l4,o10l4,,,,,,,,,,,,,,,,o10_l4\epoch_0010.pt,0.6955798854430517,0.7317563581833333,0.5476621463666667,0.6897268931070963,0.7129092439166667,0.5675062392500001,,,,,,,,
eval,o10l5,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10l5,o10_l5,o10l5,,,,,,,,,,,,,,,,o10_l5\epoch_0010.pt,0.6965926137069861,0.7329851146333334,0.5441555655666667,0.6877492288748422,0.7202165133333334,0.5645495636666668,,,,,,,,
eval,o10m1,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10m1,G:\,o10m1,,,,,,,,,,,,,,,,G:\GitHub\Latent_Style\SchrodingerBridge\o10_m1\epoch_0010.pt,0.6789814636607965,0.7920050756999999,0.47634265969999995,0.6612482547760009,0.7817875115833334,0.5022843871666667,,,,,,,,
eval,o10m2,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10m2,G:\,o10m2,,,,,,,,,,,,,,,,G:\GitHub\Latent_Style\SchrodingerBridge\o10_m2\epoch_0010.pt,0.6712964095671972,0.8280335778166666,0.44156349961666663,0.6499981929858526,0.8085031219166665,0.47065804324999994,,,,,,,,
eval,o10m3,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10m3,G:\,o10m3,,,,,,,,,,,,,,,,G:\GitHub\Latent_Style\SchrodingerBridge\o10_m3\epoch_0010.pt,0.6879547205070655,0.7718131621833333,0.49912003326666665,0.6748285373051961,0.7620298433333332,0.5158973065000001,,,,,,,,
eval,o10pb,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10pb,o10_probe_base,o10pb,,,,,,,,,,,,,,,,o10_probe_base\epoch_0010.pt,0.6936799791455269,0.7280047033333333,0.5475585311666668,0.6871786539753277,0.7238982375,0.5666278160833333,,,,,,,,
eval,o10pc,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10pc,o10_probe_cycle,o10pc,,,,,,,,,,,,,,,,o10_probe_cycle\epoch_0010.pt,0.6934330128133296,0.7360165034166667,0.5446543363833334,0.680418496330579,0.7288734807500001,0.56087671725,,,,,,,,
eval,o10pn,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10pn,o10_probe_nce,o10pn,,,,,,,,,,,,,,,,o10_probe_nce\epoch_0010.pt,0.6737173957626024,0.8286765102666667,0.4338810994999999,0.65396718531847,0.8129284266666668,0.45752568508333336,,,,,,,,
eval,o10pr,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10pr,o10_probe_repulsive,o10pr,,,,,,,,,,,,,,,,o10_probe_repulsive\epoch_0010.pt,0.695133096675078,0.7252040116166667,0.5501593594,0.68674658536911,0.7183445500833333,0.5731103925833333,,,,,,,,
eval,o10s,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o10s,o10_soft,o10s,,,,,,,,,,,,,,,,o10_soft\epoch_0010.pt,0.6947214339176814,0.6973150811666666,0.5974338476666666,0.693528646727403,0.6828007806666666,0.6316027617500001,,,,,,,,
train,o20_adain_val,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20_adain_val,o20_adain_val,,,g0_universe_center_adain20,center,20-epoch AdaIN color-anchored OMF validation from G0 center point.,20,32,0.0002,1,1.5,1,0.0,1,True,2,epoch_0020.pt,,,,,,,,,,,,,,,
train,o20_cycle_adain_hf,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20_cycle_adain_hf,o20_cycle_adain_hf,,,g0_cycle_adain_hf20,cycle_adain_highfreq,"Guarded run with AdaIN low-frequency anchor, stronger cycle lock, and high-frequency semantic SWD only.",20,32,0.0002,8.0,0.3,2.0,0.0,1.0,True,2,epoch_0020.pt,,,,,,,,,,,,,,,
train,o20_d1,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20_d1,o20_d1,,,g0_damping_cycle20,damping_axes,20-epoch full-band run from L5 with light cycle damping.,20,32,0.0002,16.0,0.3,0.2,0.0,0.0,False,2,epoch_0020.pt,,,,,,,,,,,,,,,
