epoch,checkpoint,clip_s,lpips,dino_s,dino_c,eval_subdir,config_override
1,epoch_0001.pt,0.7117060705820718,0.241086248396,0.4856098781178395,0.8229832212477922,paper_eval,inference.json
2,epoch_0002.pt,0.7159682269891102,0.2629711421786667,0.48876302227377894,0.7978393159757058,paper_eval,inference.json
3,epoch_0003.pt,0.7174732648531597,0.2648091192013333,0.49119029874602954,0.7853187723085284,paper_eval,inference.json
4,epoch_0004.pt,0.7125622595945995,0.25959712125333334,0.4915434669330716,0.8103006359140078,paper_eval,inference.json
5,epoch_0005.pt,0.7104000239769619,0.267677569332,0.4883091550556322,0.818260133077701,paper_eval,inference.json
6,epoch_0006.pt,0.7101036606629689,0.25631495195333337,0.4878151174026231,0.8214817879001299,paper_eval,inference.json
7,epoch_0007.pt,0.710515148282051,0.2675120904106667,0.48658136230086285,0.8204016307791074,paper_eval,inference.json
8,epoch_0008.pt,0.7078746223449707,0.26135398899600004,0.4860008200059334,0.8236207608183225,paper_eval,inference.json
9,epoch_0009.pt,0.707637712399165,0.254658400844,0.4851325116852919,0.8225461308062076,paper_eval,inference.json
10,epoch_0010.pt,0.7061421763102212,0.25153222193333336,0.48455814252297086,0.8261679653823376,paper_eval,inference.json
11,epoch_0011.pt,0.7071882788737615,0.26237384101466665,0.4840351660102606,0.8258520795504252,paper_eval,inference.json
12,epoch_0012.pt,0.7065385569334031,0.26065186629866666,0.4843738828276595,0.825930446823438,paper_eval,inference.json
13,epoch_0013.pt,0.7068495735724768,0.26373944534800003,0.48452786044900614,0.8260880063275496,paper_eval,inference.json
14,epoch_0014.pt,0.7065090012550354,0.26342476443066665,0.4844598955015341,0.8261468922495842,paper_eval,inference.json
15,epoch_0015.pt,0.7064999394019444,0.26119107650266665,0.4841538287214935,0.8254374358654022,paper_eval,inference.json
