period,method,dataset_or_setting,dataset_key,resolution,variant_or_run,scope,images,clip_style,content_lpips,clip_content,ssim_y,edge_f1,musiq,hf_patch_kid,plain_kid,aggregate_art_fid,train_time_value,train_time_unit,train_time_label,infer_time_value,infer_time_unit,infer_time_label,params_m,hardware,status,source_path,source_kind,note
2026-06-02,LBM,legacy256_overfit50,legacy256_overfit50,256,historical_clean_tradeoff,full,,0.7161,0.4514,,,,,,,,310,s,310s to reported point,,,,3.91,RTX 4070 Laptop,completed,SchrodingerBridge/S-add__K-1_C-0_W-20_Col-0/full_eval/epoch_0008/summary.json,aaai2027_master_experiment_log,Main historical paper point; cost tracked separately in training_times_documentation.md
2026-06-02,SaMST,legacy256_overfit50,legacy256_overfit50,256,strict_reference,full,,0.7194,0.4664,,,,,,,,6769,s,6769s estimated to reported point,,,,6,RTX 4070 Laptop,completed,SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_historical_merged.csv,aaai2027_master_experiment_log,Closest efficient historical baseline
2026-06-02,idt,distinct5_512,distinct5_512,512,no_op,full,,0.6801,0.0000,,,,,,,216.5,0,,0,,,,,remote RTX 3060 / eval bundle,completed,SchrodingerBridge/docs/experiments/metric_hacking_noop_20260602/README.md,aaai2027_master_experiment_log,Anchor for no-op adjusted style gain
2026-06-02,LBM,distinct5_512,distinct5_512,512,F_best_lpips,full,,0.6969,0.3186,,,,,,,122.6,1.2,m,1.2m,,,,3.91,remote RTX 3060,completed,SchrodingerBridge/docs/experiments/distinct5_512_20260602/,aaai2027_master_experiment_log,Current best LPIPS content-preserving point
2026-06-02,LBM,distinct5_512,distinct5_512,512,H_balanced,full,,0.6994,0.3213,,,,,,,,2.3,m,2.3m,,,,3.91,remote RTX 3060,completed,SchrodingerBridge/docs/experiments/2026-06-02-distinct5-512-lancet-representation-summary.zh.md,aaai2027_master_experiment_log,Balanced style/content reference
2026-06-02,LBM,distinct5_512,distinct5_512,512,K_best_style,full,,0.7010,0.3623,,,,,,,157.2,1.2,m,1.2m,,,,3.91,remote RTX 3060,completed,SchrodingerBridge/docs/experiments/distinct5_512_20260602/,aaai2027_master_experiment_log,"Current best style point, weaker LPIPS"
2026-06-02,SaMAM,distinct5_512,distinct5_512,512,best_current_curve,full,,0.5811,0.3538,,,,,,,146.1,7.6,h,7.6h,,,,,remote RTX 3060 WSL,completed,SchrodingerBridge/docs/experiments/comparison_20260602/comparison_report.md,aaai2027_master_experiment_log,Negative no-op-adjusted style on Distinct5
2026-06-02,SaMST,distinct5_512,distinct5_512,512,style_high_damage,full,,0.7247,0.6255,,,,,,,395.7,5.8,h,5.8h,,,,6,Windows / reproduced run,completed,SchrodingerBridge/docs/experiments/comparison_20260602/comparison_report.md,aaai2027_master_experiment_log,"High raw style, severe LPIPS / ArtFID collapse"
2026-06-03,LBM,distinct5_512,distinct5_512,512,H_base__flow_mse__seed42,full,,0.6989,0.3595,,,,,,,,,,3 epochs + eval retry; train complete 2026-06-03 01:16 local remote time,,,,3.91,remote RTX 3060,completed,SchrodingerBridge/configs/aaai2027/flow_loss_h_base_mse_seed42.json,aaai2027_master_experiment_log,"Recovered after offline CLIP cache-path bug; e1=0.6964/0.3313, e2=0.6989/0.3595, e3=0.6961/0.3422 (full clip_style/content_lpips). Best raw style at e2; best LPIPS at e1. Post-run config audit shows resolved objective_mode=omf and w_flow=0.0, so this row cannot support the intended loss-kernel claim."
2026-06-03,LBM,distinct5_512,distinct5_512,512,H_base__flow_huber__seed42,full,,0.6986,0.3560,,,,,,,,,,3 epochs + auto full-eval; train complete 2026-06-03 02:07 +08:00,,,,3.91,remote RTX 3060,completed,SchrodingerBridge/configs/aaai2027/flow_loss_h_base_huber_seed42.json,aaai2027_master_experiment_log,"Automatic full-eval succeeded for all three epochs. e1=0.6965/0.3322, e2=0.6986/0.3560, e3=0.6961/0.3409 (full clip_style/content_lpips). Best raw style at e2; best LPIPS at e1. Post-run config audit shows resolved objective_mode=omf and w_flow=0.0, so this row cannot support the intended loss-kernel claim."
2026-06-03,LBM,distinct5_512,distinct5_512,512,H_base__flow_l1__seed42,full,,0.6988,0.3608,,,,,,,,,,3 epochs + auto full-eval; train complete on remote 3060,,,,3.91,remote RTX 3060,completed,SchrodingerBridge/configs/aaai2027/flow_loss_h_base_l1_seed42.json,aaai2027_master_experiment_log,"Automatic full-eval completed. e1=0.6964/0.3313, e2=0.6988/0.3608, e3=0.6960/0.3415 (full clip_style/content_lpips). Post-run config audit shows resolved objective_mode=omf and w_flow=0.0, so this row is non-probing for the intended loss-kernel claim and should be read as a near-null operational control."
2026-06-03,LBM,distinct5_512,distinct5_512,512,H_base__endpoint_metric_mse__seed42,full,,0.6997619076,0.5169997306,,,,,,,,-97,s,completed repaired packet; per-epoch eval wall_total about 95-97s,,,,3.91,remote RTX 3060,completed,SchrodingerBridge/configs/aaai2027/endpoint_metric_h_omf_flow_mse_seed42.json,aaai2027_master_experiment_log,"Activated repaired endpoint-metric arm completed on remote 3060. Full: e1=0.6997619076/0.5169997306, e2=0.6971165484/0.5478854412, e3=0.6985144924/0.5201614953. Transfer: e1=0.6847187312/0.5186539203, e2=0.6862729452/0.5501397298, e3=0.6842668918/0.5225907604. Best epoch is e1 by style/LPIPS balance, but all three epochs remain far worse on LPIPS than the reviewed H mainline, so this arm currently argues against pure endpoint-only pointwise supervision as the mainline replacement."
2026-06-03,LBM,distinct5_512,distinct5_512,512,H_base__endpoint_metric_huber__seed42,full,,0.6928812635,0.3556942509,,,,,,,,,,completed repaired packet; train and full-eval complete on remote 3060,,,,3.91,remote RTX 3060,completed,SchrodingerBridge/configs/aaai2027/endpoint_metric_h_omf_flow_huber_seed42.json,aaai2027_master_experiment_log,"Activated repaired endpoint-metric Huber arm completed on remote 3060. Full: e1=0.6928812635/0.3556942509, e2=0.6923208323/0.3650320160, e3=0.6909498694/0.3497314371. Transfer: e1=0.6633475696/0.3561823752, e2=0.6638556846/0.3652528899, e3=0.6608838979/0.3499506217. Recommended balance point is e1; e3 is the lowest-LPIPS point. Even the best repaired Huber point remains far worse on LPIPS than the reviewed H mainline, so this arm supports the negative endpoint-only conclusion rather than a local-kernel win."
2026-06-03,LBM,distinct5_512,distinct5_512,512,H_base__endpoint_metric_l1__seed42,full,,0.6910941314,0.3552152437,,,,,,,,,,completed repaired packet; train and full-eval complete on remote 3060,,,,3.91,remote RTX 3060,completed,SchrodingerBridge/configs/aaai2027/endpoint_metric_h_omf_flow_l1_seed42.json,aaai2027_master_experiment_log,"Activated repaired endpoint-metric L1 arm completed on remote 3060. Full: e1=0.6932040906/0.3624896984, e2=0.6927190168/0.3715741649, e3=0.6910941314/0.3552152437. Transfer: e1=0.6641346080/0.3630398018, e2=0.6648551672/0.3717617980, e3=0.6613619615/0.3554974833. Best raw style is e1; best LPIPS is e3. As with repaired MSE and Huber, the arm remains materially behind the reviewed H mainline on LPIPS and does not support replacing the W1-style mainline with pure endpoint-only pointwise supervision."
