run,src,target,is_identity,is_photo_to_art,is_transfer,count,clip_style,clip_content,content_lpips,clip_dir,ec
K1_orig_ep8,photo,photo,True,False,False,30,0.8060514112313588,0.7913104433333334,0.4561076113333334,0.5260587493578593,0.4384052274427614
K1_weighted_ep8,photo,photo,True,False,False,30,0.7941634277502696,0.795693789,0.4366569706666667,0.4908290912707647,0.4473864311745806
K2_orig_ep8,photo,photo,True,False,False,30,0.7732892175515492,0.8215992973333335,0.43539673566666665,0.40068996101617815,0.4366016165033739
K2_weighted_ep8,photo,photo,True,False,False,30,0.7936039924621582,0.8292136603333334,0.39929925966666674,0.44588831861813866,0.4767185058035075
K1_orig_ep8,photo,Hayao,False,True,True,30,0.6665063281853993,0.7210697633333335,0.5516581623333333,0.6029812494913737,0.29882267199510437
K1_weighted_ep8,photo,Hayao,False,True,True,30,0.6642510890960693,0.7250960886666667,0.5337581503333333,0.5979241222143173,0.3097016564232492
K2_orig_ep8,photo,Hayao,False,True,True,30,0.6084363917509715,0.7466625556666666,0.5020530603333334,0.5165584554274877,0.30296903925422536
K2_weighted_ep8,photo,Hayao,False,True,True,30,0.6541909237702688,0.7626105213333332,0.4926238833333333,0.5773780922094981,0.33192085046113834
K1_orig_ep8,photo,monet,False,True,True,30,0.6683816760778427,0.7855330570000001,0.42660901366666665,0.5018647491931916,0.3832440284934007
K1_weighted_ep8,photo,monet,False,True,True,30,0.6645190477371216,0.7900597296666665,0.43011592633333334,0.4915959825118383,0.37869882195352494
K2_orig_ep8,photo,monet,False,True,True,30,0.6435860494772593,0.8138807226666668,0.4075069056666667,0.44046399494012195,0.3813202899245471
K2_weighted_ep8,photo,monet,False,True,True,30,0.6459447562694549,0.832579406,0.38193765299999993,0.4348736971616745,0.3992341320922423
K1_orig_ep8,photo,vangogh,False,True,True,30,0.7024807771046956,0.778934232,0.501109635,0.5659217447042465,0.3504608912952452
K1_weighted_ep8,photo,vangogh,False,True,True,30,0.6877968271573385,0.7671951886666667,0.49845457600000004,0.5447386900583903,0.34496135130248196
K2_orig_ep8,photo,vangogh,False,True,True,30,0.6630612999200821,0.8076081263333333,0.47042790866666667,0.49010627567768095,0.3511387592808764
K2_weighted_ep8,photo,vangogh,False,True,True,30,0.6755287210146587,0.8120147333333333,0.450328189,0.5093335707982382,0.37131909546264125
K1_orig_ep8,photo,cezanne,False,True,True,30,0.653523807724317,0.7489192536666668,0.49977702466666657,0.5295237382253011,0.3269076235510271
K1_weighted_ep8,photo,cezanne,False,True,True,30,0.6518268714348475,0.7667759346666666,0.4727555086666667,0.518013812104861,0.3436721272670642
K2_orig_ep8,photo,cezanne,False,True,True,30,0.6560271680355072,0.7869754336666667,0.4585419826666667,0.5191877752542495,0.35521116972130723
K2_weighted_ep8,photo,cezanne,False,True,True,30,0.6357929825782775,0.8133650143333334,0.4138455646666667,0.4749660700559616,0.37267287669206606
