experiment_id,clip_style,clip_content,content_lpips
s2wat/monet,0.6047,0.5519,0.7933
s2wat/vangogh,0.6365,0.5376,0.8034
s2wat/cezanne,0.6094,0.5343,0.8255
s2wat/Hayao,0.5768,0.5454,0.7827
samst/monet,0.6316,0.5545,0.5519
samst/vangogh,0.6450,0.5438,0.5548
samst/cezanne,0.6176,0.5430,0.5520
samst/ukiyoe,0.6314,0.5437,0.5513
styleid/monet,0.7242,0.5033,0.7728
styleid/vangogh,0.7171,0.5035,0.7708
styleid/cezanne,0.6815,0.4302,0.7708
styleid/Hayao,0.5831,0.3339,0.7690
cut/monet,0.6762,0.5164,0.8065
cut/vangogh,0.6833,0.5365,0.8183
cut/cezanne,0.6570,0.5219,0.7806
cut/Hayao,0.6031,0.5214,0.8056
