comparison,base,weighted,scope,target,n,base_clip_style,weighted_clip_style,delta_clip_style,base_clip_content,weighted_clip_content,delta_clip_content,base_content_lpips,weighted_content_lpips,delta_content_lpips,base_clip_dir,weighted_clip_dir,delta_clip_dir,base_ec,weighted_ec,delta_ec
K1_weight_effect,K1_orig_ep8,K1_weighted_ep8,all_to_target_transfer,photo,4,0.6946901227037112,0.6812993245820205,-0.01339079812169075,0.7828247201666667,0.7972413230833333,0.014416602916666577,0.4942975599166667,0.4885951676666667,-0.005702392249999966,0.5440813012421132,0.5140064854174853,-0.0300748158246279,0.35032693242781804,0.34679733732524565,-0.0035295951025723915
K1_weight_effect,K1_orig_ep8,K1_weighted_ep8,target_identity,photo,1,0.8060514112313588,0.7941634277502696,-0.011887983481089215,0.7913104433333334,0.795693789,0.004383345666666538,0.4561076113333334,0.4366569706666667,-0.019450640666666685,0.5260587493578593,0.4908290912707647,-0.03522965808709466,0.4384052274427614,0.4473864311745806,0.00898120373181921
K1_weight_effect,K1_orig_ep8,K1_weighted_ep8,all_to_target_transfer,Hayao,4,0.6612654800216357,0.657002431154251,-0.0042630488673846,0.7441127415000001,0.744918323,0.0008055814999999855,0.5248982571666667,0.5163390973333333,-0.00855915983333344,0.5828848327199618,0.5767678700387477,-0.006116962681214089,0.3141303413259381,0.3178283882214335,0.0036980468954954104
K1_weight_effect,K1_orig_ep8,K1_weighted_ep8,photo_to_target,Hayao,1,0.6665063281853993,0.6642510890960693,-0.002255239089330008,0.7210697633333335,0.7250960886666667,0.004026325333333247,0.5516581623333333,0.5337581503333333,-0.01790001200000002,0.6029812494913737,0.5979241222143173,-0.005057127277056317,0.29882267199510437,0.3097016564232492,0.010878984428144833
K1_weight_effect,K1_orig_ep8,K1_weighted_ep8,target_identity,Hayao,1,0.8080218613147736,0.8263360222180685,0.01831416090329485,0.8424842793333334,0.8561928783333334,0.013708598999999988,0.37637068433333337,0.36053251433333333,-0.01583817000000004,0.3889521136879921,0.40680842796961464,0.017856314281622543,0.5039061204154385,0.5284150184435831,0.0245088980281446
K1_weight_effect,K1_orig_ep8,K1_weighted_ep8,all_to_target_transfer,monet,4,0.683072321365277,0.6738013237714767,-0.009270997593800234,0.8181165666666667,0.8139600204166666,-0.004156546250000059,0.425991226,0.43795061958333337,0.011959393583333366,0.41961449465403955,0.4088902489592632,-0.010724245694776369,0.39126334916403893,0.37730842701956346,-0.013954922144475468
K1_weight_effect,K1_orig_ep8,K1_weighted_ep8,photo_to_target,monet,1,0.6683816760778427,0.6645190477371216,-0.0038626283407211526,0.7855330570000001,0.7900597296666665,0.004526672666666398,0.42660901366666665,0.43011592633333334,0.003506912666666695,0.5018647491931916,0.4915959825118383,-0.010268766681353292,0.3832440284934007,0.37869882195352494,-0.004545206539875779
K1_weight_effect,K1_orig_ep8,K1_weighted_ep8,target_identity,monet,1,0.8272207041581472,0.8108845770359039,-0.016336127122243305,0.8322194936666666,0.8214293280000001,-0.010790165666666462,0.440045668,0.4557827783333333,0.015737110333333304,0.4272602587938309,0.3934097992877165,-0.03385045950611437,0.4632058168134449,0.4412973516068298,-0.021908465206615102
K1_weight_effect,K1_orig_ep8,K1_weighted_ep8,all_to_target_transfer,vangogh,4,0.731174066166083,0.7217356577515602,-0.009438408414522814,0.81830579475,0.8129800537499999,-0.0053257410000000505,0.45306757516666674,0.451788722,-0.0012788531666667602,0.4727762460708618,0.4590839698910713,-0.013692276179790519,0.3987178166059118,0.3951749926548656,-0.0035428239510462145
K1_weight_effect,K1_orig_ep8,K1_weighted_ep8,photo_to_target,vangogh,1,0.7024807771046956,0.6877968271573385,-0.014683949947357111,0.778934232,0.7671951886666667,-0.01173904333333331,0.501109635,0.49845457600000004,-0.002655059000000015,0.5659217447042465,0.5447386900583903,-0.021183054645856236,0.3504608912952452,0.34496135130248196,-0.005499539992763258
K1_weight_effect,K1_orig_ep8,K1_weighted_ep8,target_identity,vangogh,1,0.8279576460520427,0.8052507718404134,-0.022706874211629313,0.8610731003333334,0.8330905856666665,-0.027982514666666902,0.41341215533333336,0.42976814633333327,0.016355990999999903,0.41062180921435354,0.3924862861633301,-0.01813552305102345,0.48566989107295455,0.45917964029307307,-0.026490250779881486
