src_style,tgt_style,src_slug,depth_mse,edge_iou
Early_Renaissance,Early_Renaissance,Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece,0.009050377644598484,0.0
Early_Renaissance,Impressionism,Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece,0.00950293056666851,0.0
Early_Renaissance,Minimalism,Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece,0.026342051103711128,0.007095445181963836
Early_Renaissance,Rococo,Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece,0.010476759634912014,0.005733397037744864
Early_Renaissance,Ukiyo_e,Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece,0.008082474581897259,0.0
Early_Renaissance,Early_Renaissance,Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455,0.007611540611833334,0.0
Early_Renaissance,Impressionism,Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455,0.007824970409274101,0.0
Early_Renaissance,Minimalism,Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455,0.02799268811941147,0.0
Early_Renaissance,Rococo,Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455,0.008510556071996689,0.0
Early_Renaissance,Ukiyo_e,Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455,0.007455892860889435,0.0
Early_Renaissance,Early_Renaissance,Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2,0.02695421501994133,0.08495962314939434
Early_Renaissance,Impressionism,Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2,0.030740581452846527,0.0998602778006082
Early_Renaissance,Minimalism,Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2,0.05592373386025429,0.0369975855702315
Early_Renaissance,Rococo,Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2,0.04115926846861839,0.10279697797781708
Early_Renaissance,Ukiyo_e,Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2,0.02038882113993168,0.07569450344065924
Early_Renaissance,Early_Renaissance,Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464,0.01797187328338623,0.12654445610918194
Early_Renaissance,Impressionism,Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464,0.01732739247381687,0.1333962560956426
Early_Renaissance,Minimalism,Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464,0.06983794271945953,0.021993077588693396
Early_Renaissance,Rococo,Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464,0.02038961462676525,0.14215118523666126
Early_Renaissance,Ukiyo_e,Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464,0.019275372847914696,0.11270358306188925
Early_Renaissance,Early_Renaissance,Early_Renaissance__antonello-da-messina_painter-self-portrait,0.06886788457632065,0.21329039636440245
Early_Renaissance,Impressionism,Early_Renaissance__antonello-da-messina_painter-self-portrait,0.08477011322975159,0.22973329812516505
Early_Renaissance,Minimalism,Early_Renaissance__antonello-da-messina_painter-self-portrait,0.081358402967453,0.04451335723745841
Early_Renaissance,Rococo,Early_Renaissance__antonello-da-messina_painter-self-portrait,0.07373542338609695,0.22649695437306056
