epoch,loss_total,loss_style_swd,loss_mse,loss_identity,loss_style_cls,style_cls_transfer_acc,style_cls_identity_acc,style_cls_transfer_pass_rate,style_cls_identity_pass_rate,style_cls_conf_mean,style_cls_agree_mean,style_cls_weight_mean,loss_velocity_reg,learning_rate,epoch_time
1,1.666251,0.063184,4.265352,0.600851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001554,1.09e-05,0.00
2,2.053351,0.106695,4.142337,0.591340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033464,2.08e-05,0.00
3,2.100916,0.149314,4.578376,0.593826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044472,3.07e-05,0.00
4,2.092797,0.206420,4.720303,0.593401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046744,4.06e-05,0.00
5,2.072289,0.261865,4.719395,0.589188,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047164,5.05e-05,0.00
6,2.067812,0.317177,4.738382,0.585021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047882,6.04e-05,0.00
7,2.055267,0.373587,4.714225,0.585541,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047916,7.03e-05,0.00
8,2.070056,0.437027,4.584157,0.576760,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047220,8.02e-05,0.00
9,2.094575,0.512296,4.260585,0.570669,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044722,9.01e-05,0.00
10,2.121773,0.599887,3.925949,0.556964,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042702,1.00e-04,0.00
11,2.134558,0.669510,3.558001,0.546674,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040714,9.98e-05,0.00
12,2.170938,0.696879,3.294845,0.541397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039991,9.94e-05,0.00
13,2.198701,0.726822,3.050562,0.533823,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039281,9.86e-05,0.00
14,2.232120,0.756136,2.851666,0.520426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039190,9.76e-05,0.00
15,2.270913,0.773568,2.707431,0.519539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039188,9.62e-05,0.00
16,2.313169,0.812690,2.555538,0.514524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039369,9.46e-05,0.00
17,2.338833,0.826099,2.440425,0.503982,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039594,9.27e-05,0.00
18,2.382758,0.854003,2.339819,0.500692,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039802,9.05e-05,0.00
19,2.418690,0.881770,2.249217,0.494384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040125,8.81e-05,0.00
20,2.462857,0.905996,2.171220,0.494367,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040472,8.55e-05,0.00
21,2.500088,0.923958,2.117627,0.490186,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040771,8.26e-05,0.00
22,2.544041,0.939908,2.062956,0.488187,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041177,7.96e-05,0.00
23,2.581388,0.960322,2.019544,0.488554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041408,7.64e-05,0.00
24,2.625145,0.974736,1.982697,0.481842,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041750,7.30e-05,0.00
25,2.661190,0.985771,1.943676,0.481996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042002,6.94e-05,0.00
26,2.709971,1.007992,1.916763,0.480260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042149,6.58e-05,0.00
27,2.743956,1.018752,1.888075,0.477778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042455,6.21e-05,0.00
28,2.790051,1.034522,1.867495,0.476447,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042626,5.82e-05,0.00
29,2.827951,1.041812,1.843476,0.474846,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042924,5.44e-05,0.00
30,2.870358,1.052009,1.827301,0.473009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043092,5.05e-05,0.00
