experiment_id,dataset,method,family,solver,mode,batch,epoch,transfer_clip_style,transfer_lpips,full_clip_style,full_lpips,epoch_time_s,wall_total_s,samples_per_sec,cuda_peak_gb,status,notes
distinct5_512-1000perstyle__IDT__no_op,distinct5-512/1000-per-style,IDT,reference,identity,identity,0,0,0.6801,0.0000,0.6801,0.0000,0,0,0,0,keep,不变图像参考锚点
distinct5_512-1000perstyle__LBM__H_e1,distinct5-512/1000-per-style,LBM,H/hard-explore-queue,euler,endpoint,44,1,0.6653,0.3281,0.6974,0.3213,0,73.2,0,9.6,keep,最佳LPIPS单epoch;tokenizer=direct_atom_residual;content_adaptive_vq_queue
distinct5_512-1000perstyle__LBM__H_e2,distinct5-512/1000-per-style,LBM,H/hard-explore-queue,euler,endpoint,44,2,0.6684,0.3561,0.6994,0.3484,0,136.0,0,9.6,keep,平衡的style/content点; e2比e1 style更高但LPIPS也更高
distinct5_512-1000perstyle__LBM__K_e1,distinct5-512/1000-per-style,LBM,K/content-adaptive-vq,euler,endpoint,44,1,0.6712,0.3723,0.7010,0.3623,0,72.5,0,9.6,keep,最高raw style点;tokenizer=content_adaptive_vq_queue
distinct5_512-1000perstyle__LBM__F_e1,distinct5-512/1000-per-style,LBM,F/annealed-prototype-ot,euler,endpoint,44,1,0.6644,0.3245,0.6969,0.3186,0,73.0,0,9.6,keep,紧凑LPIPS锚点;delta_idt_transfer=+0.0244
distinct5_512-1000perstyle__LBM__K_longer_e5,distinct5-512/1000-per-style,LBM,K/longer-8ep,euler,endpoint,44,5,0.6670,0.3588,0.6969,0.3504,332.7,332.7,0,9.1,drop,负结果--e1始终比e5+更好
distinct5_512-1000perstyle__LBM__tokenizer_loc_L_e1_stylebranch,distinct5-512/1000-per-style,LBM,L/style-branch,?,?,44,3,0.6580,0.3202,0.6906,0.3196,0,0,0,?,hold,tokenizer定位实验:仅更新style分支
distinct5_512-1000perstyle__LBM__tokenizer_loc_L_e1_executoronly,distinct5-512/1000-per-style,LBM,L/executor-only,?,?,44,3,0.6646,0.3294,0.6963,0.3218,0,0,0,?,keep,tokenizer定位实验:executor刷新更强(+0.025 delta_idt)
distinct5_512-1000perstyle__SaMAM__step3000,distinct5-512/1000-per-style,SaMAM,baseline,SSM,segmented,6,3000,0.6646,0.3271,0.6978,0.3221,36755,36755,0,8.0,keep,最强LPIPS baseline; latent风格迁移后与LBM持平
distinct5_512-1000perstyle__SaMAM__step2250,distinct5-512/1000-per-style,SaMAM,baseline,SSM,segmented,6,2250,0.5523,0.3605,0.5811,0.3538,27413,27413,0,8.0,keep,论文安全锚点;负delta_idt(-0.088)
distinct5_512-1000perstyle__SaMST__e5,distinct5-512/1000-per-style,SaMST,baseline,OMF,velocity,1,5,0.6989,0.6335,0.7276,0.6271,6958,6958,0,?,keep,最高raw style;LPIPS严重;~116min train
distinct5_512-1000perstyle__SaMST__e15,distinct5-512/1000-per-style,SaMST,baseline,OMF,velocity,2,15,0.6957,0.6319,0.7247,0.6255,20835,20835,0,?,keep,饱和SaMST点;~347min
distinct5_512-1000perstyle__SaMAM_latent__step1500_fast,distinct5-512/1000-per-style,SaMAM-latent,latent_baseline,SSM,segmented,1,1500,0.6547,0.1635,0.6920,0.1634,0,0,0,?,keep,极早期但LPIPS极好;需关注
distinct5_512-1000perstyle__SaMST_latent__b1050_fast,distinct5-512/1000-per-style,SaMST-latent,latent_baseline,OMF,velocity,1,1050,0.6820,0.8318,0.6826,0.8320,0,0,0,?,keep,最佳latent SaMST;但LPIPS崩溃
distinct5_512-1000perstyle__SaMST_latent__b50_fast,distinct5-512/1000-per-style,SaMST-latent,latent_baseline,OMF,velocity,1,50,0.6104,0.7296,0.6104,0.7296,106.6,106.6,0,10.7,drop,结构崩溃;零方向输出
distinct5_512-1000perstyle__SaMST_latent__b300_fast,distinct5-512/1000-per-style,SaMST-latent,latent_baseline,OMF,velocity,1,300,0.6104,0.7296,0.6104,0.7296,558.3,558.3,0,10.7,drop,与b50相同全部崩溃;更长训练无帮助
inmortal_k_spatial_b16_e1,distinct5-512/full,LBM,imm-k-spatial,euler,velocity,16,1,0.6782,0.3425,0.7097,0.3344,187.6,187.6,26.6,8.5,drop,kinetic spatial split;未提升style天花板
inmortal_k_spatial_b16_e6,distinct5-512/full,LBM,imm-k-spatial,euler,velocity,16,6,0.6787,0.3505,0.7094,0.3416,183.5,1107.1,27.2,8.5,drop,最佳epoch;稳定但style不高
inmortal_k_manifold_b16_e1,distinct5-512/full,LBM,imm-k-manifold,euler,velocity,16,1,0.6779,0.3346,0.7090,0.3276,186.0,186.0,26.8,8.3,hold,manifold-adaptive kinetic;LPIPS比spatial好
inmortal_k_manifold_b16_e6,distinct5-512/full,LBM,imm-k-manifold,euler,velocity,16,6,0.6789,0.3349,0.7106,0.3261,264.3,1390.1,18.9,8.3,hold,最佳epoch;content-preserving略好于spatial
inmortal_k_spectral_b12_e2,distinct5-512/full,LBM,imm-k-spectral,euler,velocity,12,2,0.6788,0.3637,0.7101,0.3522,199.9,425.7,25.0,6.5,hold,spectral split;最佳transfer style
inmortal_xpred_bary_b16_e5,distinct5-512/full,LBM,imm-xpred-bary,euler,endpoint,16,5,0.7255,0.6149,0.7319,0.6074,108.1,543.9,46.2,3.2,hold,style天花板可达0.73;LPIPS弱
inmortal_xpred_bary_b40_e7,distinct5-512/full,LBM,imm-xpred-bary,euler,endpoint,40,7,0.7244,0.7178,0.7271,0.7106,93.2,665.9,53.6,7.4,drop,大batch下LPIPS更差
