group,exp_dir,sub_exp,epoch,clip_style,clip_s_delta_idt,clip_t,content_lpips,one_minus_lpips,clip_content,fid,artfid,eval_type,source,dataset
manual,,,13,0.6693,0.0293,,0.2862,0.7138,,,,best_manual,dashboard_best,distinct5_512
manual,,,17,0.6662,0.0263,,0.3004,0.6996,,,,latest_manual,dashboard_latest,distinct5_512
ot_rerun_auto,,,7,0.6609,0.021,0.2148,0.3647,0.6353,,,,auto,dashboard,distinct5_512
ot_rerun_auto,,,5,0.6495,0.0095,0.2111,0.4627,0.5373,,,,auto,dashboard,distinct5_512
ot_rerun_auto,,,6,0.6621,0.0222,0.214,0.3515,0.6485,,,,auto,dashboard,distinct5_512
spatial620,,,1,0.7039,0.064,,0.2862,0.7138,,,,smoke,dashboard,distinct5_512
spatial620,,,8,0.7055,0.0656,,0.2899,0.7101,,,,formal,dashboard,distinct5_512
spatial620,,,10,0.705,0.0651,,0.2858,0.7142,,,,smoke,dashboard,distinct5_512
wikiart512,,,2,0.8007,,,0.378,,,,,quick_eval_n6_strength1p25,remote_csv,wikiart512
wikiart512,,,2,0.8003,,,0.3718,,,,,quick_eval_n6,remote_csv,wikiart512
wikiart512,,,1,0.799,,,0.3091,,,,,quick_eval_trueint_n6,remote_csv,wikiart512
wikiart512,,,2,0.7988,,,0.3457,,,,,eval_quick_n6,remote_csv,wikiart512
wikiart512,,,1,0.7987,,,0.3523,,,,,quick_eval_n6,remote_csv,wikiart512
wikiart512,,,1,0.7978,,,0.3274,,,,,eval_quick_n6,remote_csv,wikiart512
wikiart512,,,12,0.7934,,,0.3777,,,,,full_eval_epoch0012_b4,remote_csv,wikiart512
wikiart512,,,8,0.7889,,,0.3597,,,,,full_eval_latent_original,remote_csv,wikiart512
samam,,,1000,0.7017,,0.2745,,,,,,2026-06-07,SaMAM best convergence,distinct5_512
samam,,,3000,0.6978,,0.3221,,,,,,2026-06-03,SaMAM long run,distinct5_512
samam,,,110,0.6637,,0.7043,,,,,,2026-06-07,SaMAM same-cost best,distinct5_512
samam,,,50,0.652,,0.846,,,,,,2026-06-07,,distinct5_512
samst,,,300,0.7057,,0.8375,,,,,,2026-06-07,SaMST best convergence,distinct5_512
samst,,,50,0.6977,,0.8659,,,,,,2026-06-07,SaMST same-cost,distinct5_512
samst,,,1050,0.6826,,0.832,,,,,,2026-06-06,,distinct5_512
samst,,,40,0.6615,,0.743,,,,,,2026-06-05,SaMST step-aligned,distinct5_512
samst,,,50,0.6104,,0.7296,,,,,,2026-06-06,SaMST same-cost low,distinct5_512
idt,,,,0.7393,,,,,,,,2026-06-06,IDT stress2 5 styles,distinct5_512
idt,,,,0.7268,,,,,,,,2026-06-07,IDT stress1 5 styles,distinct5_512
idt,,,60,0.6736,0.876,0.3342,0.3325,,,,,full_eval,remote_csv,unknown
RW/protocol_eval_table,ours_pareto_probe_4_epoch_0001,Ours (probe4 ep1),,0.6908,,,0.4184,0.5816,0.8394,,,protocol_a_800,related_works,distinct5_512
RW/complete_750,ours_epoch_0007,Ours (ep7),,0.7041,,,0.4587,0.5413,0.8043,,,protocol_a_800,related_works,distinct5_512
RW/ablation,D0_full_correct_7ep,Ours D0 full,,0.7014,0.0615,,0.4593,0.5407,0.8022,,,protocol_a_800,related_works,distinct5_512
RW/ablation,D1_no_terminal_swd,w/o terminal SWD,,0.6708,0.030899999999999928,,0.349,0.651,0.8989,,,protocol_a_800,related_works,distinct5_512
RW/ablation,D2_no_kinetic,w/o kinetic,,0.7159,0.07599999999999996,,0.6375,0.3625,0.6624,,,protocol_a_800,related_works,distinct5_512
RW/ablation,D3_no_swd_no_kinetic,w/o SWD and kinetic,,0.6884,0.04849999999999999,,0.3938,0.6062,0.8527,,,protocol_a_800,related_works,distinct5_512
RW/ablation,D4_conv_body_no_global_attn,conv body no global attn,,0.7022,0.06230000000000002,,0.4594,0.5406,0.802,,,protocol_a_800,related_works,distinct5_512
RW/ablation,D5_disable_skip_routing,disable routed skip path,,0.6951,0.05520000000000003,,0.4727,0.5273,0.8057,,,protocol_a_800,related_works,distinct5_512
RW/ablation,D6_disable_spatial_prior,disable spatial style prior,,0.7022,0.06230000000000002,,0.4589,0.5411,0.8033,,,protocol_a_800,related_works,distinct5_512
RW/ablation,D7_no_residual_path,no residual path,,0.7013,0.06140000000000001,,0.4592,0.5408,0.8025,,,protocol_a_800,related_works,distinct5_512
RW/ablation,D8_strong_color_loss,strong color loss,,0.6923,0.0524,,0.5675,0.4325,0.6629,,,protocol_a_800,related_works,distinct5_512
RW/ablation,D9_l2_ot_cost,L2 matching cost,,0.7016,0.06169999999999998,,0.4589,0.5411,0.8021,,,protocol_a_800,related_works,distinct5_512
RW/ablation,D10_micro_hf_swd_trap,micro high-frequency SWD,,0.6989,0.05899999999999994,,0.4863,0.5137,0.7772,,,protocol_a_800,related_works,distinct5_512
RW/ablation,D11_single_terminal_step,single terminal step,,0.7012,0.06130000000000002,,0.4585,0.5415,0.8032,,,protocol_a_800,related_works,distinct5_512
RW/protocol_eval_table,cut,CUT,,0.7588,0.1189,,0.4906,0.5094,0.7794,,,protocol_a_800,related_works,distinct5_512
RW/protocol_eval_table,samst,SaMST (5style),,0.7253,0.08539999999999992,,0.539,0.461,0.7752,,,protocol_a_800,related_works,distinct5_512
RW/complete_750,samst_strict,SaMST strict,,0.7194,0.07950000000000002,,0.4664,0.5336,0.8193,,,protocol_a_800,related_works,distinct5_512
RW/summary_json,samst,SaMST (summary.json),,0.7557,0.11580000000000001,,0.4104,0.5896,0.8355,,,protocol_a_800,related_works,distinct5_512
RW/protocol_eval_table,s2wat,S2WAT,,0.7138,0.07389999999999997,,0.5263,0.4737,0.7464,,,protocol_a_800,related_works,distinct5_512
RW/complete_750,s2wat_strict,S2WAT strict,,0.7139,0.07399999999999995,0.3967,0.5263,0.4737,0.7465,,-0.2747,protocol_a_800,related_works,distinct5_512
RW/protocol_eval_table,styleid,StyleID,,0.7777,0.13779999999999992,,0.5928,0.4072,0.6402,,,protocol_a_800,related_works,distinct5_512
RW/complete_750,styleid_strict,StyleID strict,,0.7597,0.11980000000000002,,0.7497,0.2503,0.5519,,,protocol_a_800,related_works,distinct5_512
RW/summary_json,styleid,StyleID (summary.json),,0.7979,0.15800000000000003,,0.7881,0.2119,0.5514,,,protocol_a_800,related_works,distinct5_512
RW/protocol_eval_table,sdturbo,SD-Turbo,,0.7769,0.137,,0.6265,0.3735,0.6505,,,protocol_a_800,related_works,distinct5_512
RW/protocol_eval_table,sdedit_str_0p10,SDEdit str=0.10,,0.7023,0.06240000000000001,,0.3236,0.6764,0.8759,,,protocol_a_800,related_works,distinct5_512
RW/protocol_eval_table,sdedit_str_0p20,SDEdit str=0.20,,0.7063,0.06640000000000001,,0.4087,0.5913,0.7772,,,protocol_a_800,related_works,distinct5_512
RW/protocol_eval_table,sdedit_str_0p35,SDEdit str=0.35,,0.6966,0.05669999999999997,,0.4904,0.5096,0.6899,,,protocol_a_800,related_works,distinct5_512
RW/protocol_eval_table,sdedit_str_0p40,SDEdit str=0.40,,0.6968,0.05689999999999995,,0.5155,0.4845,0.6727,,,protocol_a_800,related_works,distinct5_512
RW/complete_750,adain_v32k,AdaIN v32k,,0.713,0.07309999999999994,,0.6298,0.3702,0.699,,,protocol_a_800,related_works,distinct5_512
RW/complete_750,adain_vgg19,AdaIN vgg19,,0.693,0.053099999999999925,,0.687,0.313,0.5991,,,protocol_a_800,related_works,distinct5_512
RW/complete_750,adain_bad,AdaIN bad,,0.6308,-0.009099999999999997,,0.849,0.151,0.5297,,,protocol_a_800,related_works,distinct5_512
RW/eval_curve,samam_b6_seg250_diag_step3000,SaMAM b6 seg250 diag step3000,,0.6978,0.05789999999999995,,0.3221,0.6779,,,,5style_30img,related_works,distinct5_512
RW/unified_reeval,samam_diag_step2250,SaMAM-diag-2250,,0.7074121046861014,0.06751210468610128,0.22499219892422356,0.23742714984799998,0.7626,0.0,,,unified_reeval,local_4070,distinct5_512
RW/unified_reeval,samam_diag_step3000,SaMAM-diag-3000,,0.7175247529347737,0.07762475293477375,0.21965381616353988,0.24226200405066667,0.7577,0.0,,,unified_reeval,local_4070,distinct5_512
RW/unified_reeval,samst_stepalign40,SaMST-40-diag,,0.6794958198070526,0.0395958198070526,0.23475493202606837,0.7212167270533334,0.2788,0.0,,,unified_reeval,local_4070,distinct5_512
RW/unified_reeval,sdedit_010,SDEdit-str0.10,,0.7049096000194549,0.06500960001945494,0.21560433715581895,0.11211288408666667,0.8879,0.0,,,unified_reeval,local_4070,distinct5_512
RW/unified_reeval,sdedit_020,SDEdit-str0.20,,0.7056550536950429,0.06575505369504292,0.21541683206955592,0.1587259160752,0.8413,0.0,,,unified_reeval,local_4070,distinct5_512
RW/unified_reeval,sdedit_035,SDEdit-str0.35,,0.7081265036265055,0.06822650362650552,0.21541767272353168,0.23488729902533334,0.7651,0.0,,,unified_reeval,local_4070,distinct5_512
RW/unified_reeval,sdedit_040,SDEdit-str0.40,,0.7077167621453603,0.0678167621453603,0.21507193910082184,0.27199711025333334,0.728,0.0,,,unified_reeval,local_4070,distinct5_512
RW/unified_reeval,sdturbo,SD-Turbo,,0.6678022828499476,0.0279022828499476,0.2089963898162047,0.362634724988,0.6374,0.0,,,unified_reeval,local_4070,distinct5_512
RW/unified_reeval,adain_v32k,AdaIN-v32k,,0.6106486622492472,-0.02925133775075277,0.23254575955867765,0.9890527401999999,0.0109,0.0,,,unified_reeval,local_4070,distinct5_512
RW/unified_reeval,adain_vgg19,AdaIN-vgg19,,0.7078109183708827,0.06791091837088266,0.24018013413747152,0.5846004945866666,0.4154,0.0,,,unified_reeval,local_4070,distinct5_512
RW/unified_reeval,adain_bad,AdaIN-bad,,0.6979277889728546,0.05802778897285461,0.23836276537179948,0.48437379173333334,0.5156,0.0,,,unified_reeval,local_4070,distinct5_512
628_ablation,destructive,D0_control/full_eval/epoch_0008,8,0.7298033181031545,0.0898824928401545,0.22895225793123244,0.3380521804799999,0.6619,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D0_control/full_eval/epoch_0009,9,0.728236615975698,0.08831579071269782,0.2289095612168312,0.34021327726666667,0.6598,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D0_control/full_eval/epoch_0010,10,0.7303006313641867,0.09037980610118661,0.2292224053343137,0.34104492154666666,0.659,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D10_color100_dircos50/full_eval/epoch_0010,10,0.7259165052572887,-0.12031116644541423,0.22686361722151444,0.3298811108133334,0.6701,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D10_style_gate_film_only/full_eval/epoch_0008,8,0.729742400487264,0.089821575224264,0.22892127764225007,0.33798888499999996,0.662,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D10_style_gate_film_only/full_eval/epoch_0009,9,0.7281964468955994,0.08827562163259936,0.2288785038987796,0.34022070594666665,0.6598,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D10_style_gate_film_only/full_eval/epoch_0010,10,0.7302864495913188,0.09036562432831877,0.2292230552037557,0.34105689414666673,0.6589,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D11_affine_gamma_0/full_eval/epoch_0008,8,0.7297669839859009,0.08984615872290089,0.22895363384485246,0.3380365517333333,0.662,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D11_affine_gamma_0/full_eval/epoch_0009,9,0.7282342111269632,0.0883133858639633,0.22890727919340134,0.34024653372,0.6598,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D11_affine_gamma_0/full_eval/epoch_0010,10,0.7302975859642029,0.09037676070120287,0.22925850135087966,0.34106004632000003,0.6589,0.0,,,full_eval,remote_cached,
