dataset,scope,method,series,label,step,clip_style,content_lpips,one_minus_lpips,source,point_kind
legacy256_overfit50,full,idt,idt,idt,0,0.6593609295606613,0.0,1.0,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\idt_eval_20260602\legacy256_overfit50\idt_5x5\summary.json,
legacy256_overfit50,transfer,idt,idt,idt,0,0.613607810229063,0.0,1.0,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\idt_eval_20260602\legacy256_overfit50\idt_5x5\summary.json,
wikiart512_5style,full,idt,idt,idt,0,0.7815262297789255,0.0,1.0,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\idt_eval_20260602\wikiart512_5style\idt_5x5\summary.json,
wikiart512_5style,transfer,idt,idt,idt,0,0.7730244772632916,0.0,1.0,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\idt_eval_20260602\wikiart512_5style\idt_5x5\summary.json,
distinct5_512,full,idt,idt,idt,0,0.6801251527865727,0.0,1.0,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\idt_eval_20260602\distinct5_512\idt_5x5\summary.json,
distinct5_512,transfer,idt,idt,idt,0,0.6399224616587161,0.0,1.0,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\idt_eval_20260602\distinct5_512\idt_5x5\summary.json,
legacy256_overfit50,full,SaMST,SaMST curve,SaMST e15,15,0.7253123044570288,0.53903856028,0.46096143972000003,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samst\protocol_a_800\summary.json,
legacy256_overfit50,transfer,SaMST,SaMST curve,SaMST e15,15,0.7034510732193787,0.5571298963833333,0.4428701036166667,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samst\protocol_a_800\summary.json,
wikiart512_5style,full,SaMST,SaMST curve,SaMST e5,5,0.773973307609558,0.6123956792533333,0.38760432074666673,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\timing_20260602\samst_wikiart512_curve_midpoints\epoch_0005\summary.json,
wikiart512_5style,transfer,SaMST,SaMST curve,SaMST e5,5,0.7687445387244225,0.6121340467499999,0.38786595325000006,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\timing_20260602\samst_wikiart512_curve_midpoints\epoch_0005\summary.json,
wikiart512_5style,full,SaMST,SaMST curve,SaMST e10,10,0.7745031952063244,0.6108974266133333,0.38910257338666665,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\timing_20260602\samst_wikiart512_curve_midpoints\epoch_0010\summary.json,
wikiart512_5style,transfer,SaMST,SaMST curve,SaMST e10,10,0.7688595057527224,0.6106467537666668,0.38935324623333323,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\timing_20260602\samst_wikiart512_curve_midpoints\epoch_0010\summary.json,
wikiart512_5style,full,SaMST,SaMST curve,SaMST e15,15,0.7767400147120159,0.6088616661733334,0.39113833382666663,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\timing_20260602\samst_wikiart512_epoch15_generate750_png\epoch_0015\summary.json,
wikiart512_5style,transfer,SaMST,SaMST curve,SaMST e15,15,0.7710875839988389,0.6085886559,0.3914113441,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\timing_20260602\samst_wikiart512_epoch15_generate750_png\epoch_0015\summary.json,
distinct5_512,full,SaMST,SaMST curve,SaMST e15,15,0.7247245136102042,0.6255497488,0.3744502512,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samst_distinct5_512_real_b2_e15_20260602\eval_epoch15\epoch_0015\summary.json,
distinct5_512,transfer,SaMST,SaMST curve,SaMST e15,15,0.69574123164018,0.6319495817333334,0.3680504182666666,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samst_distinct5_512_real_b2_e15_20260602\eval_epoch15\epoch_0015\summary.json,
legacy256_overfit50,full,SaMAM,SaMAM curve,SaMAM 5000,5000,0.6848852612177531,0.5343885896533334,0.4656114103466666,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_005000\summary.json,
legacy256_overfit50,transfer,SaMAM,SaMAM curve,SaMAM 5000,5000,0.6699102639158567,0.5360871969,0.4639128031,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_005000\summary.json,
legacy256_overfit50,full,SaMAM,SaMAM curve,SaMAM 10000,10000,0.6874920881589255,0.4731460972399999,0.5268539027600001,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_010000\summary.json,
legacy256_overfit50,transfer,SaMAM,SaMAM curve,SaMAM 10000,10000,0.6669221617778142,0.4744398921833334,0.5255601078166666,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_010000\summary.json,
legacy256_overfit50,full,SaMAM,SaMAM curve,SaMAM 14000,14000,0.6968672373692193,0.4362780527466666,0.5637219472533334,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_014000\summary.json,
legacy256_overfit50,transfer,SaMAM,SaMAM curve,SaMAM 14000,14000,0.671752924968799,0.4392484994666666,0.5607515005333334,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_014000\summary.json,
legacy256_overfit50,full,SaMAM,SaMAM curve,SaMAM 15000,15000,0.6964624081055324,0.4408461138533333,0.5591538861466667,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_015000\summary.json,
legacy256_overfit50,transfer,SaMAM,SaMAM curve,SaMAM 15000,15000,0.6738924914101759,0.44505966455,0.55494033545,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_015000\summary.json,
legacy256_overfit50,full,SaMAM,SaMAM curve,SaMAM 16000,16000,0.6909235755205154,0.4356385136,0.5643614864,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_016000\summary.json,
legacy256_overfit50,transfer,SaMAM,SaMAM curve,SaMAM 16000,16000,0.6679250182211398,0.4402167747833333,0.5597832252166667,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_016000\summary.json,
legacy256_overfit50,full,SaMAM,SaMAM curve,SaMAM 17000,17000,0.6956251199245453,0.4191268921066666,0.5808731078933334,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_017000\summary.json,
legacy256_overfit50,transfer,SaMAM,SaMAM curve,SaMAM 17000,17000,0.6712488466501235,0.4241148170666666,0.5758851829333334,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_017000\summary.json,
legacy256_overfit50,full,SaMAM,SaMAM curve,SaMAM 20000,20000,0.6940622100432715,0.4095977808933333,0.5904022191066667,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_continue17k_to25k\formal_eval_750\step_020000\summary.json,
legacy256_overfit50,transfer,SaMAM,SaMAM curve,SaMAM 20000,20000,0.669205473214388,0.4161800869833333,0.5838199130166667,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_continue17k_to25k\formal_eval_750\step_020000\summary.json,
legacy256_overfit50,full,SaMAM,SaMAM curve,SaMAM 25000,25000,0.6938233523368835,0.3939582345066666,0.6060417654933333,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_continue17k_to25k\formal_eval_750\step_025000\summary.json,
legacy256_overfit50,transfer,SaMAM,SaMAM curve,SaMAM 25000,25000,0.6669773708780606,0.4021742742833333,0.5978257257166667,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_continue17k_to25k\formal_eval_750\step_025000\summary.json,
wikiart512_5style,full,SaMAM,SaMAM curve,SaMAM 1000,1000,0.7255343090693155,0.55599439024,0.44400560976,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_001000\summary.json,
wikiart512_5style,transfer,SaMAM,SaMAM curve,SaMAM 1000,1000,0.7227614752451579,0.55598611205,0.4440138879499999,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_001000\summary.json,
wikiart512_5style,full,SaMAM,SaMAM curve,SaMAM 3000,3000,0.7869106322129567,0.3429959391866666,0.6570040608133334,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_003000\summary.json,
wikiart512_5style,transfer,SaMAM,SaMAM curve,SaMAM 3000,3000,0.7806825005014739,0.3429544380666666,0.6570455619333333,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_003000\summary.json,
