run_name,status,source_dir,bundle_dir,checkpoint_count,summary_count,curve_csv_exists
aaai2027_inmortal_k_manifold_seed42_b16,linked,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_k_manifold_seed42_b16,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_k_manifold_seed42_b16,8,0,False
aaai2027_inmortal_k_spatial_seed42_b16,linked,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_k_spatial_seed42_b16,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_k_spatial_seed42_b16,8,0,False
aaai2027_inmortal_k_spatial_seed42_b32,linked,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_k_spatial_seed42_b32,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_k_spatial_seed42_b32,0,0,False
aaai2027_inmortal_k_spatial_seed42_b44,linked,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_k_spatial_seed42_b44,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_k_spatial_seed42_b44,0,0,False
aaai2027_inmortal_xpred_bary_seed42_b16,linked,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_xpred_bary_seed42_b16,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_bary_seed42_b16,8,0,False
aaai2027_inmortal_xpred_bary_seed42_b40,linked,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_xpred_bary_seed42_b40,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_bary_seed42_b40,8,0,False
aaai2027_inmortal_xpred_kmanifold_pattn_aniso_seed42_b16,linked,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_xpred_kmanifold_pattn_aniso_seed42_b16,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_aniso_seed42_b16,8,8,False
aaai2027_inmortal_xpred_kmanifold_pattn_seed42_b16,linked,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_xpred_kmanifold_pattn_seed42_b16,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_seed42_b16,8,8,False
aaai2027_inmortal_xpred_kmanifold_pattn_seed42_b16_e12_continue,linked,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_xpred_kmanifold_pattn_seed42_b16_e12_continue,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_seed42_b16_e12_continue,4,4,False
aaai2027_inmortal_xpred_kmanifold_pattn_seed42_b24,linked,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_xpred_kmanifold_pattn_seed42_b24,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_seed42_b24,0,0,False
aaai2027_inmortal_xpred_kmanifold_pattn_seed42_b32,linked,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_xpred_kmanifold_pattn_seed42_b32,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_seed42_b32,0,0,False
aaai2027_inmortal_xpred_kmanifold_pattn_stokes002_from_pattn_seed42_b16,linked,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_xpred_kmanifold_pattn_stokes002_from_pattn_seed42_b16,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_stokes002_from_pattn_seed42_b16,5,5,False
aaai2027_inmortal_xpred_kmanifold_pattn_stokes003_from_pattn_seed42_b4a2,linked,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_xpred_kmanifold_pattn_stokes003_from_pattn_seed42_b4a2,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_stokes003_from_pattn_seed42_b4a2,1,1,True
aaai2027_inmortal_xpred_kmanifold_pattn_stokes_from_pattn_seed42_b16,linked,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_xpred_kmanifold_pattn_stokes_from_pattn_seed42_b16,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_stokes_from_pattn_seed42_b16,5,4,False
aaai2027_inmortal_xpred_kmanifold_pattn_stokes_seed42_b16,linked,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_xpred_kmanifold_pattn_stokes_seed42_b16,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_stokes_seed42_b16,8,8,False
aaai2027_inmortal_xpred_kmanifold_pattn_stokes_seed42_b16_e12_continue,linked,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_xpred_kmanifold_pattn_stokes_seed42_b16_e12_continue,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_stokes_seed42_b16_e12_continue,4,4,False
aaai2027_inmortal_xpred_kmanifold_phighpass_seed42_b32,linked,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_xpred_kmanifold_phighpass_seed42_b32,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_phighpass_seed42_b32,8,8,False
aaai2027_inmortal_xpred_kmanifold_pmod_seed42_b32,linked,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_xpred_kmanifold_pmod_seed42_b32,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pmod_seed42_b32,8,8,False
