dataset,method,label,step,scope,count,clip_style,content_lpips,one_minus_lpips,summary_path,note
legacy256_overfit50,No-op,No-op,0,full,750,0.6619131387472152,0.0,1.0,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\metric_hacking_noop_20260602\legacy256_no_op_identity_5x5\summary.json,unchanged source copied to every target
legacy256_overfit50,No-op,No-op,0,transfer,600,0.6166942374408245,0.0,1.0,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\metric_hacking_noop_20260602\legacy256_no_op_identity_5x5\summary.json,unchanged source copied to every target
wikiart512_5style,No-op,No-op,0,full,750,0.7815279995600382,0.0,1.0,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\metric_hacking_noop_20260602\legacy512_no_op_identity_5x5\summary.json,unchanged source copied to every target
wikiart512_5style,No-op,No-op,0,transfer,600,0.7730263806382816,0.0,1.0,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\metric_hacking_noop_20260602\legacy512_no_op_identity_5x5\summary.json,unchanged source copied to every target
distinct5_512,No-op,No-op,0,full,750,0.6801226128737131,0.0,1.0,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\no_op_identity_5x5_summary.json,unchanged source copied to every target
distinct5_512,No-op,No-op,0,transfer,600,0.6399208252628644,0.0,1.0,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\no_op_identity_5x5_summary.json,unchanged source copied to every target
legacy256_overfit50,SaMAM,SaMAM 5000,5000,full,750,0.6848852612177531,0.5343885896533334,0.46561141034666664,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_005000\summary.json,SaMAM 256 formal_eval_750
legacy256_overfit50,SaMAM,SaMAM 5000,5000,transfer,600,0.6699102639158567,0.5360871969,0.46391280310000005,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_005000\summary.json,SaMAM 256 formal_eval_750
legacy256_overfit50,SaMAM,SaMAM 10000,10000,full,750,0.6874920881589255,0.47314609723999995,0.5268539027600001,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_010000\summary.json,SaMAM 256 formal_eval_750
legacy256_overfit50,SaMAM,SaMAM 10000,10000,transfer,600,0.6669221617778142,0.4744398921833334,0.5255601078166666,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_010000\summary.json,SaMAM 256 formal_eval_750
legacy256_overfit50,SaMAM,SaMAM 14000,14000,full,750,0.6968672373692193,0.43627805274666664,0.5637219472533334,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_014000\summary.json,SaMAM 256 formal_eval_750
legacy256_overfit50,SaMAM,SaMAM 14000,14000,transfer,600,0.671752924968799,0.4392484994666666,0.5607515005333334,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_014000\summary.json,SaMAM 256 formal_eval_750
legacy256_overfit50,SaMAM,SaMAM 15000,15000,full,750,0.6964624081055324,0.44084611385333333,0.5591538861466667,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_015000\summary.json,SaMAM 256 formal_eval_750
legacy256_overfit50,SaMAM,SaMAM 15000,15000,transfer,600,0.6738924914101759,0.44505966455,0.55494033545,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_015000\summary.json,SaMAM 256 formal_eval_750
legacy256_overfit50,SaMAM,SaMAM 16000,16000,full,750,0.6909235755205154,0.4356385136,0.5643614864,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_016000\summary.json,SaMAM 256 formal_eval_750
legacy256_overfit50,SaMAM,SaMAM 16000,16000,transfer,600,0.6679250182211398,0.4402167747833333,0.5597832252166667,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_016000\summary.json,SaMAM 256 formal_eval_750
legacy256_overfit50,SaMAM,SaMAM 17000,17000,full,750,0.6956251199245453,0.41912689210666665,0.5808731078933334,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_017000\summary.json,SaMAM 256 formal_eval_750
legacy256_overfit50,SaMAM,SaMAM 17000,17000,transfer,600,0.6712488466501235,0.42411481706666665,0.5758851829333334,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_017000\summary.json,SaMAM 256 formal_eval_750
legacy256_overfit50,SaMAM,SaMAM 20000,20000,full,750,0.6940622100432715,0.4095977808933333,0.5904022191066667,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_continue17k_to25k\formal_eval_750\step_020000\summary.json,SaMAM 256 continue formal_eval_750
legacy256_overfit50,SaMAM,SaMAM 20000,20000,transfer,600,0.669205473214388,0.4161800869833333,0.5838199130166667,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_continue17k_to25k\formal_eval_750\step_020000\summary.json,SaMAM 256 continue formal_eval_750
legacy256_overfit50,SaMAM,SaMAM 25000,25000,full,750,0.6938233523368835,0.39395823450666667,0.6060417654933333,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_continue17k_to25k\formal_eval_750\step_025000\summary.json,SaMAM 256 continue formal_eval_750
legacy256_overfit50,SaMAM,SaMAM 25000,25000,transfer,600,0.6669773708780606,0.4021742742833333,0.5978257257166667,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_continue17k_to25k\formal_eval_750\step_025000\summary.json,SaMAM 256 continue formal_eval_750
wikiart512_5style,SaMAM,SaMAM 1000,1000,full,750,0.7255343090693155,0.55599439024,0.44400560976000003,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_001000\summary.json,SaMAM 512 formal_eval_750
wikiart512_5style,SaMAM,SaMAM 1000,1000,transfer,600,0.7227614752451579,0.55598611205,0.44401388794999996,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_001000\summary.json,SaMAM 512 formal_eval_750
wikiart512_5style,SaMAM,SaMAM 3000,3000,full,750,0.7869106322129567,0.34299593918666665,0.6570040608133334,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_003000\summary.json,SaMAM 512 formal_eval_750
wikiart512_5style,SaMAM,SaMAM 3000,3000,transfer,600,0.7806825005014739,0.34295443806666664,0.6570455619333333,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_003000\summary.json,SaMAM 512 formal_eval_750
wikiart512_5style,SaMAM,SaMAM 5000,5000,full,750,0.7912443998654684,0.28329175086666664,0.7167082491333334,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_005000\summary.json,SaMAM 512 formal_eval_750
wikiart512_5style,SaMAM,SaMAM 5000,5000,transfer,600,0.7845889044801393,0.2833103877333334,0.7166896122666666,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_005000\summary.json,SaMAM 512 formal_eval_750
wikiart512_5style,SaMAM,SaMAM 6000,6000,full,750,0.788130970875422,0.2646025424533333,0.7353974575466666,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_006000\summary.json,SaMAM 512 formal_eval_750
wikiart512_5style,SaMAM,SaMAM 6000,6000,transfer,600,0.7813237812121709,0.26466457206666666,0.7353354279333333,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_006000\summary.json,SaMAM 512 formal_eval_750
wikiart512_5style,SaMAM,SaMAM 7000,7000,full,750,0.7848497724533081,0.24610325337333336,0.7538967466266666,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_007000\summary.json,SaMAM 512 formal_eval_750
wikiart512_5style,SaMAM,SaMAM 7000,7000,transfer,600,0.7776414534449577,0.2462175086666667,0.7537824913333333,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_007000\summary.json,SaMAM 512 formal_eval_750
wikiart512_5style,SaMAM,SaMAM 8000,8000,full,750,0.787915860970815,0.19064115438666665,0.8093588456133334,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_008000\summary.json,SaMAM 512 formal_eval_750
wikiart512_5style,SaMAM,SaMAM 8000,8000,transfer,600,0.7804032136003175,0.19083454448333334,0.8091654555166666,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_008000\summary.json,SaMAM 512 formal_eval_750
wikiart512_5style,SaMAM,SaMAM 9000,9000,full,750,0.7868264133930208,0.16611803426400001,0.8338819657359999,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_009000\summary.json,SaMAM 512 formal_eval_750
wikiart512_5style,SaMAM,SaMAM 9000,9000,transfer,600,0.7788932804266613,0.16630552142666666,0.8336944785733333,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_009000\summary.json,SaMAM 512 formal_eval_750
wikiart512_5style,SaMAM,SaMAM 10000,10000,full,750,0.7850886265436807,0.16433595481733335,0.8356640451826667,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_010000\summary.json,SaMAM 512 formal_eval_750
wikiart512_5style,SaMAM,SaMAM 10000,10000,transfer,600,0.7773564200599988,0.16439261076166667,0.8356073892383333,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_010000\summary.json,SaMAM 512 formal_eval_750
distinct5_512,SaMAM,SaMAM 250,250,full,750,0.5479905153512955,0.60062504418691,0.39937495581309,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,"cumulative train wall, eval excluded"
distinct5_512,SaMAM,SaMAM 500,500,full,750,0.5629966173171997,0.5424447286427021,0.4575552713572979,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,"cumulative train wall, eval excluded"
distinct5_512,SaMAM,SaMAM 750,750,full,750,0.5657316401004792,0.5359654448231062,0.46403455517689385,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,"cumulative train wall, eval excluded"
distinct5_512,SaMAM,SaMAM 1000,1000,full,750,0.5659095385869344,0.460542116244634,0.5394578837553661,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,"cumulative train wall, eval excluded"
distinct5_512,SaMAM,SaMAM 1250,1250,full,750,0.5780386782089869,0.4429448606769244,0.5570551393230756,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,"cumulative train wall, eval excluded"
distinct5_512,SaMAM,SaMAM 1500,1500,full,750,0.5805252346197765,0.4128264354666074,0.5871735645333926,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,"cumulative train wall, eval excluded"
distinct5_512,SaMAM,SaMAM 1750,1750,full,750,0.5776164135138194,0.37724381402134893,0.622756185978651,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,"cumulative train wall, eval excluded"
distinct5_512,SaMAM,SaMAM 2000,2000,full,750,0.5833460243542989,0.36215300556023916,0.6378469944397609,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,"cumulative train wall, eval excluded"
distinct5_512,SaMAM,SaMAM 2250,2250,full,750,0.5810966821114222,0.35382040921847024,0.6461795907815298,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,"cumulative train wall, eval excluded; 2250 segment train wall 2938.06s"
distinct5_512,LANCET,Baseline e1,1,full,750,0.6869580874443055,0.44675554204,0.55324445796,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,baseline fast point
distinct5_512,LANCET,Baseline e8,8,full,750,0.687648866891861,0.45274286515999995,0.54725713484,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,baseline best style
distinct5_512,LANCET,C e2,2,full,750,0.6906585683425267,0.4225928860933334,0.5774071139066665,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,content-guided spatial
distinct5_512,LANCET,D e1,1,full,750,0.6897613146305084,0.41559896694666665,0.5844010330533334,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,VQ + spatial
distinct5_512,LANCET,E e1,1,full,750,0.697346945643425,0.3581669207866666,0.6418330792133333,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,prototype queue style point
