epoch,checkpoint,checkpoint_sha256,clip_s,lpips,dino_s,dino_c,eval_subdir,config_override
1,epoch_0001.pt,1bbebc552f4ff8c88f80b289654774cf87a1f962a3984d1ea534e924ed085bcd,0.7149732714,0.2568034627,0.4855180160,0.8032918425,paper_eval_adain20,configs/eval_adain_20.json
2,epoch_0002.pt,f48d571485ea43647edc1cea00f17e7e0e5ecc1242a0c970eae82e4fd35c2c3f,0.7163448886,0.2674063948,0.4854840183,0.7941120822,paper_eval_adain20,configs/eval_adain_20.json
3,epoch_0003.pt,6136dcb64cb960246df8baefa6c59adbf64217209459d6f36c2c021d5578b9fa,0.7133743820,0.2634569792,0.4857787312,0.8157376178,paper_eval_adain20,configs/eval_adain_20.json
4,epoch_0004.pt,70a0753230f3c553786d8e0deabf446bf69f3397a5d795d92d718a8a94668d31,0.7095570470,0.2520395728,0.4862073142,0.8258569347,paper_eval_adain20,configs/eval_adain_20.json
5,epoch_0005.pt,dafc4a93a8bd93ae97066b9ed7a0e1e9b570d937b898844a20d49d1d427a5489,0.7085358367,0.2566623766,0.4862336465,0.8270162986,paper_eval_adain20,configs/eval_adain_20.json
6,epoch_0006.pt,67ca62f377f1606f2369904ebd9535f250d5b98caf254cb50ec834a788aec621,0.7073850305,0.2507627213,0.4867438668,0.8280021926,paper_eval_adain20,configs/eval_adain_20.json
7,epoch_0007.pt,fc8c10d3f14ebc74a73a72d082454ea614225656b96edecd536b821a99cfc9a6,0.7072332798,0.2590067602,0.4866481960,0.8284719922,paper_eval_adain20,configs/eval_adain_20.json
8,epoch_0008.pt,7afd89bbd267fadd5e2a09cc9dfc1e30194dc59f57edb7b150a4c2d7cf3cdb18,0.7067835402,0.2614264220,0.4855900403,0.8284565219,paper_eval_adain20,configs/eval_adain_20.json
9,epoch_0009.pt,49f3e316013582ccf60b5f06dd1956767ca578590e421d999801abaa3d86756b,0.7065964026,0.2533590366,0.4849941378,0.8277557479,paper_eval_adain20,configs/eval_adain_20.json
10,epoch_0010.pt,5002d9e3d46f6879ae6b794b36af5df76036a2ababba8f31f24ac895c2d23576,0.7064605640,0.2590225174,0.4835965701,0.8276307182,paper_eval_adain20,configs/eval_adain_20.json
11,epoch_0011.pt,59f4468aa71ea09008fd8fc993a374ac0549e42370df90bbc86f6b7263818713,0.7073032781,0.2658789325,0.4841989329,0.8289103997,paper_eval_adain20,configs/eval_adain_20.json
12,epoch_0012.pt,0ba239f82484408737df2a964b01611614c4f8125d9a46011ad3513c2de7ddbc,0.7059497213,0.2602470919,0.4840908362,0.8287613566,paper_eval_adain20,configs/eval_adain_20.json
13,epoch_0013.pt,7c008ba9ab2e67390600648b382f582b7c11863442e2b57491f74be2c0295b8c,0.7071595548,0.2635654803,0.4844596551,0.8269870023,paper_eval_adain20,configs/eval_adain_20.json
14,epoch_0014.pt,d00f9cdb800b3147f7289026f2e52981e73bcdbc9254e0cfe23002cce9036ccb,0.7066138717,0.2633999408,0.4841513496,0.8276983993,paper_eval_adain20,configs/eval_adain_20.json
15,epoch_0015.pt,e4bf49e13020c288226cfd4e48189b4e72bfec953b3a64bf7a11b084aaed4e11,0.7064600668,0.2614719156,0.4842280252,0.8270268350,paper_eval_adain20,configs/eval_adain_20.json
