epoch,lh_gate_tanh,hl_gate_tanh,hh_gate_tanh
1,0.1731432985,0.1729922310,0.1780808750
2,0.1724780115,0.1720503152,0.1780808750
3,0.1721701432,0.1718470861,0.1780808750
4,0.1746088403,0.1768355608,0.1780808750
5,0.1781351405,0.1808491001,0.1780808750
6,0.1804719797,0.1834601463,0.1780808750
7,0.1824742936,0.1856891388,0.1780808750
8,0.1839832183,0.1874380230,0.1780808750
9,0.1851956487,0.1885648245,0.1780808750
10,0.1862083700,0.1896431502,0.1780808750
11,0.1869809461,0.1903548628,0.1780808750
12,0.1874697111,0.1908378993,0.1780808750
13,0.1879100263,0.1912067416,0.1780808750
14,0.1881369543,0.1914113260,0.1780808750
15,0.1882952186,0.1915518452,0.1780808750
