epoch,loss,semigroup,swd,identity,identity_ratio,delta_tv,delta_l1,output_tv,train_num_steps,train_step_size,train_style_strength,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec
1,16.140832901000977,0.0,0.6428212523460388,0.13738411664962769,0.20185546576976776,0.03217078372836113,0.0,0.0,1.0,1.0,1.0,0.0002,3.717287400009809,0.028913300164276734,68.14663930010283,33.96200030014734,0.47834319982212037,7.050950499629835,102.61589610023657,113.4999487400055,10240,90.22030506336866,99.78960754771788
2,13.0667142868042,0.0,0.5199205279350281,0.1340498924255371,0.20136718451976776,0.03355516120791435,0.0,0.0,1.0,1.0,1.0,0.00019982240555854446,0.11511019986937754,0.028175899758934975,60.531959500105586,22.792072800191818,0.4113413999439217,7.010638799896697,83.76354960000026,90.89280676841736,10240,112.66018031647039,122.24887852651325
3,13.239168167114258,0.0,0.5266753435134888,0.14068405330181122,0.20166015625,0.038972556591033936,0.0,0.0,1.0,1.0,1.0,0.00019929032311830303,0.11655900019104593,0.026966100122081116,60.54514280008152,22.71576069985167,0.4098253999836743,7.054828099964652,83.69769500003895,90.87385535240173,10240,112.68367519227701,122.34506577505194
4,12.673585891723633,0.0,0.503699779510498,0.15783219039440155,0.20136718451976776,0.04354148358106613,0.0,0.0,1.0,1.0,1.0,0.00019840585256558198,0.11942949987133034,0.026344699930632487,60.64099590003025,22.956362600059947,0.40808229995309375,6.94464270005119,84.03178549997392,91.10019946098328,10240,112.40370559655716,121.85865073643089
5,12.385944366455078,0.0,0.4921940863132477,0.15766848623752594,0.20136718451976776,0.045118171721696854,0.0,0.0,1.0,1.0,1.0,0.0001971724845015768,0.1050970000505913,0.025990699999965727,60.8859383999079,22.629851499863435,0.39829460001783445,7.040186500205891,83.94007519978913,91.08838677406311,10240,112.41828253473669,121.99178968600357
6,12.170148849487305,0.0,0.4835287630558014,0.15932683646678925,0.20175781846046448,0.04526473209261894,0.0,0.0,1.0,1.0,1.0,0.00019559508646656382,0.10549950017593801,0.027614799939328805,60.63987069998984,22.604992499866057,0.4066566000401508,7.036857300176052,83.67913459983538,90.82504081726074,10240,112.74423779894356,122.3722024489023
7,12.237826347351074,0.0,0.4860594868659973,0.16801659762859344,0.20146484673023224,0.04664381220936775,0.0,0.0,1.0,1.0,1.0,0.00019367988372994262,0.10799730019061826,0.02626310006598942,60.436522300034994,22.63900779990945,0.4080956000252627,7.036361399979796,83.5098888000357,90.65712881088257,10240,112.95305878660014,122.62020878173679
8,12.129652976989746,0.0,0.48176226019859314,0.16632823646068573,0.201171875,0.04866497591137886,0.0,0.0,1.0,1.0,1.0,0.00019143443472194178,0.10583840022445656,0.026708599994890392,60.617486300179735,22.592681000125594,0.4020484998181928,7.025086399749853,83.63892440011841,90.77324414253235,10240,112.80857147642679,122.43103403641454
9,11.744348526000977,0.0,0.4661475121974945,0.17605069279670715,0.20156250894069672,0.052643146365880966,0.0,0.0,1.0,1.0,1.0,0.00018886760120394772,0.11290040009771474,0.02748779993271455,60.541539999918314,22.56742189990473,0.4072918999881949,7.038562100206036,83.54374159974395,90.69887518882751,10240,112.90106937579073,122.57052178797058
10,12.490357398986816,0.0,0.4960319697856903,0.17398691177368164,0.20175781846046448,0.051333535462617874,0.0,0.0,1.0,1.0,1.0,0.00018598951329518135,0.12220439987140708,0.026163799891946837,60.52315279995673,22.62461379999877,0.4135649001109414,7.030896899988875,83.58749529995839,90.74378824234009,10240,112.84518971869554,122.50636250378348
11,11.477362632751465,0.0,0.4558911919593811,0.15521924197673798,0.20224609971046448,0.049390412867069244,0.0,0.0,1.0,1.0,1.0,0.00018281152949374527,0.13593109999783337,0.026797400321811438,60.640018899866845,22.597976799967,0.40595479993498884,7.039712199853966,83.67074790009065,90.85050988197327,10240,112.71263103864914,122.3844683715192
12,11.602202415466309,0.0,0.4605279862880707,0.17259535193443298,0.201171875,0.05413178354501724,0.0,0.0,1.0,1.0,1.0,0.00017934619184982104,0.1311986998480279,0.02574910005205311,60.735321100160945,22.594836799777113,0.41042859994922765,7.024548800167395,83.76633559993934,90.92603993415833,10240,112.61900339457237,122.24481262861181
13,12.081685066223145,0.0,0.4798566401004791,0.16536882519721985,0.20146484673023224,0.05172201618552208,0.0,0.0,1.0,1.0,1.0,0.00017560717646792704,0.12140130015905015,0.02546559984330088,60.588700599910226,22.625022200110834,0.4030807998497039,7.020306600141339,83.64226919971406,90.78780961036682,10240,112.79047312570829,122.42613809950299
14,11.709763526916504,0.0,0.4648434817790985,0.17196319997310638,0.20068359375,0.05389273911714554,0.0,0.0,1.0,1.0,1.0,0.000171609239533582,0.13003519989433698,0.024997299973620102,60.63905410002917,22.693788699776633,0.40880450018448755,7.018456999940099,83.76664459996391,90.91951274871826,10240,112.62708840401653,122.24436168957413
15,11.627034187316895,0.0,0.46152034401893616,0.17243656516075134,0.20166015625,0.05610738322138786,0.0,0.0,1.0,1.0,1.0,0.0001673681590773821,0.1068672000837978,0.028420600079698488,60.56204360013362,22.64701390004484,0.4114043000154197,7.045355599897448,83.64888240027358,90.8049623966217,10240,112.76916734212499,122.41645920623213
16,11.649691581726074,0.0,0.4622498154640198,0.1810937225818634,0.20039062201976776,0.05802688002586365,0.0,0.0,1.0,1.0,1.0,0.00016290067270632261,0.10400109994225204,0.026209900010144338,60.6628544999985,22.619111000036355,0.4061988999019377,7.031283099786378,83.71437429994694,90.85386419296265,10240,112.7084697052783,122.32068967403714
17,11.387541770935059,0.0,0.45176002383232117,0.18117837607860565,0.20175781846046448,0.059090644121170044,0.0,0.0,1.0,1.0,1.0,0.00015822441154810971,0.11972649997915141,0.026716999942436814,60.5439924999373,22.617023100028746,0.4106167999270838,7.015871900133789,83.59834939983557,90.73826837539673,10240,112.85205441254078,122.49045673167491
18,10.913481712341309,0.0,0.43275806307792664,0.1830926388502121,0.20185546576976776,0.059728581458330154,0.0,0.0,1.0,1.0,1.0,0.0001533578306691544,0.12365989995305426,0.026567499939119443,60.51735550016747,22.623703799996292,0.40515840009902604,7.012726199784083,83.5727852002019,90.71234178543091,10240,112.88430877709544,122.52792551390594
19,11.094342231750488,0.0,0.43983379006385803,0.1908475011587143,0.20175781846046448,0.061492543667554855,0.0,0.0,1.0,1.0,1.0,0.00014832013624085656,0.11831400002120063,0.024791899923002347,59.13537049997831,22.14656299998751,0.4022057999391109,6.834336400177563,81.70893119982793,88.66561365127563,10240,115.49009337796059,125.32289738262497
20,11.263487815856934,0.0,0.4465661942958832,0.1924557387828827,0.20166015625,0.0619758777320385,0.0,0.0,1.0,1.0,1.0,0.00014313120974162105,0.11609680004767142,0.023808799916878343,58.18983470008243,21.750556900020456,0.3938956998172216,6.71909180021612,80.35809609983698,87.19692611694336,10240,117.43533236787175,127.42959946783473
21,11.0514554977417,0.0,0.4380614459514618,0.19335989654064178,0.20146484673023224,0.06479950994253159,0.0,0.0,1.0,1.0,1.0,0.0001378115294937453,0.12327789986738935,0.024209000082919374,58.09498119994532,21.72318469992024,0.39455659993109293,6.742257100122515,80.23693149987957,87.10659265518188,10240,117.55711809938225,127.62202901559576
22,11.010741233825684,0.0,0.436174213886261,0.20614655315876007,0.20166015625,0.06622768938541412,0.0,0.0,1.0,1.0,1.0,0.00013238208984483695,0.10440720018232241,0.026940200215904042,58.073254699877,21.85571299996809,0.39641670006676577,6.7428968999302015,80.35232460012776,87.20284008979797,10240,117.42736807029749,127.43875240647013
23,11.121026992797852,0.0,0.440569132566452,0.20702044665813446,0.20195312798023224,0.06576844304800034,0.0,0.0,1.0,1.0,1.0,0.00012686431831271527,0.1053860999236349,0.02461829999811016,58.11386979991221,21.699559199885698,0.38838010004838,6.756167499930598,80.2264273998444,87.09180498123169,10240,117.57707860351181,127.63873865359061
24,10.749310493469238,0.0,0.425497829914093,0.21696336567401886,0.20175781846046448,0.06771837919950485,0.0,0.0,1.0,1.0,1.0,0.00012127999102078744,0.0999746999295894,0.02579800013336353,58.045800899824826,21.74490099985269,0.3932120000536088,6.777039400039939,80.20971189986449,87.09057426452637,10240,117.57874013894228,127.66533824213
25,10.521562576293945,0.0,0.4164070188999176,0.21594810485839844,0.20175781846046448,0.06822424381971359,0.0,0.0,1.0,1.0,1.0,0.00011565114675763825,0.10621090000495315,0.02481979998992756,58.25792740006,21.67781549989013,0.3894047998182941,6.7632159002823755,80.34996749975835,87.22303986549377,10240,117.40017334629765,127.442490876313
26,10.831857681274414,0.0,0.428697407245636,0.22192656993865967,0.2021484375,0.0691673681139946,0.0,0.0,1.0,1.0,1.0,0.00011000000000000003,0.11237220003386028,0.024183100031223148,58.24805150003522,21.74243560002651,0.3890312001167331,6.731049099966185,80.40370140020968,87.25165486335754,10240,117.36167085927008,127.35732089037005
27,10.59106731414795,0.0,0.4192165434360504,0.21437707543373108,0.20107422769069672,0.0692305639386177,0.0,0.0,1.0,1.0,1.0,0.00010434885324236183,0.10689149991958402,0.024414700194029137,58.03442219996941,21.710510100063402,0.3889428999973461,6.747590099694207,80.15828990022419,87.01704621315002,10240,117.67809234660658,127.74723628393374
28,10.586909294128418,0.0,0.4189574420452118,0.21889205276966095,0.201171875,0.0705573782324791,0.0,0.0,1.0,1.0,1.0,9.872000897921265e-05,0.09522770004696213,0.025742700061528012,58.14988520005136,21.7156754998432,0.393240599980345,6.7313423001614865,80.28454399993643,87.11494851112366,10240,117.54584230388956,127.54634316672593
29,10.683147430419922,0.0,0.42266756296157837,0.22579288482666016,0.20156250894069672,0.07118653506040573,0.0,0.0,1.0,1.0,1.0,9.313568168728481e-05,0.10488809979869984,0.024946899968199432,58.16807330001029,21.733434000081616,0.39373679997515865,6.739650699892081,80.32019100003527,87.16919445991516,10240,117.47269277231733,127.48973667151145
30,10.378310203552246,0.0,0.4106105864048004,0.2190122902393341,0.20156250894069672,0.07079587131738663,0.0,0.0,1.0,1.0,1.0,8.76179101551631e-05,0.10081899957731366,0.0245987999078352,58.03916119999485,21.798289999889676,0.39819089983939193,6.72555950016249,80.26024089963175,87.09064722061157,10240,117.57864164289411,127.58496467516811
31,10.505805015563965,0.0,0.4155619740486145,0.22635816037654877,0.20166015625,0.07150088995695114,0.0,0.0,1.0,1.0,1.0,8.218847050625479e-05,0.12157220009248704,0.02564090018859133,58.02019519993337,21.75256750022527,0.39210369996726513,6.748937199765351,80.1905073003145,87.06483674049377,10240,117.61349797876994,127.69591245571084
32,10.438926696777344,0.0,0.4129451811313629,0.22332189977169037,0.20166015625,0.07273242622613907,0.0,0.0,1.0,1.0,1.0,7.686879025837904e-05,0.14373290000366978,0.025925399910192937,57.96559819995309,21.859035699919332,0.39301559995510615,6.74337990040658,80.24357489973772,87.13363027572632,10240,117.520640051338,127.61146313327411
33,10.437423706054688,0.0,0.41283342242240906,0.22591018676757812,0.20175781846046448,0.07272131741046906,0.0,0.0,1.0,1.0,1.0,7.167986375914349e-05,0.1062816001358442,0.023840200126869604,58.03009620012017,21.78791709980578,0.3887600997404661,6.74238060018979,80.23061359979329,87.08282804489136,10240,117.58919904072548,127.63207883563268
34,10.494382858276367,0.0,0.41497889161109924,0.23242254555225372,0.20087890326976776,0.07399057596921921,0.0,0.0,1.0,1.0,1.0,6.664216933084564e-05,0.09943469980498776,0.024919999908888713,58.21148489997722,21.815642600064166,0.3946060001035221,6.697878999839304,80.4466535000538,87.24761605262756,10240,117.36710369052669,127.28932223380991
35,10.595914840698242,0.0,0.4191353917121887,0.22771988809108734,0.20224609971046448,0.07335204631090164,0.0,0.0,1.0,1.0,1.0,6.177558845189031e-05,0.11442050008918159,0.024577800242695957,58.15268330008257,21.721166499803076,0.39240849995985627,6.743705399945611,80.2908361000882,87.15141320228577,10240,117.49666039530648,127.53634782473951
36,10.241955757141113,0.0,0.4049413800239563,0.22950080037117004,0.20205079019069672,0.07345455139875412,0.0,0.0,1.0,1.0,1.0,5.709932729367745e-05,0.11666240001795813,0.02345089995651506,58.05975909996778,21.722459999931743,0.39463249989785254,6.734058300295146,80.20030249975389,87.05457973480225,10240,117.62735551873905,127.68031641815097
37,10.147574424743652,0.0,0.4012003540992737,0.22776198387145996,0.20175781846046448,0.07370992004871368,0.0,0.0,1.0,1.0,1.0,5.263184092261795e-05,0.11458160009351559,0.025512800202704966,58.14817559992662,21.80691729989485,0.3971593000460416,6.746923599857837,80.37776500007021,87.24341082572937,10240,117.37276091204899,127.39841671376475
38,10.441508293151855,0.0,0.4129202365875244,0.22955851256847382,0.20136718451976776,0.07440140098333359,0.0,0.0,1.0,1.0,1.0,4.8390760466418043e-05,0.10727709994534962,0.024247499939519912,58.00948449980933,21.774062199809123,0.39252460005809553,6.740755800274201,80.20031879961607,87.05161595344543,10240,117.63136028946639,127.68029046848403
39,10.257425308227539,0.0,0.405478298664093,0.2333810180425644,0.20224609971046448,0.07558842748403549,0.0,0.0,1.0,1.0,1.0,4.4392823532073005e-05,0.11899389998870902,0.0268851000291761,59.615613499860046,22.299625200015726,0.4008312000078149,6.937392500200076,82.34295499991276,89.40361309051514,10240,114.53675803496543,124.35793687524146
40,10.481527328491211,0.0,0.41436439752578735,0.2372320145368576,0.201171875,0.07610087841749191,0.0,0.0,1.0,1.0,1.0,4.0653808150179e-05,0.11011479998705909,0.025401499908184633,60.5231260000146,22.673240800068015,0.4057055000739638,7.038303299836116,83.62747380006476,90.78033447265625,10240,112.79976064732796,122.44779777135956
41,10.061297416687012,0.0,0.3974858820438385,0.24060265719890594,0.20175781846046448,0.07698259502649307,0.0,0.0,1.0,1.0,1.0,3.7188470506254756e-05,0.11354120005853474,0.026276800024788827,60.5210143000877,22.683920200099237,0.4112386001215782,7.02188029960962,83.6424499003333,90.78210163116455,10240,112.79756489449584,122.42587361084931
42,10.136391639709473,0.0,0.40053001046180725,0.2385881394147873,0.20175781846046448,0.07696444541215897,0.0,0.0,1.0,1.0,1.0,3.401048670481868e-05,0.1254548001452349,0.025514199893223122,60.46765020003659,22.68528539984254,0.40483870010939427,7.014850000326987,83.58328849988175,90.7276668548584,10240,112.86524116597688,122.51252832693329
43,9.801770210266113,0.0,0.387238472700119,0.2338954657316208,0.20195312798023224,0.07725226134061813,0.0,0.0,1.0,1.0,1.0,3.113239879605229e-05,0.11253049998776987,0.026451799931237474,60.57997389999218,22.786186200013617,0.41560989993740804,7.007621600059792,83.80822179987445,90.93285655975342,10240,112.61056110418278,122.18371634768823
44,9.780022621154785,0.0,0.38637250661849976,0.2336650937795639,0.20156250894069672,0.0775703489780426,0.0,0.0,1.0,1.0,1.0,2.856556527805827e-05,0.1126342999341432,0.026731700141681358,60.52463269990403,22.663724300044123,0.41123900009552017,7.05005059967516,83.62632770018536,90.79326486587524,10240,112.78369618194792,122.44947591997757
45,9.926787376403809,0.0,0.39220890402793884,0.23535242676734924,0.201171875,0.07777247577905655,0.0,0.0,1.0,1.0,1.0,2.632011627005739e-05,0.1389200999692548,0.027011000085622072,60.50809080002364,22.73051999992458,0.41220849996898323,7.030355900002178,83.67783030000282,90.85049843788147,10240,112.71264523663064,122.37410988415236
46,10.039274215698242,0.0,0.39667651057243347,0.23690147697925568,0.20136718451976776,0.07815051078796387,0.0,0.0,1.0,1.0,1.0,2.440491353343619e-05,0.10562029996071942,0.026625200029229745,60.57961369989789,22.656674700032454,0.4045353999536019,7.016525400074897,83.66744899991318,90.79335737228394,10240,112.78358127029585,122.3892938341006
47,9.718199729919434,0.0,0.38374069333076477,0.2414529174566269,0.20205079019069672,0.07910361886024475,0.0,0.0,1.0,1.0,1.0,2.2827515498423218e-05,0.12237459991592914,0.02706300001591444,60.492762099864194,22.63761689994135,0.4059504999022465,7.038431300112279,83.5633924997237,90.72755980491638,10240,112.86537433628972,122.54169790957036
48,10.267573356628418,0.0,0.4056823253631592,0.24308054149150848,0.20156250894069672,0.07946638017892838,0.0,0.0,1.0,1.0,1.0,2.1594147434418017e-05,0.12127040009363554,0.025752499816007912,60.65869809995638,22.73908149986528,0.4108828001189977,7.029404100350803,83.83441489975667,90.98845171928406,10240,112.54175454696454,122.14554144910865
49,10.032145500183105,0.0,0.3962204158306122,0.24526090919971466,0.20156250894069672,0.08013385534286499,0.0,0.0,1.0,1.0,1.0,2.0709676881697002e-05,0.10343920002924278,0.027012699923943728,59.990274299896555,22.596602099889424,0.41497809981228784,6.991846300341422,83.02886719952221,90.12868881225586,10240,113.61532199065506,123.3305998911536
50,9.969412803649902,0.0,0.3937813937664032,0.24175624549388885,0.201171875,0.07998157292604446,0.0,0.0,1.0,1.0,1.0,2.0177594441455562e-05,0.10738469994976185,0.028200500091770664,60.28301860002102,22.675725100038107,0.40814280009362847,6.96416899972246,83.39508700024453,90.46956443786621,10240,113.18723665385558,122.7890079420383
