epoch,loss,semigroup,swd,identity,identity_ratio,delta_tv,delta_l1,output_tv,train_num_steps,train_step_size,train_style_strength,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec
1,23.5926456451416,0.0,0.9358168244361877,0.1284557729959488,0.20196039974689484,0.039175134152173996,0.1290588229894638,0.0,1.0,1.0,1.0,0.0002,3.4822702999517787,0.016681100038113073,65.27391100002569,30.768996899947524,0.698289800027851,5.637045299838064,96.75787880003918,105.9763810634613,10304,97.22921179795438,106.49261980302764
2,19.430194854736328,0.0,0.7618223428726196,0.25107094645500183,0.20176631212234497,0.05603863298892975,0.2613738477230072,0.0,1.0,1.0,1.0,0.00019996744587267795,0.15961019997484982,0.016875100118340924,58.7183362999931,16.93665159997181,0.08153180006775074,5.630041499854997,75.753394800151,81.5467483997345,10304,126.35696949546977,136.0203067754722
3,14.872191429138184,0.0,0.577627420425415,0.28160130977630615,0.20176628232002258,0.06324156373739243,0.2971574366092682,0.0,1.0,1.0,1.0,0.00019986980580168453,0.15269950003130361,0.016769399895565584,58.75155570002971,16.91194499997073,0.07992179994471371,5.64440380022279,75.76019189984072,81.5608458518982,10304,126.33512922009736,136.00810322157676
4,13.461349487304688,0.0,0.5223013758659363,0.2634255290031433,0.20137812197208405,0.06021749600768089,0.28331896662712097,0.0,1.0,1.0,1.0,0.0001997071467046472,0.14961020005284809,0.01956610000343062,58.68843599999673,16.95054340022034,0.08010809996630996,5.616041699802736,75.73865360018681,81.508220911026,10304,126.41669619126884,136.04678074148634
5,11.251721382141113,0.0,0.43655040860176086,0.22026003897190094,0.20108695328235626,0.05413787439465523,0.24333073198795319,0.0,1.0,1.0,1.0,0.00019947958005998598,0.14470090009854175,0.016804899962153286,58.75833170005353,16.932029399933526,0.08018720001564361,5.639405100082513,75.78735319996485,81.57635235786438,10304,126.31111470635204,135.95935950966523
6,10.736238479614258,0.0,0.4167124330997467,0.20748935639858246,0.20137810707092285,0.051045045256614685,0.23221588134765625,0.0,1.0,1.0,1.0,0.00019918726183051203,0.14931900007650256,0.0171125000633765,58.71685920000891,17.021753100067144,0.08037559990771115,5.636711099941749,75.83610040004714,81.62559294700623,10304,126.23491760347352,135.87196527306662
7,10.738537788391113,0.0,0.4171288311481476,0.20214757323265076,0.2015722095966339,0.049627821892499924,0.23066435754299164,0.0,1.0,1.0,1.0,0.00019883039235653812,0.1481274999678135,0.020908100152155384,58.84851310000522,16.99202469998272,0.08031379987369291,5.622676600061823,75.94175970001379,81.71757960319519,10304,126.09281931787795,135.68292387091117
8,10.428457260131836,0.0,0.4044814109802246,0.206170916557312,0.20128107070922852,0.0507633239030838,0.23136954009532928,0.0,1.0,1.0,1.0,0.0002,0.1731244999973569,0.018531200039433315,62.12882870002068,18.069117100007134,0.08391120002488606,6.037249299843097,80.30038820009213,86.5140335559845,10304,119.10206444521086,128.31818414531872
9,9.949295997619629,0.0,0.3856483995914459,0.2006087601184845,0.2011840045452118,0.05143117532134056,0.22999101877212524,0.0,1.0,1.0,1.0,0.00019951070924164747,0.19347430008929223,0.017925299936905503,98.04568029995426,25.203870699944673,0.08252319993334822,9.25162760016974,123.34999949976918,132.7991235256195,10304,77.59087354226521,83.53465781748366
10,10.668225288391113,0.0,0.41501644253730774,0.190607950091362,0.2018633782863617,0.049386415630578995,0.22188661992549896,0.0,1.0,1.0,1.0,0.0002,0.17475640008342452,0.016562700126087293,97.81708460007212,25.417501900024945,0.08301709999796003,9.200173899851507,123.33416630022111,132.71200251579285,10304,77.64180936666835,83.54538169835205
