src_style,tgt_style,src_image,gen_image,content_lpips,clip_dir,clip_style,clip_content,pred_style,class_correct
Hayao,Hayao,1116.jpg,Hayao_1116_to_Hayao.jpg,0.3211857,0.21730709075927734,0.8331021666526794,0.965463,Hayao,1
Hayao,cezanne,1116.jpg,Hayao_1116_to_cezanne.jpg,0.34252796,0.4412221908569336,0.5607003569602966,0.9030827,Hayao,0
Hayao,monet,1116.jpg,Hayao_1116_to_monet.jpg,0.38490337,0.570033073425293,0.6022603511810303,0.8308724,Hayao,0
Hayao,photo,1116.jpg,Hayao_1116_to_photo.jpg,0.3979554,0.362334668636322,0.4945703446865082,0.8443104,photo,1
Hayao,vangogh,1116.jpg,Hayao_1116_to_vangogh.jpg,0.62203544,0.5744741559028625,0.6553075313568115,0.7865522,vangogh,1
Hayao,Hayao,1165.jpg,Hayao_1165_to_Hayao.jpg,0.36911494,0.37895169854164124,0.7986947298049927,0.8275232,Hayao,1
Hayao,cezanne,1165.jpg,Hayao_1165_to_cezanne.jpg,0.5483997,0.7011979818344116,0.724865734577179,0.6856312,cezanne,1
Hayao,monet,1165.jpg,Hayao_1165_to_monet.jpg,0.40475127,0.6675276756286621,0.6670213341712952,0.7550856,Hayao,0
Hayao,photo,1165.jpg,Hayao_1165_to_photo.jpg,0.593978,0.5720639228820801,0.6523343324661255,0.7047459,photo,1
Hayao,vangogh,1165.jpg,Hayao_1165_to_vangogh.jpg,0.4739561,0.6376869082450867,0.6910181045532227,0.73874485,vangogh,1
Hayao,Hayao,1174.jpg,Hayao_1174_to_Hayao.jpg,0.32597655,0.09467533230781555,0.8436956405639648,0.95624673,Hayao,1
Hayao,cezanne,1174.jpg,Hayao_1174_to_cezanne.jpg,0.4712366,0.44939571619033813,0.5713561773300171,0.8372824,cezanne,1
Hayao,monet,1174.jpg,Hayao_1174_to_monet.jpg,0.4867167,0.6343694925308228,0.6497780680656433,0.7453369,vangogh,0
Hayao,photo,1174.jpg,Hayao_1174_to_photo.jpg,0.442963,0.33536404371261597,0.49226272106170654,0.8308573,photo,1
Hayao,vangogh,1174.jpg,Hayao_1174_to_vangogh.jpg,0.59225065,0.47760576009750366,0.6010554432868958,0.83808184,vangogh,1
Hayao,Hayao,1323.jpg,Hayao_1323_to_Hayao.jpg,0.5404354,0.5264309644699097,0.7348946332931519,0.70445085,Hayao,1
Hayao,cezanne,1323.jpg,Hayao_1323_to_cezanne.jpg,0.5986102,0.5476712584495544,0.6337567567825317,0.7679506,cezanne,1
Hayao,monet,1323.jpg,Hayao_1323_to_monet.jpg,0.40477374,0.586288571357727,0.6535101532936096,0.84299284,monet,1
Hayao,photo,1323.jpg,Hayao_1323_to_photo.jpg,0.55802435,0.49822375178337097,0.618003785610199,0.8239092,photo,1
Hayao,vangogh,1323.jpg,Hayao_1323_to_vangogh.jpg,0.591749,0.6725434064865112,0.7221917510032654,0.74710596,vangogh,1
Hayao,Hayao,1361.jpg,Hayao_1361_to_Hayao.jpg,0.458143,0.3723180890083313,0.7641408443450928,0.8144505,Hayao,1
Hayao,cezanne,1361.jpg,Hayao_1361_to_cezanne.jpg,0.5023491,0.5649823546409607,0.7805548906326294,0.8525676,cezanne,1
Hayao,monet,1361.jpg,Hayao_1361_to_monet.jpg,0.40106708,0.6456405520439148,0.8066638708114624,0.81404746,monet,1
